MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,15871,1954,2994,3242,7897
0,16320,1660,2603,3240,7674
0,14816,2122,2961,3664,8028
0,15488,1754,2663,3421,8353
0,15900,2071,2884,2864,8169
0,16016,2002,3232,3173,7178
0,15552,1745,2701,3354,8291
0,15652,1966,2858,2955,8137
0,15918,1256,2970,3147,7600
0,15197,1895,2759,2900,8401
0,15852,2210,2896,3082,8092
0,15493,1925,2569,3276,8220
0,15308,1834,2678,2970,8298
0,15863,2439,3098,2223,7770
0,15452,1678,2669,3219,8128
0,15537,2000,2922,2929,8410
0,15574,2090,2901,2861,8181
0,15813,2404,3226,3012,7688
0,15692,1375,2764,3376,8234
0,15411,1594,2600,3316,8109
0,14098,2162,3001,2797,8219
0,15867,1922,2754,2326,8995
0,16396,1818,2425,2997,8404
0,15780,2272,3017,3304,7876
0,14900,1835,2804,2881,8262
0,15769,2243,2923,2935,8323
0,15787,2374,3076,3038,7911
0,15624,1440,2809,3296,8152
0,15819,2175,2836,2880,8351
0,15592,1680,2668,3452,8128
0,16793,1672,2706,2943,7755
0,15871,2171,3212,2826,8110
0,15362,1712,2692,3278,8084
0,15473,1665,2704,2825,8136
0,15868,1856,3198,3044,7620
0,15464,1609,2541,3372,8090
0,15595,2080,2475,3706,8096
0,15737,1968,2965,3246,8011
0,15569,2131,2766,2933,8332
0,15802,2155,2433,3368,7975
0,15994,2120,3280,3189,8599
0,15408,2089,2476,3245,8351
0,15658,1936,2087,2262,8168
0,15987,2307,3276,3131,7980
0,15640,1812,2475,3453,8043
0,15274,806,2764,2988,8488
0,15832,2271,2800,4269,8111
0,15533,1789,2408,3568,8052
0,15415,2359,2559,2937,8370
0,15881,1956,2746,2819,8212
0,15808,2246,3099,2946,7798
0,15485,2060,2904,2539,7806
0,15317,2701,2537,3250,8056
0,15416,2206,3018,3236,8010
0,16192,2057,2839,3247,8012
0,14279,1643,2628,2862,8225
0,15811,2317,3079,3827,8133
0,15871,2265,2827,3380,7933
0,15289,1597,2140,2850,8371
0,15757,1986,2715,2789,8280
0,15818,1892,2825,3191,8275
0,15178,1898,2313,3317,8428
0,15868,2267,3160,2990,7918
0,15805,1759,2715,3371,8066
0,15703,2068,2972,6238,8015
0,16032,2314,3170,3344,7792
0,15461,2300,2503,3249,8298
0,15599,1900,2135,2914,8148
0,15790,1894,2452,3149,8101
0,16321,1680,2739,3359,8314
0,15432,663,2500,3136,8425
0,15708,1980,2649,2929,8171
0,15950,2180,2419,3090,7728
0,15674,1874,2374,3445,8156
0,15392,1547,2471,3364,8287
0,15640,2067,2496,2921,8464
0,15850,2264,3093,3137,7917
0,15888,1692,2798,3341,8144
0,15298,1981,2743,2479,8589
0,15844,1956,3159,3197,7817
0,15423,1679,2599,2851,8314
0,15645,2077,2741,2269,8205
0,15772,2173,3029,3036,7828
0,14768,1642,2901,3252,8040
0,15691,2010,2544,3328,8274
0,15616,2088,2938,2664,8459
0,15766,2321,3001,2758,8298
0,15870,1706,3336,3162,8165
0,15678,1938,2063,3325,8116
0,15453,2195,2376,3360,7912
0,15585,2079,2620,2856,8404
0,15695,2118,2920,3101,7679
0,15708,2010,2854,3196,7899
0,15712,2052,2732,2997,8282
0,15667,2006,2867,2792,8105
0,15963,2102,3164,2907,8003
0,15521,1741,2227,3549,8099
0,15180,2133,2938,2758,8213
0,15672,2082,2911,2702,8292
0,15561,2146,2709,2997,8360
0,15893,1148,3292,3195,7890
0,15492,2559,2233,3277,8261
0,15664,1712,2858,3584,8081
0,15851,1927,2869,3194,8259
0,15592,1755,2443,3298,8217
0,15621,1783,2068,2914,8296
0,15905,2142,2701,3670,8416
0,15896,2139,2939,3156,7866
0,15777,1726,2658,3397,8290
0,15372,1746,2568,3146,8421
0,15226,1987,2765,2864,8256
0,15663,2226,2783,3297,8768
0,15200,1876,2748,2923,8421
0,15815,2263,3020,2807,8115
0,15606,3193,2720,3338,7719
0,15426,1135,2601,3236,8308
0,15569,1732,2685,2836,8512
0,15871,2172,3073,3028,7970
0,15848,1810,2589,3396,8320
0,15845,1747,2632,3093,8570
0,15935,2060,2942,2756,8234
0,15904,1916,2989,3242,7807
0,15445,1677,2695,3272,8218
78,16389,1579,3583,1872,8385
0,15648,2124,2857,3008,8013
0,15628,1825,2816,3204,8111
0,15214,2182,2559,3097,8300
0,15796,1958,2805,2374,8534
0,15686,1997,2807,2921,8130
0,15899,2330,2568,3000,7997
0,16013,2016,2665,3308,7746
0,12974,1771,2797,3178,8275
0,15816,1941,2741,3152,8495
0,15871,2065,2966,3036,8013
0,14981,1800,2698,3468,8328
0,15856,1898,2696,2941,8193
0,15885,1914,3120,3170,7820
0,15656,1606,2559,3425,8783
0,15515,1726,2594,3181,8444
0,15912,2233,3010,860,8043
0,15812,1726,2681,3352,8137
0,15284,1680,2514,2995,8447
0,15833,1757,2814,2950,8082
0,15904,1871,2490,3278,7939
0,15610,1873,2627,3401,7672
0,15464,1846,2660,3540,8200
0,15003,2196,2504,2793,8219
0,16203,2269,3160,3191,7827
0,15690,1950,3094,3266,7714
0,15399,2112,6211,2900,8112
0,15777,2192,3003,3128,7976
0,15808,1954,3010,3244,8054
0,15821,2720,3695,3106,8160
0,15706,2149,3123,3543,7993
0,15792,2398,3078,2708,8216
0,15412,1756,2684,3439,8116
0,15380,2284,2972,3104,8294
0,15527,1757,2677,3009,8335
0,15685,2153,2976,2689,8076
0,16013,1890,2811,3205,8544
0,15539,1878,1962,3622,8238
0,15819,2244,3178,3025,7953
0,15871,1806,2611,3327,7922
0,15271,1850,3329,2986,8244
0,15755,2224,2903,2743,8200
0,15853,2008,3348,3107,7695
0,15288,749,2538,3026,8261
0,15719,2226,2850,3294,8220
0,15743,1507,3081,3177,7912
0,15268,2910,2922,3038,8259
0,15652,2111,2578,2817,8371
0,15839,2016,3183,3225,7755
0,15709,1936,2980,3228,8010
0,15664,2181,2851,2940,8088
0,15844,2395,3147,3206,7928
0,15484,1475,2482,3237,7782
0,15406,2166,2767,2682,8357
0,15588,1924,2920,3010,8983
0,15109,1199,2520,2962,8302
0,15823,1833,2681,3156,8435
0,15782,2114,2966,3235,7846
0,15815,1876,2706,3362,8125
0,15183,1779,2658,2895,8384
0,15454,2502,2910,2642,8367
0,15695,2063,2857,3010,9145
0,15260,1754,2921,3080,8313
0,15715,389,3095,2895,7786
0,15871,2088,3032,2497,8001
0,15500,1749,988,3251,7963
0,15418,2705,2471,2997,8588
0,15552,1817,2525,3032,8084
0,15871,2256,3312,2892,7679
0,15581,1896,2707,3360,7865
0,15284,3085,2559,3117,8407
0,15729,2183,2862,2660,8667
0,15773,1883,2840,3333,7541
0,15412,2233,2559,2989,8346
0,15493,2264,2661,2829,8476
0,15850,2208,2402,3033,7702
0,15580,1928,3085,3428,8149
0,15298,1996,2501,3104,8386
0,15656,1056,2904,2728,7890
0,15866,2922,2989,2911,8033
0,15487,1690,2369,3217,8169
0,15593,2083,2849,2755,8287
227,16092,2204,2944,3008,7819
0,15456,1832,2724,3368,7325
0,15811,2229,3032,3632,8234
0,15711,1966,2876,3357,7972
0,15556,1778,2824,3246,8192
0,16219,2125,2755,3161,8260
0,15428,2208,3127,3195,7381
0,15715,2203,2714,3378,8236
0,15394,1770,2685,3415,8097
0,14839,2173,2933,2786,8257
0,15952,2370,3144,3249,7882
0,15604,1712,2722,3461,8172
0,15552,1968,2916,3031,8396
0,15734,4407,2914,2873,8047
0,15539,1752,2680,3439,8039
0,15368,1545,2744,2702,8517
0,15871,2493,2933,2925,7212
0,15446,1686,2608,3289,7989
0,15533,1969,2797,2798,7900
0,15913,2128,3248,3037,8792
0,15686,2866,2559,3228,8262
0,15845,2084,3088,3079,7988
0,14977,1837,2832,3289,8121
0,16544,1915,2993,2780,8336
0,15509,2100,2645,2740,8133
0,15565,1904,2743,3204,8239
0,15676,1867,2880,2998,8321
0,15747,2057,2905,2669,8322
0,15724,1954,2992,3207,7881
0,15742,1782,3238,3082,8328
0,15768,2201,3037,2908,7394
0,15574,1888,2696,3253,8012
0,15483,2109,2837,2875,8080
0,15489,2289,3124,3602,8153
0,15896,2256,3233,2294,8423
0,15454,1727,2573,3541,8140
0,16431,2060,2884,3127,8384
0,15596,2180,2837,3493,7948
0,15888,2339,2984,3010,7907
0,15673,1773,2579,2688,8675
0,15552,1986,2925,3926,7733
0,15793,2305,2936,2896,8016
0,15692,1943,2640,3282,7656
0,15532,1817,2703,3326,8162
0,15895,1781,2698,2997,8440
0,15770,2220,3074,3242,7818
0,15940,2394,3164,2967,7993
0,15805,1868,1895,3521,7936
0,16039,1221,2896,3006,8480
0,16045,2296,3095,3290,7854
0,15379,1990,2307,3039,8412
0,15871,2184,3096,3041,7413
0,15560,1752,2652,3312,8332
0,15813,2388,2909,2762,8284
0,15880,2063,2576,3202,7749
0,14736,1773,3182,4005,8222
0,15504,1728,2675,2580,8338
0,15702,2261,3033,3392,7909
0,15712,1985,3009,3298,8087
0,15842,2832,2728,3137,8307
0,15958,2094,1949,3577,7770
0,15610,1685,2624,3404,8325
0,15801,2251,1966,3649,8168
0,15871,2226,3021,3031,6841
0,15413,1795,2800,3307,8294
0,15462,2144,2704,2841,8280
0,15793,2252,3010,2986,7072
0,15645,1917,2739,2608,8002
0,15891,1808,2840,2964,8458
0,15874,2053,3232,3039,7710
0,15606,1860,2666,3302,8278
0,15443,1865,2959,3189,8015
0,15827,2091,2967,3241,8294
0,15379,2119,2795,2940,8444
0,16037,2137,2520,3278,7852
0,15168,2135,2528,3036,8312
0,15835,2402,3137,2999,7048
0,14408,1985,3492,2954,8341
0,15969,2304,3008,3468,8051
0,15716,1901,4175,3401,7982
0,15517,1894,2821,2910,8684
0,15940,2468,2874,3134,8004
0,15284,1622,2525,3339,8414
0,14717,2000,2724,2723,8528
