MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,7788,0,5517,7091,12087
0,7719,0,5499,6828,12351
0,7368,0,4986,7126,12476
0,7321,0,5085,7234,12448
0,7449,0,5157,7232,12445
0,7603,0,5301,6700,12664
0,7599,0,5236,7288,12378
0,7679,0,5075,7052,12544
0,7456,0,5172,7131,12375
0,7649,0,5508,6664,12227
0,7622,0,5353,6966,12853
0,7528,0,4964,7115,12582
0,7376,0,4628,7024,12540
0,7700,0,5477,6848,12354
0,7448,0,4896,7029,12488
0,7477,0,5410,6258,12100
84,8128,0,4997,6969,11897
0,7824,0,5418,7105,12499
0,8533,0,5164,7191,13672
0,7520,0,4962,7417,12460
392,8148,0,4990,7186,12457
0,7534,0,5210,6655,12416
0,7575,0,5451,6936,12798
0,7386,0,4894,6965,12561
0,7594,0,5364,7095,12372
0,7780,0,5444,7700,12497
0,7524,0,5129,7226,12238
0,8701,0,4730,6859,12789
0,7704,0,5403,6868,12178
0,7506,0,5060,6996,12621
0,7838,0,4981,7012,12379
0,7679,0,5138,6655,12476
0,7418,0,4422,7083,12560
0,7691,0,5528,7036,12086
0,7679,0,5395,6631,12425
0,7500,0,5009,6893,11957
0,7550,0,5272,7025,12505
0,7285,0,5039,7009,12590
0,7424,0,5127,7264,12490
0,7632,0,5248,6534,12560
0,7720,0,5430,7041,12136
0,8304,0,5802,6920,12482
0,7549,0,5369,7010,12148
0,7654,0,5301,7252,12328
0,7665,0,5197,7351,12119
0,7616,0,5248,6936,12341
0,7526,0,5027,6801,12657
0,7824,0,5508,6840,12309
0,7401,0,4874,7269,12392
0,7618,0,5038,6919,12712
0,7572,0,5089,7350,12407
0,7829,0,5455,6934,12231
0,7718,0,5243,8504,12395
0,7874,0,5386,6933,12177
0,7908,0,6712,6967,12096
0,7805,0,4933,6882,12546
0,7653,0,5383,7076,12366
0,7980,0,5631,6993,12162
0,7772,0,5398,6992,12386
0,7481,0,5935,6501,12655
0,6994,0,5234,6655,12600
0,7330,0,5212,6762,12338
0,7855,0,4991,7420,12354
0,7297,0,5026,6940,12445
0,7285,0,5944,7102,12616
0,7508,0,5156,7316,12465
0,7822,0,5394,7077,12135
0,7767,0,5205,6777,12490
0,7732,0,5443,6804,12217
0,7346,0,4907,7001,12541
0,7679,0,5448,6721,12157
0,7524,0,4932,7225,12546
0,7657,0,5094,6914,12711
0,7683,0,5359,7831,12308
0,7596,0,4464,7560,12488
0,7875,0,5173,6854,12328
0,7851,0,5152,7228,12415
0,7645,0,5216,7131,12363
0,7573,0,4780,6802,12240
0,7780,0,5447,6996,11664
0,7808,0,6407,7025,12008
0,7786,0,5513,6951,12097
0,7854,0,5631,8052,12034
0,7376,0,5411,6786,12712
0,7682,0,5240,7139,13189
0,7528,0,5075,6825,12629
0,7926,0,5378,6762,12046
0,7470,0,4949,6802,12665
0,7395,0,5002,6873,12463
0,7679,0,5027,7274,12408
0,7444,0,5241,6717,12678
0,7819,0,5720,6909,12200
0,7480,0,5014,7372,12480
0,7729,0,5551,7417,11979
0,7745,0,5146,6655,12957
0,7337,0,4818,7144,12570
0,7872,0,5160,6904,12648
0,7543,0,5021,6884,12568
0,7802,0,5424,6992,12124
0,7679,0,5272,7233,12435
0,8296,0,6824,6959,12522
0,7686,0,5327,7131,12337
0,7890,0,5360,7178,12113
0,7746,0,5208,7187,12334
0,7274,0,5057,6931,12524
0,7729,0,5288,6465,12661
0,7451,0,4976,6892,12436
0,7551,0,4946,6419,12512
0,7898,0,5486,7056,12092
0,7645,0,5432,7060,12204
0,7622,0,5218,6746,12471
0,8013,0,6010,7021,12185
0,7670,0,5478,7031,12336
0,7618,0,5435,6817,12289
0,7596,0,5333,7059,12344
0,7478,0,5136,6801,12473
0,7899,0,5518,6898,12492
0,7792,0,5430,6895,12168
0,7797,0,5394,7006,11837
0,7350,0,5236,6681,12335
0,7232,0,4906,6853,12467
1140,7851,0,4518,7252,12427
0,7178,0,5373,6765,12420
0,7711,0,5057,7047,12500
0,7565,0,5378,6642,12425
0,7662,0,4965,7048,12574
0,7498,0,5160,6782,12481
0,7686,0,5367,7852,12304
0,7675,0,5248,6673,12546
0,6900,0,5421,7584,12461
0,7633,0,5175,6852,12459
0,7679,0,5173,7080,12301
0,7896,0,5426,6969,12125
0,7751,0,5277,7088,12954
0,7759,0,5243,7079,12500
0,7589,0,5142,6884,12795
0,7760,0,5221,6562,12653
0,7549,0,5288,6655,12363
0,7679,0,5588,6983,12524
0,7268,0,4920,6916,11839
0,7704,0,5317,7063,12067
0,7679,0,5235,6739,12078
0,7456,0,4928,7097,12534
0,8072,0,5631,6861,12352
0,7747,0,5060,7287,12362
0,7856,0,5216,7075,12384
0,7552,0,5016,6934,12537
0,6616,0,5150,6926,12718
0,7720,0,5393,7241,12303
0,7765,0,5548,7067,12337
0,7546,0,5531,6998,11799
0,7652,0,5411,7035,13384
0,7449,0,5370,7000,12849
0,8113,0,4930,7223,12614
0,7439,0,4946,7099,11431
0,7822,0,6502,6882,12651
0,7806,0,5380,7130,12222
0,7921,0,5411,6899,12448
0,7408,0,5032,7252,12356
0,7588,0,5159,7329,12340
0,7577,0,4907,6268,12718
0,7424,0,5325,4456,12116
0,7421,0,5066,7046,12296
0,7882,0,5473,6730,12204
0,7679,0,5197,6319,12583
0,7182,0,5020,6801,12494
29,7653,0,5872,6846,12894
0,7679,0,5161,7005,12480
0,8016,0,4701,7134,12490
0,7931,0,5260,6915,12894
0,7380,0,6090,6948,12660
0,7590,0,5120,7226,12483
0,7796,0,5264,6695,12541
0,8041,0,5089,6837,12743
0,7803,0,5423,6977,11489
0,7417,0,5163,6634,12462
0,7264,0,5631,6871,12640
0,7793,0,5521,6941,12237
0,7468,0,5213,7430,12462
0,7679,0,5480,7055,12309
0,7685,0,5356,7290,12352
0,7409,0,5021,6704,12371
0,7701,0,5334,7119,12237
0,7543,0,5272,7127,12439
0,7917,0,5444,6820,12392
0,7432,0,4410,7124,12560
0,8012,0,5605,6995,12981
0,7233,0,5137,7317,12320
0,7478,0,5004,7206,12358
0,7654,0,5474,6793,12548
0,7493,0,5037,7339,12500
0,7459,0,4997,7015,12416
0,7688,0,5270,6721,12411
248,7639,0,4965,7388,12528
0,7488,0,4965,7259,11580
0,7881,0,5432,6958,12040
0,7946,0,4923,7135,11905
0,7900,0,4607,6918,12750
0,7581,0,5192,6819,12396
0,7182,0,5017,6663,12625
0,8000,0,5566,6991,12130
0,7921,0,5488,7272,12392
0,7584,0,4809,7128,12316
0,7687,0,6605,7016,11656
0,7756,0,5176,6961,12655
0,7661,0,5069,6758,12757
0,7726,0,5440,6804,11862
0,7848,0,5237,7084,12317
0,7560,0,4947,6405,12697
0,7784,0,5411,7140,12312
0,7770,0,5280,6707,12352
0,7363,0,5645,6979,12414
0,7945,0,5594,6889,12117
0,7251,0,5264,6714,11926
0,7620,0,5636,6848,12646
0,7678,0,5371,6877,12676
0,7556,0,4607,6720,11775
0,7538,0,4119,7132,12238
0,7832,0,5328,6632,12559
0,7349,0,5365,6866,12310
0,7681,0,5484,6783,12617
0,7537,0,4932,6889,12534
0,7599,0,5274,6966,12968
0,7750,0,5271,6809,12313
0,7822,0,5303,6980,12197
0,7679,0,5142,6797,12555
0,7817,0,5306,6981,12126
0,7679,0,5250,6848,12456
0,7634,0,5306,6939,12681
168,7679,0,4692,7473,12364
0,7883,0,5292,5880,12587
0,7572,0,4999,7284,12381
0,8002,0,5547,6960,10142
0,7944,0,5683,6993,12056
0,7788,0,5313,7243,12370
0,7600,0,4774,7006,12250
0,7191,0,5150,6800,12733
0,8148,0,5369,7114,12156
0,7679,0,5449,7437,12208
0,7516,0,5145,6101,12569
0,7558,0,5213,7238,12471
0,7998,0,5531,6772,12232
0,7616,0,5396,6897,12615
0,7859,0,5365,6731,11980
0,7851,0,5631,6845,12649
0,7795,0,5173,6403,12146
