MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,1582,0,3204,4015,8777
0,1872,0,3573,3768,8724
0,1700,0,3179,3587,8444
0,1545,0,3103,3795,8862
0,1896,0,3652,3650,8720
0,1503,0,3120,3963,8769
0,1889,0,3381,3540,8813
0,2018,0,3651,3816,8624
0,750,0,3273,4099,8522
0,1862,0,3050,2716,8656
0,1772,0,3629,3725,8641
0,1822,0,3478,3959,8970
0,1620,0,3421,3997,8640
0,2112,0,3208,4020,8832
0,1635,0,3251,3547,8944
0,1927,0,3620,3720,8532
0,1880,0,3301,3770,9835
0,1940,0,4377,3813,8910
0,1876,0,3616,3616,8692
0,1703,0,3370,3430,8741
0,1592,0,2733,4136,8613
0,1968,0,3606,3717,8732
0,1553,0,3158,4123,8766
0,1962,0,3496,4032,8650
0,1602,0,3420,3919,8076
0,1659,0,3305,2880,9044
0,2007,0,3508,4513,8661
0,1477,0,3205,4034,8877
0,1786,0,3472,3456,8421
0,1808,0,3352,3917,7825
0,1872,0,3613,3721,8526
0,1693,0,3239,3754,8881
0,1908,0,3383,3936,8407
0,1823,0,3433,3687,8856
0,1962,0,3821,3572,8466
0,1690,0,3237,3673,9024
0,1641,0,3385,3986,8612
0,1785,0,3598,4174,8688
0,1608,0,3693,4115,8747
0,2053,0,3680,3719,8629
0,1583,0,3275,3979,8814
0,2061,0,3808,3816,8432
0,1657,0,3328,3714,9052
0,1949,0,3712,3783,9381
0,1845,0,3595,3443,8736
0,1718,0,3140,3794,8946
0,2068,0,3601,3685,8555
0,1731,0,2371,3638,8945
0,1867,0,3475,4024,9159
0,1834,0,2868,3659,8829
0,1698,0,3332,4053,8803
0,1708,0,3328,3652,8821
0,961,0,3485,3828,8333
0,1320,0,3136,3915,8902
0,1962,0,3455,3757,8775
0,1662,0,3352,4016,8708
0,517,0,3408,3616,9078
0,2192,0,3264,4080,8641
0,1481,0,3184,3930,8923
0,1930,0,3434,3677,8787
0,2144,0,3281,3870,8476
0,1554,0,2254,3832,9752
0,1933,0,2854,4292,8685
0,1697,0,3333,4065,8750
0,906,0,3333,3498,9022
0,2063,0,3653,3560,8484
0,1705,0,3288,3500,8792
0,1896,0,3421,3609,8736
0,1656,0,3315,4026,8684
0,1701,0,3304,3609,9050
0,1807,0,3375,3977,8593
0,1994,0,3547,4481,8621
0,1587,0,3211,4194,8756
0,1932,0,3540,3722,8952
0,1405,0,3204,4160,8943
0,1986,0,3606,3756,8559
0,1282,0,3173,4174,8776
0,1828,0,3446,2964,8881
0,1612,0,3419,3945,9174
0,852,0,3112,1687,8856
0,1801,0,3469,3552,8909
0,1856,0,3280,4027,8727
0,1738,0,4466,3896,8857
0,1904,0,3553,3557,8900
0,1755,0,3320,3948,8446
0,1816,0,3227,3720,9001
0,1993,0,3736,3808,8681
0,1788,0,3317,4200,8690
0,1576,0,2840,3736,8869
0,1742,0,3382,4081,8680
0,1694,0,3222,3777,8994
0,1872,0,3303,3141,8551
0,1440,0,3229,3520,8880
0,1804,0,3564,3479,7757
0,1628,0,3277,4284,8655
0,1921,0,3521,3871,8550
0,1650,0,3360,4112,8710
0,2024,0,3479,3722,8705
0,1826,0,3502,4010,9395
0,2615,0,4533,3822,8886
0,1971,0,3711,3856,8601
0,1620,0,3171,3976,8740
0,1920,0,3563,3764,8690
0,1500,0,3145,4152,8808
0,1915,0,3530,3742,8597
0,1505,0,3235,4108,8632
0,1793,0,3592,3902,8712
0,1519,0,3245,3890,8813
0,1968,0,3717,3790,8549
0,1728,0,3518,4073,8615
0,1512,0,3140,3578,8752
0,1689,0,3392,3544,8796
0,1701,0,3618,3890,9626
0,1392,0,3786,3787,8842
0,1961,0,3611,4412,8726
0,1750,0,3541,3975,9215
0,1748,0,3428,3688,9079
0,1600,0,3254,4091,8692
0,1620,0,3333,3533,9088
0,1672,0,3750,3524,8520
0,1459,0,2894,3862,8347
0,1889,0,3709,3689,8344
0,1666,0,3329,4018,8628
0,1626,0,3245,3576,8954
0,1043,0,3616,3623,8636
0,1536,0,3200,4106,8676
0,1566,0,3317,3716,9228
0,2022,0,3586,3869,8560
0,1546,0,3326,4727,8870
0,1344,0,3623,3620,8823
0,1984,0,3322,4048,8660
0,1670,0,3018,3713,8808
0,2079,0,3475,3900,8586
0,1832,0,2199,4187,8788
0,2060,0,3456,3536,8426
0,1984,0,3295,3845,8664
0,2225,0,4128,4094,8827
0,2096,0,3464,4794,8768
0,2002,0,3522,3986,8913
0,1796,0,3636,3720,8984
0,2338,0,3711,3564,8761
0,1953,0,3571,3993,8458
0,1755,0,3449,3736,9026
0,2118,0,3583,2947,8702
0,1930,0,3569,3879,9836
0,1717,0,3489,4004,8791
0,1781,0,2884,4197,8666
0,1846,0,3341,3736,8850
0,1067,0,3436,3956,9268
0,1816,0,4260,3836,8965
0,1917,0,3596,3596,8793
0,1909,0,2766,3914,8432
0,1629,0,3233,4133,8712
0,1942,0,3908,3776,8977
0,2057,0,3658,3817,8471
0,1659,0,3286,3822,8817
0,1925,0,3423,3667,9082
0,2038,0,3732,3818,8445
0,2509,0,3186,3671,8978
0,1701,0,3736,3957,8374
0,1892,0,3014,3749,8961
0,1689,0,3218,3839,8682
0,1665,0,3273,3873,9029
0,1773,0,3467,3892,8774
0,1959,0,3648,3631,8695
0,1827,0,3295,4137,8931
0,1947,0,3064,4153,8904
0,2008,0,2943,3652,8657
0,1486,0,3046,3902,5775
0,1940,0,3764,3786,8575
0,1614,0,2684,3684,8815
0,2119,0,3616,3744,8640
0,1621,0,3228,3163,8802
0,1936,0,3428,3603,8823
0,1856,0,3579,4023,9056
0,1583,0,3557,4094,8740
0,1643,0,3361,3610,8996
0,1813,0,3390,3599,8853
0,2024,0,3665,4484,8670
0,1773,0,3236,3352,9073
0,1830,0,3315,3507,8705
0,1876,0,3172,3681,9060
0,1960,0,3735,3953,8968
973,2336,0,3267,4146,8687
0,2260,0,3618,3926,8477
0,1796,0,3193,3649,8980
0,1844,0,3987,3893,8840
0,1994,0,3592,3470,8957
0,1952,0,3442,3997,8584
0,1492,0,3059,3736,8582
0,1946,0,3501,3598,8650
0,1985,0,3344,3995,7704
0,1809,0,3394,3581,8985
0,2013,0,3485,3977,7903
0,1515,0,2998,4111,8746
0,1920,0,3644,3599,8737
0,1654,0,3189,3862,8808
0,1914,0,3601,3500,8808
0,1828,0,3344,3870,8553
0,1845,0,3486,3483,8820
0,1696,0,3308,3813,8978
0,2134,0,3648,3965,8557
0,1636,0,2793,4357,8930
0,1587,0,3555,3760,8556
0,1917,0,3364,4085,8743
0,1583,0,2709,3988,9021
0,2266,0,3548,3745,8712
0,1169,0,3221,4114,8868
0,2017,0,3546,3679,8677
0,1527,0,3421,3811,8884
0,2357,0,3668,3412,8340
0,1728,0,3978,3722,8941
0,2384,0,3524,3552,8412
0,1610,0,2536,3963,8866
0,2035,0,3714,3778,8459
0,1644,0,3711,3838,9028
0,1857,0,3472,3863,9080
0,1701,0,3555,3248,8851
0,2037,0,3930,3692,8366
0,1698,0,3341,3736,8681
0,1494,0,2924,3745,8809
0,1745,0,3398,3464,8892
0,1883,0,3556,3818,8595
0,857,0,3371,4022,9399
0,1850,0,2506,3728,8996
0,1905,0,3000,3953,8777
0,1662,0,3264,4181,8741
0,1975,0,3250,4114,8792
0,1820,0,3556,3951,8964
0,1744,0,3353,3753,8996
0,2116,0,3585,4040,8512
0,740,0,3236,3944,8916
0,1904,0,3293,3770,9013
0,1811,0,3411,3984,9750
0,1588,0,3004,3928,8890
0,2016,0,3508,3669,8892
0,2037,0,3776,3867,8554
0,1732,0,3404,3976,8621
0,2576,0,4441,3669,9053
0,2043,0,3498,3662,8681
0,1698,0,3670,3762,8537
0,2765,0,3292,3821,9071
0,834,0,3301,3688,9074
0,1481,0,3565,4826,8788
0,1146,0,3289,4088,8676
0,1653,0,3278,3704,9094
0,2032,0,3483,3786,8727
0,1898,0,3672,3916,8444
0,1634,0,3309,3973,8715
0,1304,0,3530,3680,8876
0,1577,0,3235,3763,8344
0,1535,0,3668,3620,8645
0,1625,0,3265,4024,8747
0,2162,0,3100,3396,9070
0,1856,0,3449,4505,8784
0,1582,0,3297,4068,8633
0,1460,0,3296,3665,9029
0,1750,0,3423,3533,8845
0,1665,0,3030,3466,8792
0,1797,0,2804,4063,8586
0,1395,0,3158,3904,8894
0,1941,0,3501,4743,8660
0,2023,0,3760,3785,8499
0,1456,0,3218,3778,8947
0,1917,0,3593,3679,8570
0,1607,0,3333,4139,8480
0,1344,0,3536,3539,9076
0,1954,0,3728,4236,8429
0,1632,0,3514,3788,8980
0,1823,0,3456,3573,8775
0,1904,0,3313,3690,8690
0,1639,0,3180,4181,8778
0,1773,0,3327,3713,9245
0,2094,0,3538,3924,8522
0,1802,0,4283,4029,8815
0,1562,0,3280,4128,8747
0,1560,0,3384,3720,8287
0,1893,0,3510,3280,8956
0,1759,0,3194,3817,7567
0,1558,0,3216,4162,8800
