MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4640,5266,11296
0,0,0,4585,5503,11149
0,0,0,4646,5493,11213
0,0,0,4285,5635,11339
0,0,0,4256,5253,11439
0,0,0,4450,5393,11146
0,0,0,4242,5517,11173
0,0,0,4638,5584,11206
0,0,0,4600,5798,11422
0,0,0,4626,5431,11160
0,0,0,4462,5077,11121
0,0,0,4535,5436,11158
0,0,0,4465,5436,10983
0,0,0,4706,5271,11119
0,0,0,4619,5596,11348
0,0,0,4607,4828,11429
0,0,0,4848,5339,11415
0,0,0,4499,5282,11212
0,0,0,4265,5232,11576
0,0,0,4516,5606,11344
0,0,0,4753,5287,11165
0,0,0,4783,5234,11040
0,0,0,4455,5510,11384
0,0,0,4588,5511,11176
0,0,0,4456,5589,11230
0,0,0,4607,5272,11005
0,0,0,4610,5225,11193
0,0,0,4588,4971,11108
0,0,0,4644,5125,11418
0,0,0,4673,4935,11198
0,0,0,4769,5210,11152
0,0,0,4605,5540,11947
0,0,0,4399,5672,11422
0,0,0,2609,5125,11173
0,0,0,4758,5486,10968
0,0,0,4619,5056,11236
0,0,0,4743,5521,10981
0,0,0,4825,5236,11124
0,0,0,4685,5041,11310
0,0,0,4956,5381,10884
0,0,0,4468,4607,11467
0,0,0,4414,5421,11340
0,0,0,4756,5403,10984
0,0,0,4386,5737,11322
0,0,0,4483,5132,11443
0,0,0,4652,4690,10925
0,0,0,5196,5254,10966
0,0,0,4985,5402,11001
0,0,0,4412,5547,11396
0,0,0,4288,5416,10961
0,0,0,4618,5522,11125
0,0,0,4620,5379,10946
0,0,0,5464,5397,11617
0,0,0,4622,7325,11212
0,0,0,4682,4939,11198
0,0,0,4400,5044,11489
0,0,0,4500,5580,11382
0,0,0,4603,5509,10996
0,0,0,4927,5392,10811
0,0,0,4951,5376,11721
0,0,0,3906,5249,11320
0,0,0,4655,5719,11306
0,0,0,4758,5233,10943
0,0,0,4339,5485,11389
0,0,0,4746,4996,10669
0,0,0,4563,5472,11178
0,0,0,4564,5533,11038
0,0,0,4855,5232,11159
0,0,0,4372,5305,11382
0,0,0,4692,5161,10751
0,0,0,4806,5322,11040
0,0,0,4649,5010,11311
0,0,0,4404,5458,11056
0,0,0,4624,5400,11222
0,0,0,4896,5257,11333
0,0,0,4607,5584,11287
660,0,0,4975,5184,11560
0,0,0,4368,5498,11407
0,0,0,4735,5207,10541
0,0,0,4694,5276,11087
0,0,0,4304,5269,11339
0,0,0,4929,5182,11031
0,0,0,4512,5242,11502
0,0,0,4693,4964,10875
0,0,0,4747,5391,11674
0,0,0,4610,5517,11183
0,0,0,4337,4941,11344
0,0,0,4844,5251,10611
0,0,0,4405,5318,11426
0,0,0,4607,5088,11376
0,0,0,4519,5496,11081
0,0,0,5247,5325,11553
0,0,0,4479,4906,11552
0,0,0,4607,5131,12096
0,0,0,4428,5590,11330
0,0,0,4598,5393,10845
0,0,0,4268,5140,11443
0,0,0,4641,5054,11425
0,0,0,4508,5265,11609
0,0,0,4438,5569,11345
0,0,0,4652,5044,11370
0,0,0,4368,5298,11447
0,0,0,4922,5390,10998
0,0,0,4649,5605,11056
0,0,0,4658,5376,11762
0,0,0,4817,4607,11965
0,0,0,4338,5631,11341
0,0,0,4607,5080,11240
0,0,0,4562,5609,11177
0,0,0,4807,5263,11081
0,0,0,4409,5612,11229
0,0,0,4605,5528,11002
0,0,0,4544,5716,11176
0,0,0,4824,5289,11396
0,0,0,4388,5546,11413
0,0,0,4549,5023,11430
0,0,0,4696,5299,11050
0,0,0,4221,5385,11338
0,0,0,4481,5672,11284
0,0,0,3893,5596,11336
0,0,0,4607,5171,11275
0,0,0,4870,5222,10985
0,0,0,4781,5537,11142
0,0,0,4591,6276,11291
0,0,0,4656,5607,11193
0,0,0,4774,5253,11033
0,0,0,4706,5480,11394
0,0,0,4756,5960,11153
0,0,0,4876,5169,10952
0,0,0,4832,5185,10914
0,0,0,4794,5295,11064
0,0,0,4709,5780,11072
0,0,0,4290,5549,11198
0,0,0,4868,5252,11029
0,0,0,4688,6224,11141
0,0,0,4617,5157,11712
0,0,0,4816,5294,11523
0,0,0,4836,5123,11284
0,0,0,4675,4979,10864
0,0,0,4376,5511,11322
0,0,0,4234,5352,11116
0,0,0,4285,5323,11405
0,0,0,4594,5146,11516
0,0,0,5147,5198,11585
0,0,0,4282,5284,11615
0,0,0,4525,5266,11443
0,0,0,4948,5504,11177
0,0,0,4510,5618,11049
0,0,0,4754,5324,10962
0,0,0,4599,5484,11112
0,0,0,4695,5283,11127
0,0,0,4581,5063,11372
0,0,0,5038,5310,11913
0,0,0,4768,5241,11133
0,0,0,4769,5615,11144
0,0,0,4783,5316,10952
0,0,0,4624,5174,11220
0,0,0,4180,5539,11384
0,0,0,4546,5665,11219
0,0,0,4881,5439,11077
0,0,0,4469,5173,11500
0,0,0,4607,5270,11081
0,0,0,4446,5451,11322
0,0,0,4419,5564,11073
0,0,0,4607,5456,11081
0,0,0,4607,5394,11581
0,0,0,4342,5528,11233
0,0,0,4356,5696,11316
0,0,0,4622,5556,11077
0,0,0,4794,5352,11939
0,0,0,4607,5568,11191
0,0,0,4607,4971,11072
0,0,0,4785,5227,10938
0,0,0,4478,5501,11340
0,0,0,4779,5178,11493
0,0,0,4387,5322,11434
0,0,0,4480,5377,11700
0,0,0,4378,5631,11204
0,0,0,4792,5221,11019
0,0,0,4885,5379,10900
0,0,0,4688,5383,11049
0,0,0,4513,5197,11560
0,0,0,4553,5213,11332
0,0,0,4548,5192,11460
0,0,0,4710,5256,11091
0,0,0,5302,5335,11436
0,0,0,4840,5301,10796
0,0,0,4432,5605,10582
0,0,0,4968,5406,10948
0,0,0,4506,4814,11574
0,0,0,4601,5631,11300
0,0,0,4773,5250,11056
0,0,0,4736,4676,11489
0,0,0,4662,6038,11134
0,0,0,4650,5590,10935
0,0,0,4654,5512,11899
0,0,0,4605,5120,11152
0,0,0,4580,5628,10842
0,0,0,4846,5296,11051
0,0,0,4794,5188,11599
0,0,0,4868,5361,10931
0,0,0,4606,5557,11130
0,0,0,4594,5221,10700
0,0,0,4607,5048,11216
0,0,0,4222,5302,11600
0,0,0,4685,5294,10578
0,0,0,4595,5256,11296
0,0,0,4818,5319,10350
0,0,0,4607,5445,11986
0,0,0,4675,5548,11232
0,0,0,4293,4572,11473
0,0,0,4737,5308,10893
0,0,0,4527,5216,11472
0,0,0,4914,5484,10940
0,0,0,4944,5258,11513
0,0,0,4698,5278,11208
0,0,0,4584,5484,10927
0,0,0,4041,5646,11265
