MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,15535,380,2867,4040,8175
0,15498,346,2806,2318,8405
0,15051,568,2996,2912,8408
0,15812,719,2683,3189,8114
0,15573,300,2952,3466,8343
0,15324,388,2608,3017,8237
0,15518,706,3152,3462,7865
0,15713,324,3016,3481,7970
0,15620,324,4506,3624,8142
0,15389,279,3001,3496,8227
0,15336,0,2783,3621,8341
0,15242,488,2474,3985,8275
0,15428,794,2784,3240,8370
0,15571,522,2829,2401,8290
0,15761,684,3196,3226,8160
0,15528,1195,2892,3634,8029
0,13568,1323,2561,3312,8384
0,15464,464,3019,3033,8592
0,14938,616,3004,3351,8112
0,15986,476,3240,3578,7953
0,15706,466,3077,3452,8392
0,16370,241,3293,3190,8541
0,15591,352,2858,3190,8401
0,15898,636,3442,3297,7955
0,15433,304,3005,3363,8384
0,15364,228,3272,2893,8472
0,15718,747,2936,3185,8644
0,15772,803,3206,3234,8149
0,15376,154,2670,3592,7841
0,15965,676,3156,2985,8392
0,15688,189,2583,2922,8861
0,15658,610,3234,3252,8098
0,15532,304,2845,3523,8390
0,15432,340,2772,3676,8259
0,15492,492,2897,3045,8040
0,15586,43,3012,3641,7764
0,16019,662,3142,3224,8088
0,15650,243,2216,3521,8121
0,15249,89,2828,3520,6325
0,15480,472,2907,3121,8282
0,15433,590,3034,3268,8033
0,15223,50,2669,3532,7738
0,15504,384,2758,3259,8556
0,15689,713,3200,3244,8240
0,15434,89,2610,3643,8216
0,15532,541,2957,2607,8454
0,15855,693,3163,3264,8061
0,15378,206,2800,3435,8168
0,15448,296,2703,3650,8440
0,15661,589,3094,3632,7507
0,15770,510,2973,3468,8273
0,15227,412,2614,3266,8490
0,15553,498,2702,3204,8384
0,15940,576,3222,2385,7952
0,15368,183,2776,3533,8272
0,15285,0,2692,3222,8462
0,15741,671,3246,3174,8110
0,15660,122,3204,3516,8468
0,15278,152,2715,3600,8227
0,15496,459,2743,3203,8505
0,15625,1148,3071,3163,8280
0,15748,474,2506,3280,8050
0,15476,260,2820,2472,9280
0,15478,211,2682,3694,8323
0,16314,306,2535,3079,8085
0,14950,196,2752,2652,8657
0,15898,638,2256,2953,8243
0,15929,602,3223,3380,7968
0,15544,312,2912,3383,8072
0,15280,128,2673,3512,8394
0,15192,395,2811,3220,8461
0,15648,1108,3052,3022,8193
0,15701,809,3164,3081,8140
0,15300,0,1718,3592,8712
0,15241,442,2549,3338,8375
0,15524,559,2994,3054,8669
0,15569,552,3082,3700,8338
0,15882,0,2798,3500,7886
0,15524,443,2882,3481,8154
0,15356,157,2799,3477,8360
0,15166,232,2662,3366,8395
0,15293,305,3289,3472,8304
0,15494,0,2722,3264,8390
0,15744,590,3205,3802,8381
0,15739,700,3234,3237,7934
0,15527,348,3066,3460,7877
0,15440,240,2748,3554,7957
0,15272,326,2791,3136,8593
0,15644,450,2896,3113,8290
0,15897,0,3198,3272,8133
0,15285,0,2912,3473,8248
0,15103,540,2998,3679,8393
0,15543,576,2805,3282,8462
0,15625,590,3150,2885,7892
0,15593,484,2733,3569,8068
0,15188,162,2506,3520,8433
0,15617,666,3210,3079,8321
0,15702,716,3288,3226,8052
0,15379,183,2775,3525,8118
0,14741,453,2638,3456,8240
0,15260,1391,2554,3168,7677
0,15279,306,3422,3369,8561
0,15446,0,2800,3158,8294
0,15541,492,2870,4254,8232
0,16106,0,3141,3337,8060
0,15669,450,3348,3357,7943
0,15448,0,2949,3392,7077
0,14957,652,2540,3350,8315
0,16028,277,3520,4640,8404
0,15496,578,2813,3139,8553
0,15816,579,2887,3196,8504
0,15604,85,3307,3325,7698
0,17141,358,3003,3537,7975
0,15611,160,2736,3700,8192
0,15407,192,2720,3533,8373
0,15380,14,3138,3289,8443
0,15478,463,2742,2677,8018
0,15822,657,3040,3224,8141
0,15605,549,3062,3323,8117
0,15258,709,2522,3288,8477
0,15415,302,2865,3411,8397
0,15714,477,2981,3029,8204
0,15845,479,3114,3189,8140
0,15364,72,2436,3592,8359
0,15242,956,2312,3332,8347
0,15319,320,2676,3289,7731
0,15680,698,3045,2626,8236
0,15980,537,3178,3371,8031
0,15348,94,2722,3458,8175
0,14695,0,2736,3598,8392
0,15229,235,2559,3258,8350
0,15656,2908,3011,3100,8236
0,15808,736,3158,3172,8160
0,15558,333,4241,3521,8957
0,15226,100,2692,3590,8277
0,15421,394,2692,3246,7744
0,15543,532,3009,2761,8405
0,15800,0,2923,3972,8035
0,15443,443,2898,3556,8148
0,15295,165,2783,3544,8410
0,15179,361,2870,3216,8489
0,15852,531,2313,3082,8058
0,15273,645,2771,3824,8323
0,15629,531,2881,3548,8199
0,15726,355,3072,3458,8306
0,15247,144,2620,3413,8310
0,15615,594,2888,3045,8218
0,15515,314,1722,3283,8073
0,15322,25,2596,3721,8256
0,15560,603,2842,3254,8444
0,15518,694,3077,2938,8304
0,15436,250,2679,3416,9006
0,15582,288,2496,3360,8365
0,15020,464,2475,3161,8660
0,15480,667,3098,3407,8085
0,15777,772,2964,3516,7813
0,15221,153,2584,3268,8486
0,15515,508,2956,3292,8281
0,15656,164,2175,3530,8712
0,15272,101,2728,3414,8348
0,15625,514,2880,3238,8297
0,15118,403,3600,3411,9015
0,15122,51,2741,3653,8373
0,15359,576,2724,3172,8301
0,15794,0,3272,3232,8132
0,15498,288,2938,3530,8060
0,15549,0,2662,3657,8250
0,15510,344,3096,3313,8670
0,15770,583,3118,2939,8281
0,15730,442,3048,3343,8007
0,15440,241,2764,3622,8175
0,14875,1321,2728,3626,8300
0,15399,451,2956,3118,8425
0,15600,909,3041,3275,7594
0,15635,394,2914,3511,8043
0,15103,1037,2535,3350,8538
0,15402,4,2930,3118,8587
0,15886,576,3012,3152,8191
0,15356,250,2926,5563,8357
0,15380,265,3888,3404,8542
0,15514,723,2458,3232,8147
0,15722,688,3074,3306,8173
0,15533,600,3461,3313,8020
0,15470,0,3122,3441,8063
0,15416,135,2539,3552,8110
0,15540,0,2837,3290,8468
0,15747,429,3278,3296,8059
0,15304,128,2739,3648,8105
0,15584,372,2817,3187,8512
0,15825,409,3048,3209,8134
0,15514,273,2877,3789,8107
0,15332,321,2630,3583,8216
0,15472,467,2880,3052,8648
0,15625,569,3026,3287,8193
0,15926,576,3161,3432,7928
0,15600,224,2949,3475,8178
0,15590,206,3529,3214,8544
0,15580,440,2786,3192,8228
0,15879,760,3158,3316,8082
0,15401,514,3224,3265,8135
0,15560,141,2764,3516,8104
0,15222,85,2269,3546,8237
0,15397,225,3063,3466,8445
0,15949,534,2730,3328,8384
0,15524,579,3028,3284,8102
0,15596,683,3105,3298,8261
0,15465,304,2893,3698,8121
0,15400,149,2696,3408,8184
0,15433,253,2754,2757,8183
0,15324,429,3154,3232,8469
0,15509,432,2902,3191,7954
0,16076,381,3088,3348,8080
0,15528,373,2888,3473,8321
0,15045,846,2661,2828,8349
0,15451,388,3110,3058,8272
0,16215,586,3012,3314,8157
0,15756,790,3154,3229,8171
0,15326,122,2810,3472,8149
0,15425,495,2719,3248,9191
0,15642,655,3128,3221,8219
0,15400,244,2656,3669,8296
0,15697,632,3113,3060,8296
0,15754,637,3235,3264,8076
0,15367,91,2696,3654,8267
0,15459,458,2634,3032,8805
0,15532,533,2845,3298,8475
0,15942,270,2545,3260,8850
0,14186,94,2625,3121,8701
0,15982,108,3166,3440,8062
0,15379,290,2736,3338,8404
0,15737,656,3069,3361,8091
0,15528,368,2966,3434,8138
0,15360,302,2796,3216,8393
0,15681,510,2929,2660,8336
0,15280,508,3171,3327,8146
0,15396,0,2959,3197,8513
0,15553,416,1755,2680,8424
0,15717,696,3162,3174,8050
0,15630,106,2740,2491,7648
0,15615,373,3608,3203,8513
0,15650,0,2613,3068,8393
0,15457,676,3044,3231,8186
0,15914,452,2890,3396,7299
0,16182,329,3231,3632,8272
0,15273,312,2674,3327,8412
0,15633,1277,2917,3096,8186
0,15458,469,3396,3364,8118
0,15088,5,2587,3592,8314
0,15746,500,3245,3640,8372
0,15472,0,2558,3755,8372
0,15704,629,3019,3071,8640
0,15898,488,3040,3264,7380
0,15543,505,3260,3872,8582
0,15918,406,2673,3856,7913
0,15353,344,2586,3099,8246
0,15603,522,3017,3035,8584
0,15720,525,2930,3422,8433
0,15274,168,2671,3067,8493
0,14916,457,2822,3184,8360
0,15720,343,2778,3457,9251
0,15457,272,2780,3318,8446
0,15956,3153,3154,3065,7988
0,15302,366,1743,3348,8346
0,15715,660,2880,3173,8333
0,15428,497,3312,3419,8055
0,15269,839,2628,2748,8216
0,15520,688,2705,2811,8980
0,15916,550,3277,3325,7228
0,15537,259,2756,3644,8289
0,15566,324,2982,3101,8560
0,15862,137,3120,3295,7888
0,15353,901,2627,3284,8512
0,15598,505,2884,3176,8367
0,15711,283,2938,3523,8284
0,15484,436,3083,3209,8470
0,16055,936,3071,3253,8085
0,15480,0,3184,3427,8505
0,15549,268,2841,3340,8551
0,15771,677,3009,2259,7402
0,15574,195,2854,3535,8314
0,15434,414,2757,3368,8438
0,15845,610,3044,3259,8181
0,15527,308,3110,3466,8658
0,15211,786,2482,3489,8390
0,15688,501,2802,3130,8331
0,15871,417,3138,3261,8015
0,15506,217,2296,6080,7849
0,15246,772,2692,3030,8398
0,15884,661,2980,2558,8257
0,15810,820,3242,3186,8101
0,15397,90,2753,3589,8207
0,15408,167,2608,3224,8331
0,15757,624,3004,3079,8664
0,15705,623,3143,3599,8072
0,15836,373,3228,3406,7846
0,15346,141,2708,3480,8376
0,14684,439,2609,3302,8570
0,15400,0,3164,2924,7997
0,14941,720,1833,3435,8249
0,15791,686,3034,3837,8186
0,15825,0,3377,3240,8061
0,15432,136,2762,3512,8146
0,15618,280,3499,3468,8440
0,15442,614,3060,3040,8528
0,15894,929,2172,3226,7881
0,15786,617,3065,3298,8205
0,15708,1665,2757,3565,9144
0,15359,721,2746,3070,8365
0,15416,162,2770,3280,8369
0,15710,766,3033,2701,8186
0,15549,298,2914,3442,7971
0,15292,681,2569,3481,8302
0,15675,570,2835,3256,8465
0,15591,553,2858,3004,8442
0,15682,0,2674,3035,8328
0,15659,435,2523,3472,7917
0,15359,923,2578,3718,7610
0,15325,550,2926,2190,8694
0,15852,712,3011,3448,8027
0,15386,1210,2555,3371,8369
0,15778,634,3021,3463,8245
0,15637,478,2883,3445,7889
0,14880,234,2802,3356,8381
0,15273,443,2686,3309,8402
0,15249,1384,1771,3375,7997
0,15482,268,2794,3276,8433
0,15723,626,2871,3371,8506
0,15679,148,3078,3104,8216
0,15189,0,2847,3099,7958
0,15647,212,3422,3537,7898
0,15680,569,2959,3494,9048
0,15430,171,3136,3484,8368
0,15240,130,2601,3400,8491
0,15564,482,2756,3677,8458
0,15652,542,2862,3065,7888
0,15715,684,3011,3400,8213
0,15891,783,3032,3181,8176
0,15874,517,3250,2234,7599
0,15451,119,2697,3520,8215
0,15178,539,2543,3537,8216
0,16241,586,3101,3472,8435
0,15416,372,2638,3376,8334
0,15412,448,3069,3170,8593
0,15026,38,2952,3096,7823
0,15338,0,3121,3457,7929
0,15602,430,2917,3561,8446
0,15442,227,2858,3496,8339
0,15117,0,2922,3360,8572
