MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3250,4234,10308
0,0,0,2863,3795,10488
0,0,0,3384,3781,10176
0,0,0,3563,3936,10694
0,0,0,3363,3676,10187
0,0,0,3035,3979,10384
0,0,0,3294,3657,10609
0,0,0,1888,3691,10532
0,0,0,3160,3701,10613
0,0,0,3293,3704,10520
0,0,0,3794,3685,10619
0,0,0,2991,3265,10671
0,0,0,3208,3838,10572
0,0,0,3144,3815,10536
0,0,0,3236,3589,10329
0,0,0,3018,3648,10525
0,0,0,3319,3499,10436
0,0,0,2792,3855,10006
0,0,0,2706,3866,10070
0,0,0,3387,3951,10686
0,0,0,3332,3889,10580
0,0,0,2986,4018,10381
0,0,0,3099,3710,10213
0,0,0,3158,3655,10494
0,0,0,3191,4156,10318
0,0,0,3170,3658,10545
0,0,0,2876,3932,10460
0,0,0,2901,3814,10494
0,0,0,2809,3778,10451
0,0,0,3008,4007,10468
0,0,0,3514,3944,10801
0,0,0,3214,4389,10320
0,0,0,3249,3722,10428
0,0,0,3568,3978,10949
0,0,0,3397,3808,9934
0,0,0,3356,3861,10121
0,0,0,3248,3992,10007
0,0,0,3450,3974,10584
0,0,0,3379,3737,10050
0,0,0,3189,4004,10400
0,0,0,3370,3790,10183
0,0,0,3331,3512,10320
0,0,0,3347,3695,10094
0,0,0,3432,3773,10129
0,0,0,3282,4548,10438
0,0,0,3467,3777,10144
0,0,0,3301,3753,10276
0,0,0,3300,3495,10329
0,0,0,3370,4180,9578
0,0,0,2971,3383,10720
0,0,0,3126,3677,10250
0,0,0,3129,3725,10405
0,0,0,3102,4164,10381
0,0,0,3117,4104,10361
0,0,0,3133,4117,10330
0,0,0,3545,3918,9970
0,0,0,3490,3729,10119
0,0,0,3380,3732,10148
0,0,0,3432,3751,10213
0,0,0,3490,3683,10108
0,0,0,3282,3583,10386
0,0,0,3313,4358,10357
0,0,0,3186,4047,10304
0,0,0,3264,4036,10244
0,0,0,3292,3954,10191
0,0,0,3272,3861,8882
0,0,0,3408,3812,10094
0,0,0,3508,3852,10019
0,0,0,3528,3906,11080
0,0,0,3429,3386,10039
0,0,0,3221,3583,10385
0,0,0,3220,3524,10411
0,0,0,4357,3729,10504
0,0,0,3232,3939,10186
0,0,0,3192,4005,10264
0,0,0,3332,4020,10188
0,0,0,3144,4048,10265
0,0,0,3165,3976,10321
0,0,0,3405,3776,10023
0,0,0,3161,2418,10496
0,0,0,3338,4210,10306
0,0,0,3020,3672,9992
0,0,0,2984,3988,10326
0,0,0,2960,3877,10408
0,0,0,3144,4034,10318
0,0,0,2870,3583,10512
0,0,0,2988,4132,10391
0,0,0,3544,3928,10495
0,0,0,3242,3901,10083
0,0,0,3489,3934,10907
0,0,0,3338,4570,10267
0,0,0,2810,3919,10640
0,0,0,2989,3784,10410
0,0,0,3084,3521,10384
0,0,0,2926,4056,10182
0,0,0,2858,3847,10489
0,0,0,3440,3940,10533
0,0,0,3014,4116,10352
0,0,0,3152,3583,10443
0,0,0,3088,3631,10496
0,0,0,3213,3625,10459
0,0,0,3583,3794,10186
0,0,0,3566,3935,9941
0,0,0,3218,3994,10348
0,0,0,3097,4972,10416
0,0,0,2989,3805,11304
0,0,0,3487,3915,10108
0,0,0,3154,3964,10202
0,0,0,3146,3982,10072
0,0,0,3520,3924,10032
0,0,0,3223,3840,9988
0,0,0,2069,3762,10306
0,0,0,3222,3926,11046
0,0,0,3374,3688,9465
0,0,0,3386,3796,10152
0,0,0,3520,3849,10088
0,0,0,3453,3712,10126
0,0,0,3554,3524,10405
0,0,0,3792,3882,10441
0,0,0,3410,3859,10113
0,0,0,3296,3583,10357
0,0,0,3122,3695,10486
0,0,0,3000,3942,10580
0,0,0,3199,3968,10205
0,0,0,3087,4038,10375
0,0,0,2966,3743,10460
0,0,0,2911,3891,10586
0,0,0,3082,4036,10389
0,0,0,3118,4038,10412
0,0,0,3220,4027,10316
0,0,0,3577,3834,10001
0,0,0,3393,3786,10191
0,0,0,3442,3789,10093
0,0,0,3321,3563,10419
0,0,0,3018,3928,9500
0,0,0,2932,4267,10428
0,0,0,2976,4210,10418
0,0,0,3105,4222,10363
0,0,0,3029,5171,10341
0,0,0,3092,3748,10455
0,0,0,3139,4169,10335
0,0,0,3153,4128,10401
0,0,0,3474,3804,10475
0,0,0,2873,3778,10576
0,0,0,2355,3979,10862
0,0,0,3122,4043,10338
0,0,0,2952,3981,10414
0,0,0,2895,3905,10529
0,0,0,3452,3893,9941
0,0,0,3429,3796,10212
