MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2888,3777,8976
0,0,0,3936,3984,9074
0,0,0,3138,3945,8786
0,0,0,2746,3759,9281
0,0,0,2699,4260,9118
0,0,0,2970,3862,9024
0,0,0,2719,4210,8845
0,0,0,2880,2778,9149
0,0,0,2717,3843,9187
0,0,0,3024,3917,8901
0,0,0,3042,4072,8987
0,0,0,2993,2769,8809
0,0,0,2550,4162,9154
0,0,0,3035,3913,8848
0,0,0,2596,4299,8913
0,0,0,2929,4377,8992
0,0,0,2592,4147,8993
0,0,0,3125,4061,8655
0,0,0,2666,3923,9241
0,0,0,2746,4254,8860
0,0,0,2992,3776,8876
0,0,0,2656,4280,8904
0,0,0,3499,3890,7698
0,0,0,2451,3935,9145
0,0,0,3112,4100,8696
0,0,0,2734,3827,9196
0,0,0,2792,4273,8917
0,0,0,2921,4002,8608
0,0,0,3946,3971,9140
0,0,0,2916,4208,8859
0,0,0,2833,4000,9190
0,0,0,2811,4185,8772
0,0,0,2856,3691,8805
0,0,0,2698,4239,8936
0,0,0,2983,3763,8950
0,0,0,2974,4143,9200
0,0,0,2794,3740,9162
0,0,0,2644,4275,8968
0,0,0,3068,4059,8732
0,0,0,2911,3781,9017
0,0,0,2560,4032,9051
0,0,0,2864,4173,8791
0,0,0,2992,3656,8961
0,0,0,2998,3942,9028
0,0,0,2740,4174,8976
0,0,0,2997,3976,8860
0,0,0,2624,4045,9096
0,0,0,2813,4674,8849
0,0,0,3031,3898,9062
0,0,0,2536,4135,9260
0,0,0,3121,3859,8796
0,0,0,3184,3892,9151
0,0,0,2839,4120,8932
0,0,0,2968,2714,8879
0,0,0,2753,4044,9156
0,0,0,2935,4153,9457
0,0,0,2889,3801,9204
0,0,0,2625,4170,8907
0,0,0,2833,3894,9005
0,0,0,2697,4234,8940
0,0,0,2983,3987,8297
0,0,0,2506,4149,9075
0,0,0,2984,3729,8977
0,0,0,2777,4134,8229
0,0,0,2688,3968,9212
0,0,0,3156,3983,8644
0,0,0,3472,4205,9154
0,0,0,3103,3960,8851
0,0,0,2573,4060,9076
0,0,0,2948,3795,8908
0,0,0,2576,4332,9040
0,0,0,3071,3897,8811
0,0,0,3661,4075,8398
0,0,0,2889,3740,9043
0,0,0,2698,4317,8972
0,0,0,2880,3644,8905
0,0,0,3206,4119,8683
0,0,0,3115,4000,9280
0,0,0,3012,3876,8798
0,0,0,2636,4278,8946
0,0,0,3016,3845,8811
0,0,0,2600,4359,9239
0,0,0,2976,3642,9011
0,0,0,2908,4134,9948
0,0,0,2924,3919,9203
0,0,0,2880,4095,8618
0,0,0,2805,3874,9256
0,0,0,2815,4272,8872
0,0,0,2752,3729,9186
0,0,0,3094,4022,8709
0,0,0,1976,4173,9356
0,0,0,3008,4693,8924
0,0,0,2564,4139,9089
0,0,0,3012,4191,8753
0,0,0,2604,4034,9013
0,0,0,2942,4089,8960
0,0,0,2876,4187,8725
0,0,0,2758,3016,9214
0,0,0,2689,4172,8896
0,0,0,2741,4008,9123
0,0,0,2989,3901,8784
0,0,0,2529,4122,9138
0,0,0,3028,3946,8830
0,0,0,2589,4107,10199
0,0,0,2903,3873,8968
0,0,0,2681,4280,9081
0,0,0,3084,3949,8827
0,0,0,2665,3936,8970
0,0,0,2976,3938,8872
0,0,0,2265,4188,9092
0,0,0,2993,3904,8795
0,0,0,3383,4032,9247
0,0,0,3130,4021,8634
0,0,0,2549,4093,9058
0,0,0,3003,3887,8889
0,0,0,2671,4028,9267
0,0,0,3145,3983,8666
0,0,0,3420,3994,9090
0,0,0,2929,4108,8642
0,0,0,3315,4120,9165
0,0,0,2694,4149,8624
0,0,0,2917,3752,9192
0,0,0,2622,4234,8252
