MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2714,2569,9379
0,0,0,2851,2852,9315
0,0,0,3348,2618,9002
0,0,0,2909,3531,9280
0,0,0,3396,3048,9054
0,0,0,2917,2388,9215
0,0,0,3356,2669,8984
0,0,0,4111,2520,9469
0,0,0,3450,2439,9042
0,0,0,2796,2798,9216
0,0,0,3268,2491,9010
0,0,0,2796,2504,9439
0,0,0,3487,2465,9043
0,0,0,2858,2634,9343
0,0,0,3342,2514,8880
0,0,0,2959,2357,9523
0,0,0,3250,2605,9212
0,0,0,2998,2449,9431
0,0,0,2987,2801,9192
0,0,0,3058,2273,9192
0,0,0,2930,2008,9349
0,0,0,3373,2586,8989
0,0,0,3858,2594,9493
0,0,0,3120,2708,8952
0,0,0,3096,1847,9536
0,0,0,2832,2825,9170
0,0,0,3012,1973,9291
0,0,0,3353,2984,8980
0,0,0,3846,2464,9440
0,0,0,3078,2691,8932
0,0,0,3120,2368,9390
0,0,0,2966,2849,9188
0,0,0,3231,2297,9266
0,0,0,3013,2756,9465
0,0,0,3187,2223,9337
0,0,0,2933,2773,9322
0,0,0,3201,2264,9316
0,0,0,2936,2779,9109
0,0,0,3071,2230,9244
0,0,0,3043,2670,9213
0,0,0,3041,2370,9328
0,0,0,3096,2657,9208
0,0,0,3264,2183,9314
0,0,0,2884,2756,9296
0,0,0,3085,2435,9518
0,0,0,3060,2519,9497
0,0,0,3216,2586,9236
0,0,0,3441,2464,9506
0,0,0,3314,2409,9064
0,0,0,2916,1960,9586
0,0,0,3209,2715,9012
0,0,0,2948,2544,9485
0,0,0,2784,2426,9126
0,0,0,3598,2552,9465
0,0,0,3309,2388,9165
0,0,0,2796,2571,9388
0,0,0,3392,2407,9193
0,0,0,2963,2503,9320
0,0,0,3213,2544,8938
0,0,0,2818,2591,9429
0,0,0,3872,2093,9367
0,0,0,3080,1442,9296
0,0,0,3730,2720,8410
0,0,0,3272,2505,9051
0,0,0,2769,2784,9248
0,0,0,3216,2198,9284
0,0,0,2445,2747,9347
0,0,0,3143,2507,9267
0,0,0,2992,2714,9221
0,0,0,2903,2488,9628
0,0,0,3408,2569,9020
0,0,0,3078,2826,9245
0,0,0,3021,2204,9253
0,0,0,3097,2660,9279
0,0,0,2498,2624,9470
0,0,0,3148,2337,9238
0,0,0,1791,2900,9447
0,0,0,3036,2381,9476
0,0,0,3323,2503,8898
0,0,0,3005,2697,9201
0,0,0,3171,3236,9341
0,0,0,2899,2829,9426
0,0,0,3065,2348,9386
0,0,0,3276,2608,9263
0,0,0,2955,2530,9540
0,0,0,3234,2706,10143
0,0,0,2350,2355,9394
0,0,0,3008,1928,9356
0,0,0,3184,2554,9180
0,0,0,3087,2650,9436
0,0,0,3063,2640,9794
0,0,0,3083,2211,9364
0,0,0,2960,2902,9273
0,0,0,3094,2279,9325
0,0,0,2866,2943,9458
0,0,0,3242,2323,9469
0,0,0,2396,2846,9509
0,0,0,2535,2585,9352
0,0,0,3019,2704,9194
0,0,0,3065,2368,8962
0,0,0,3314,2618,9637
0,0,0,2977,2377,9439
0,0,0,3241,1748,9178
0,0,0,2853,2868,9414
0,0,0,3216,2509,9264
0,0,0,2952,2854,9325
0,0,0,3224,2347,9269
0,0,0,2780,2671,9873
0,0,0,3857,2603,9024
0,0,0,2983,2599,9552
0,0,0,2279,2791,9082
0,0,0,3064,2420,9566
0,0,0,2966,2793,9300
0,0,0,3123,2340,9480
0,0,0,3128,3052,9171
0,0,0,2796,2443,9507
0,0,0,3380,2473,9140
0,0,0,2955,2669,9273
0,0,0,3108,1957,9577
0,0,0,3112,2485,9136
0,0,0,3068,2820,9241
0,0,0,3130,2391,9529
0,0,0,3396,1362,9362
0,0,0,3715,2537,9355
0,0,0,3338,2512,9037
0,0,0,2885,2821,8958
0,0,0,3072,2223,9421
0,0,0,3054,2773,9301
0,0,0,3010,2508,9408
0,0,0,3479,2608,8998
0,0,0,2893,2568,8857
0,0,0,3342,2470,9085
0,0,0,2896,2478,9329
0,0,0,3272,2481,9093
0,0,0,2964,2612,9342
