MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
1457,0,0,3243,4061,7770
872,0,0,3136,3975,7912
957,0,0,3807,3836,7881
711,0,0,3306,4085,7757
766,0,0,3259,4185,7824
1030,0,0,3965,4032,7847
1013,0,0,4226,3980,7776
0,0,0,3177,3224,7940
1300,0,0,3358,4252,7745
584,0,0,3534,4222,7708
634,0,0,3533,4162,7623
674,0,0,3412,4008,8817
824,0,0,3961,4035,7463
880,0,0,3713,3882,7488
249,0,0,3785,3984,7501
754,0,0,3785,3861,7620
1138,0,0,3639,4288,7754
1170,0,0,3694,3476,7807
1089,0,0,3438,3696,7815
1169,0,0,3400,4214,7881
779,0,0,3376,4195,7790
622,0,0,3515,4268,7618
775,0,0,3748,4388,6395
925,0,0,3631,3776,7992
971,0,0,3392,3748,8053
846,0,0,3533,3962,7895
775,0,0,3129,4281,7682
709,0,0,3678,4153,8020
846,0,0,3733,3955,7586
1317,0,0,3606,3734,7710
1120,0,0,3517,3796,8024
773,0,0,3384,4061,7679
813,0,0,3444,4144,7705
749,0,0,3610,4192,8639
704,0,0,3764,3872,7493
724,0,0,3769,3938,7586
857,0,0,3796,3825,7977
874,0,0,3607,3820,7636
832,0,0,3675,3776,7651
626,0,0,3675,4108,7593
1110,0,0,3332,3529,7390
1040,0,0,3372,3870,7890
895,0,0,3813,4136,7904
794,0,0,3375,4216,7672
989,0,0,3377,4300,7736
746,0,0,3698,4040,7648
836,0,0,3792,3982,7564
686,0,0,3701,3869,7618
1040,0,0,2601,3947,7939
1570,0,0,3492,4293,7712
892,0,0,3669,4032,7394
893,0,0,3716,3816,7666
1023,0,0,3733,3898,7547
884,0,0,3633,3938,7672
1132,0,0,3615,3319,7664
898,0,0,4244,3911,7927
764,0,0,3459,4218,7685
488,0,0,3460,4153,7706
676,0,0,3710,4218,7576
1992,0,0,3433,4298,7665
981,0,0,3456,4233,7768
628,0,0,3610,4054,7610
832,0,0,3757,3980,7546
1208,0,0,3647,3754,7572
1068,0,0,3581,3709,7522
800,0,0,3372,4341,7733
714,0,0,3282,3396,7376
890,0,0,3833,3899,7586
890,0,0,3937,3826,7632
1067,0,0,3269,3824,7970
877,0,0,3191,3404,7729
1378,0,0,3444,4375,7694
576,0,0,3560,4008,7760
908,0,0,3843,3944,7604
1088,0,0,3578,3677,7842
1048,0,0,3552,3733,7932
832,0,0,3227,3972,7914
