MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3692,7031,9920
0,0,0,4290,7003,9549
0,0,0,4004,6759,10072
0,0,0,3957,6706,10049
0,0,0,3793,6955,9829
0,0,0,3800,7082,9914
0,0,0,3932,7107,9716
0,0,0,4027,6997,9684
0,0,0,3962,7069,10014
0,0,0,4122,6742,10605
0,0,0,4281,6816,9724
0,0,0,4341,6650,9754
0,0,0,4203,6808,10030
0,0,0,3767,6978,9872
0,0,0,3856,7679,9833
0,0,0,4055,7019,9760
0,0,0,4218,6862,9603
0,0,0,4224,6826,9613
0,0,0,3935,7491,9981
0,0,0,3865,6920,10021
0,0,0,3720,7021,9931
0,0,0,3918,7194,9731
0,0,0,4225,6814,9192
0,0,0,3996,6692,9793
0,0,0,4140,6800,9946
0,0,0,3792,6929,9775
0,0,0,4023,7064,9709
0,0,0,4303,6964,9477
0,0,0,4155,6669,9803
0,0,0,4071,6893,9884
0,0,0,3769,7261,9575
0,0,0,4027,7116,10229
0,0,0,4324,6916,9592
0,0,0,4169,6569,9694
0,0,0,4102,6600,9624
0,0,0,2824,6973,9956
0,0,0,3786,6953,9891
0,0,0,4055,7087,9656
0,0,0,4230,7027,9398
0,0,0,4148,6928,9316
0,0,0,4083,7031,10341
0,0,0,4382,6827,9584
0,0,0,4317,6960,9570
0,0,0,4229,6861,9345
0,0,0,4306,6895,9618
0,0,0,4242,6824,9618
0,0,0,4103,6572,9748
0,0,0,4194,7505,9740
0,0,0,4095,5488,9842
0,0,0,3073,6828,10039
0,0,0,4701,6898,9907
0,0,0,4081,7059,9616
0,0,0,4348,6976,9551
0,0,0,4140,7246,9839
0,0,0,3960,6853,10056
0,0,0,3786,6982,9908
0,0,0,3991,7272,9737
0,0,0,3800,7276,9856
0,0,0,3770,6985,9804
0,0,0,4075,7067,9559
0,0,0,3927,7240,9765
0,0,0,3724,7003,9950
0,0,0,4059,7125,9661
0,0,0,4082,7184,9616
0,0,0,4103,7076,9473
0,0,0,4260,6857,9684
0,0,0,4323,6931,9654
0,0,0,4188,6909,9736
0,0,0,4180,6764,9743
0,0,0,4134,7684,9758
0,0,0,3813,6972,9849
0,0,0,4234,7096,9634
0,0,0,4181,6929,9677
0,0,0,4773,7017,9876
0,0,0,4162,7105,9384
0,0,0,4187,6886,9727
0,0,0,4187,6833,9684
0,0,0,3976,6776,9600
0,0,0,3858,7117,9883
0,0,0,3950,7292,10008
0,0,0,3740,6959,9997
0,0,0,3783,4936,9831
0,0,0,3977,7190,9770
0,0,0,4131,7189,10532
0,0,0,4204,6881,9706
0,0,0,4098,6609,9550
0,0,0,4098,6794,9981
0,0,0,4468,6998,10048
0,0,0,3842,6240,9788
0,0,0,4042,7067,9750
0,0,0,4173,7075,9589
0,0,0,4055,7181,10555
0,0,0,4326,6962,9547
0,0,0,4341,6964,9436
0,0,0,4300,7030,9595
0,0,0,4234,6336,9684
0,0,0,4357,6977,9448
0,0,0,4353,6976,9509
0,0,0,4347,6960,9536
0,0,0,4225,7033,9607
0,0,0,4256,6968,9664
0,0,0,4322,6992,9904
0,0,0,3716,5754,9882
0,0,0,4116,6952,10323
0,0,0,4130,7107,9589
0,0,0,2843,7049,9445
0,0,0,4249,6920,9719
0,0,0,3976,7026,9998
0,0,0,3752,7140,9902
0,0,0,4171,7010,10395
0,0,0,4631,6790,9627
0,0,0,4144,7316,9804
0,0,0,4010,6835,10036
0,0,0,3705,7025,9968
0,0,0,4086,7049,10292
0,0,0,4291,6856,9697
0,0,0,4802,6680,9812
0,0,0,4144,6783,9994
0,0,0,4480,6990,9944
0,0,0,3875,7246,9751
0,0,0,4023,5765,9949
0,0,0,4370,6920,9476
0,0,0,4208,7004,9781
0,0,0,4704,7092,9883
0,0,0,3844,7260,9692
0,0,0,4139,6909,9750
0,0,0,3924,6946,10044
0,0,0,3956,7223,9724
0,0,0,4222,6966,9589
0,0,0,3890,6062,10060
0,0,0,3848,6550,9799
0,0,0,4253,6060,9664
0,0,0,3878,6190,10049
0,0,0,3990,6555,9703
0,0,0,4251,6804,9684
0,0,0,4010,6784,10074
0,0,0,3798,7004,9927
0,0,0,3942,7185,9742
0,0,0,4354,7005,9432
0,0,0,4234,7302,9752
0,0,0,4022,6886,10016
0,0,0,3654,7096,9953
0,0,0,4140,7048,10050
0,0,0,4249,6818,9813
0,0,0,3992,6788,10110
0,0,0,3976,7218,9680
0,0,0,3368,7189,9620
0,0,0,4120,7024,9519
0,0,0,4145,7453,9732
0,0,0,4125,6674,9747
0,0,0,3891,6957,9924
0,0,0,3804,7027,9932
0,0,0,3860,7245,9812
0,0,0,4091,7180,9673
0,0,0,4289,6829,9602
0,0,0,4180,7084,9694
0,0,0,4113,6861,9764
0,0,0,4173,6651,9852
0,0,0,4019,6863,10049
0,0,0,3960,7287,9752
0,0,0,3839,6908,9712
0,0,0,3792,7104,9914
0,0,0,4181,7106,9873
0,0,0,3946,7144,9993
0,0,0,4011,7171,10130
0,0,0,3864,6660,10089
0,0,0,3885,6864,9953
0,0,0,3989,7180,9785
0,0,0,4424,7062,9572
0,0,0,4070,6707,9933
0,0,0,4008,7188,9677
0,0,0,4205,6772,9798
0,0,0,4017,7161,9754
0,0,0,4212,6989,9717
0,0,0,3904,7042,9854
0,0,0,4373,6881,9577
0,0,0,4008,6823,9949
0,0,0,4007,7140,9633
0,0,0,4324,6960,9582
0,0,0,3174,6694,9768
0,0,0,3721,7087,9932
0,0,0,4037,7136,9680
0,0,0,2762,7076,9834
0,0,0,4288,6807,9621
0,0,0,4116,7180,9758
0,0,0,4234,6742,9591
0,0,0,3917,7197,9581
0,0,0,4181,6867,9618
0,0,0,3810,6887,9551
0,0,0,4218,7173,9767
0,0,0,4278,6837,9617
0,0,0,3785,7138,9851
0,0,0,4056,7095,9972
0,0,0,4116,7373,9704
0,0,0,3831,7223,9873
0,0,0,4286,6817,9435
0,0,0,4311,6930,9937
0,0,0,4221,6900,9629
0,0,0,3726,7038,9956
0,0,0,3976,6920,9852
0,0,0,4163,6802,9711
0,0,0,3915,6909,9980
0,0,0,3963,7181,9780
0,0,0,4071,7087,9462
