MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2785,2438,8774
0,0,0,2699,2482,8804
0,0,0,2905,2712,8527
0,0,0,3265,2461,9096
0,0,0,3125,2219,8363
0,0,0,3032,2228,8714
0,0,0,2891,2248,8788
0,0,0,2753,2532,8773
0,0,0,2759,2476,8667
0,0,0,2873,2601,8479
0,0,0,2991,2489,8512
0,0,0,3232,2363,8367
0,0,0,3249,2698,8427
0,0,0,2939,2112,8542
0,0,0,2736,2185,8675
0,0,0,2900,2685,8544
0,0,0,3259,2524,8379
0,0,0,3069,2533,8469
0,0,0,2987,2236,8788
0,0,0,2795,2536,8694
0,0,0,3300,2446,8959
0,0,0,3037,2160,8644
0,0,0,3058,2378,8669
0,0,0,2466,2673,8640
0,0,0,3247,2482,8650
0,0,0,3223,2397,8293
0,0,0,3252,2378,8451
0,0,0,2882,3161,8499
0,0,0,2882,2212,8858
0,0,0,2947,2342,8846
0,0,0,2810,2376,8694
0,0,0,2797,2617,8534
0,0,0,2789,2654,8971
0,0,0,2847,2676,8590
0,0,0,2988,2641,8908
0,0,0,3282,2436,8143
0,0,0,3144,1672,8432
0,0,0,2939,2248,8779
0,0,0,2880,2313,8760
0,0,0,3124,2550,8449
0,0,0,3254,2340,8328
0,0,0,3033,2031,8540
0,0,0,3205,2377,8744
0,0,0,2830,2428,8581
0,0,0,2911,2578,8667
0,0,0,3240,2351,8260
0,0,0,3047,2134,7538
0,0,0,4034,2376,8790
0,0,0,3063,2410,8440
0,0,0,3256,2375,8340
0,0,0,3065,2597,8492
0,0,0,2848,2214,8810
0,0,0,2890,2700,8673
0,0,0,3220,2383,9089
0,0,0,2727,2231,8633
0,0,0,2796,2608,8600
0,0,0,2992,2660,8581
0,0,0,3312,2307,8292
0,0,0,2880,2272,8352
0,0,0,3778,2384,8724
0,0,0,2760,2653,8636
0,0,0,2986,2500,8517
0,0,0,3329,2536,8184
0,0,0,3147,2356,8356
0,0,0,3026,2225,8583
0,0,0,2720,2359,8675
0,0,0,2973,2645,8585
0,0,0,3301,2937,8242
0,0,0,3104,2292,8299
0,0,0,2520,2347,9014
0,0,0,2783,2651,8540
0,0,0,2944,2552,8108
0,0,0,3010,2568,8960
0,0,0,3329,2636,9088
0,0,0,3330,2431,8444
0,0,0,3243,2392,8315
0,0,0,3104,2341,8366
0,0,0,3815,2113,8460
0,0,0,3024,2150,8585
0,0,0,2732,2497,8723
0,0,0,3013,2592,8526
0,0,0,3017,2357,8262
0,0,0,3098,2127,8578
0,0,0,2650,2482,8700
0,0,0,2856,2672,8581
0,0,0,3393,1685,8272
0,0,0,2943,2180,8586
0,0,0,2770,2397,8668
0,0,0,3019,2692,8592
0,0,0,3082,2672,8409
0,0,0,2640,2542,8842
0,0,0,3278,2437,8184
0,0,0,2987,2249,8853
0,0,0,2852,2645,8552
0,0,0,3306,2337,8353
0,0,0,2951,2084,8568
0,0,0,2982,2693,7532
0,0,0,3209,2372,8340
0,0,0,3040,2162,8507
0,0,0,2736,2344,8720
0,0,0,3036,2631,8560
0,0,0,3196,2306,8256
0,0,0,3215,2362,8349
0,0,0,3003,2168,8572
0,0,0,2705,2388,8710
0,0,0,2933,3329,8567
0,0,0,2992,2524,8370
0,0,0,3188,2481,9254
0,0,0,3302,2321,8316
0,0,0,3114,2914,8445
0,0,0,3160,2358,8256
0,0,0,3131,2262,8404
0,0,0,2962,3518,8593
0,0,0,2924,2284,8793
0,0,0,2750,2425,8693
0,0,0,2732,2492,8736
0,0,0,3021,2554,8512
0,0,0,3240,2539,8899
0,0,0,3187,2390,8442
0,0,0,2946,2284,8126
0,0,0,3020,2695,8610
0,0,0,3094,2479,8417
0,0,0,3127,2320,7634
0,0,0,3022,2188,8659
0,0,0,2763,2487,8695
