MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
10829,12703,1679,3648,1481,7294
10825,12645,1860,3789,1457,6789
10775,12728,1685,3664,1512,7291
10701,12611,1619,3674,1436,7258
10516,12724,1609,3642,1179,7328
10542,12583,1590,3625,1167,7480
10561,12238,1604,3688,1221,7540
10532,12588,1634,3722,2043,7532
10589,12579,1616,3446,1329,7480
10636,12635,1640,3641,1495,6843
10755,12594,1672,3543,1451,7287
10764,12794,1728,3848,1609,7077
10832,12627,1818,3915,1592,7087
10674,12610,1620,3656,1732,7375
10617,12471,1616,3658,1768,7772
10648,12407,1597,3439,1756,7215
10845,12522,1897,3915,1415,7026
10763,12759,1818,3930,1660,7160
10792,12913,1883,3928,1608,7164
10819,12536,1873,4205,1640,7108
10482,12111,1465,3520,1728,7364
10410,12032,1369,3401,1625,7702
10239,12100,1344,3419,1783,7522
10517,12454,1553,3766,1345,7724
10532,12712,1789,3755,2191,7432
10746,12768,1865,4004,1628,7173
10584,12456,1724,3572,1544,7431
10380,11433,922,3552,1762,7481
10726,12330,1160,3311,1695,7563
10419,12375,1352,3532,1466,7594
10586,12519,1325,3669,1284,6916
10704,12766,1572,3806,1501,7277
10758,12828,1560,3906,1474,7212
10682,12533,1629,3921,1600,7161
10327,12327,1080,3570,1819,7420
9909,12341,1348,3592,1422,7669
10424,12364,1468,3666,1504,7676
10545,12627,1543,3652,1221,7360
10636,12556,1617,3711,1681,7394
10693,12588,1752,3878,1360,7269
10541,12502,1977,3909,1628,7148
10380,12362,1476,3607,1882,7389
10265,12833,364,3376,1686,7580
10130,12053,1413,3382,1559,7720
10114,12322,1941,3275,1444,7741
10464,12512,1469,3542,1261,7345
10502,12458,1100,3522,1385,7647
10377,12475,1542,3494,1090,7131
10765,12776,1528,3829,1601,7364
10066,12346,1548,3822,1706,7438
10130,12200,1353,3520,1841,7453
10468,12352,1552,3959,1440,7605
10516,12882,1535,3573,1395,7360
10896,12864,1817,3785,1677,7181
10568,12236,1385,3447,1845,7343
10282,12265,1297,3345,1651,7593
10245,12576,1605,3563,1140,7529
10750,12588,1836,3699,1500,7234
10770,12481,1619,2942,1633,7254
10369,12184,1419,3280,1797,7506
10157,13406,1269,4049,1584,7528
10747,12579,1586,3662,1332,7508
10784,12736,1792,3601,1845,7302
10818,12692,1736,3748,784,7187
10465,12484,74,3847,1513,7197
10537,12399,1553,3908,1484,6895
10397,12282,1398,3604,1714,6805
10258,12171,1312,3431,1719,7441
10684,12480,1481,3187,1586,7808
10280,12565,1538,3605,1344,7364
10717,12661,1618,3609,2194,7363
10808,12678,1677,3548,1298,7284
10642,12612,1588,4164,1690,7130
10511,12360,1448,3513,1985,7393
9695,12357,1177,3217,1078,7656
10613,12628,1522,3669,1278,7390
10787,12290,1872,3874,1824,7090
10698,12376,1540,3537,1895,7381
9971,11607,1289,3345,1804,7526
10570,12334,1406,3250,1474,7628
10468,12488,293,4232,1448,7671
10621,12587,1520,3327,1370,7391
10896,12672,2008,3848,1584,7333
