MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4112,5720,9962
0,0,0,4767,5631,10364
0,0,0,4395,5538,9818
0,0,0,4264,5704,10012
0,0,0,3809,5640,10340
0,0,0,4054,4357,10460
0,0,0,4288,5440,9845
0,0,0,4018,5885,10014
0,0,0,3144,5876,10087
0,0,0,3964,5713,10273
0,0,0,4022,5348,10248
0,0,0,4123,5220,10084
0,0,0,4254,5240,10114
0,0,0,4215,5731,10000
0,0,0,4436,5522,10335
0,0,0,4164,5241,10127
0,0,0,4259,5440,10174
0,0,0,4300,5381,9953
0,0,0,4352,5568,9903
0,0,0,4193,5732,9933
0,0,0,3962,5776,10044
0,0,0,3839,5622,10148
0,0,0,3993,5465,10248
0,0,0,4026,5243,10253
0,0,0,4200,5658,10051
0,0,0,4008,5478,9836
0,0,0,4315,5626,10449
0,0,0,4032,5491,10370
0,0,0,4297,5587,9888
0,0,0,4250,5631,10127
0,0,0,3971,5787,10041
0,0,0,3864,5675,10117
0,0,0,4324,5558,10322
0,0,0,3930,5461,10967
0,0,0,3844,5316,10149
0,0,0,3937,5668,9981
0,0,0,4252,5513,10008
0,0,0,4207,5520,9935
0,0,0,4205,5500,10142
0,0,0,4237,6223,10163
0,0,0,4441,5634,10797
0,0,0,4285,5508,8804
0,0,0,4199,5631,10512
0,0,0,3930,5744,9332
0,0,0,3953,5368,10144
0,0,0,4115,5510,10305
0,0,0,4203,5392,9948
0,0,0,4149,5457,10518
0,0,0,4183,6653,10103
0,0,0,4703,5170,9936
0,0,0,3966,5523,10318
0,0,0,4140,5415,10249
0,0,0,4350,5397,9811
0,0,0,4368,5484,9916
0,0,0,3969,5741,10029
0,0,0,4117,5597,10751
0,0,0,4416,5592,9884
0,0,0,4362,5588,9727
0,0,0,3908,5777,10142
0,0,0,4112,5421,9888
0,0,0,4160,5358,10194
0,0,0,4193,5672,9787
0,0,0,4214,5663,9624
0,0,0,4537,5563,9799
0,0,0,4170,5631,10074
0,0,0,4039,5706,9910
0,0,0,3926,5766,10132
0,0,0,3936,5705,10023
0,0,0,4349,5474,9880
0,0,0,4305,5592,9968
0,0,0,4100,5456,10040
0,0,0,4240,6088,10112
0,0,0,4369,5466,9861
0,0,0,4165,5729,9905
0,0,0,3860,5715,10138
0,0,0,3792,5631,10361
0,0,0,3973,5629,10360
0,0,0,4312,4526,9970
0,0,0,4150,5650,9942
0,0,0,3817,5584,10187
0,0,0,4100,5421,10146
0,0,0,4233,5241,10580
0,0,0,4374,5544,9882
0,0,0,4256,5442,10184
0,0,0,4106,5420,10364
0,0,0,3484,5313,10093
0,0,0,4324,5561,10983
0,0,0,4305,5533,9974
