MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,6693,5788,12196
0,0,0,5767,6287,12309
0,0,0,6650,6286,12122
0,0,0,6468,6243,12379
0,0,0,6655,3783,12109
0,0,0,6900,6210,11868
0,0,0,7385,6182,12332
0,0,0,6368,6006,12369
0,0,0,6484,5996,12490
0,0,0,6618,6247,12224
0,0,0,6748,6332,12308
0,0,0,6546,6385,12230
0,0,0,6600,5772,14260
0,0,0,6536,6429,12147
0,0,0,7366,5970,12441
0,0,0,6696,4607,12243
0,0,0,6372,5999,12457
0,0,0,6732,6622,12170
0,0,0,6360,6014,11176
0,0,0,8730,6228,12059
0,0,0,6651,5914,12501
0,0,0,6466,6433,12428
0,0,0,6709,5929,11972
0,0,0,6916,6149,11952
0,0,0,6582,5928,12538
0,0,0,6833,6196,11933
0,0,0,6521,5998,12629
0,0,0,6709,6906,12249
0,0,0,6656,5847,12198
0,0,0,6435,6184,12326
0,0,0,6853,5937,12005
0,0,0,6407,6010,12408
0,0,0,6728,5737,12162
0,0,0,6639,6233,12004
0,0,0,6883,5954,12030
0,0,0,6795,5953,12037
0,0,0,6964,6189,11922
0,0,0,6522,6171,12467
0,0,0,6682,5927,12199
0,0,0,6642,5750,12359
0,0,0,7045,6047,12005
0,0,0,6579,5941,12554
0,0,0,6600,6001,12486
0,0,0,6494,6186,12367
0,0,0,6444,6028,12385
0,0,0,6755,5723,12196
0,0,0,6655,5878,12303
0,0,0,6881,6051,12028
0,0,0,6428,6097,12483
0,0,0,6616,5722,13034
0,0,0,6848,5990,12088
0,0,0,6621,5926,12481
0,0,0,6720,6276,12362
0,0,0,6653,6091,12510
0,0,0,6595,6238,15478
0,0,0,6937,6030,11908
0,0,0,6833,6033,12056
0,0,0,6655,6354,12125
0,0,0,6517,6455,12364
0,0,0,6789,5861,12309
0,0,0,6660,6404,12151
0,0,0,6712,5828,12173
0,0,0,6936,6148,11864
0,0,0,6432,6175,12910
0,0,0,6918,5983,11919
0,0,0,6655,6321,12105
0,0,0,6465,6074,12323
0,0,0,6683,5536,12313
0,0,0,6423,6399,12817
0,0,0,6761,6812,12078
0,0,0,6616,6263,11777
0,0,0,6341,5887,12327
0,0,0,6812,5926,11974
0,0,0,6816,6418,12097
0,0,0,6776,6235,11981
0,0,0,6835,6026,11942
0,0,0,6984,6174,11966
0,0,0,6414,6181,12305
0,0,0,6872,6043,11975
0,0,0,6871,6004,11947
0,0,0,7549,6053,11862
0,0,0,6655,6239,12058
0,0,0,6915,6097,11881
0,0,0,6809,6454,12068
0,0,0,6699,6281,12028
0,0,0,6609,6262,9979
0,0,0,6626,6364,12160
0,0,0,6753,6413,12104
0,0,0,6749,5970,11917
0,0,0,6904,6197,11872
0,0,0,6427,6106,12340
0,0,0,6655,5835,12241
0,0,0,7043,6020,11934
0,0,0,6618,6296,12122
0,0,0,6708,5952,12412
0,0,0,6872,6044,12655
0,0,0,7124,6041,12474
0,0,0,6625,6419,12176
0,0,0,6491,6384,12345
0,0,0,6669,5723,12151
0,0,0,6704,6223,12009
0,0,0,6642,6360,12121
0,0,0,6539,5990,12500
0,0,0,6830,5970,12097
0,0,0,6592,5882,12543
0,0,0,7194,5943,12436
0,0,0,6348,6062,12201
0,0,0,6420,6096,12344
0,0,0,6797,6016,11898
0,0,0,6536,6184,12243
0,0,0,6597,5833,12138
0,0,0,6819,5910,12057
0,0,0,6902,6221,12113
0,0,0,6613,6284,12224
0,0,0,6432,6152,12323
0,0,0,6376,5992,11843
0,0,0,6595,5909,12153
0,0,0,6764,6653,12082
0,0,0,6608,5993,12474
0,0,0,6627,5824,12395
0,0,0,7210,6216,12301
0,0,0,6420,6017,12329
0,0,0,6780,5946,11936
0,0,0,6877,5953,11983
0,0,0,6655,6240,12159
0,0,0,6591,5767,12224
0,0,0,6600,5985,12062
0,0,0,6916,6158,12086
0,0,0,6655,5792,12221
0,0,0,6628,5884,12424
0,0,0,6883,5711,12054
0,0,0,6655,5928,12396
0,0,0,6757,5979,12575
0,0,0,6938,6104,11931
0,0,0,6655,5712,12236
0,0,0,6600,6218,12058
0,0,0,6834,5900,11921
0,0,0,6505,6391,12132
0,0,0,6672,5680,12107
0,0,0,6885,5998,11793
0,0,0,6505,6092,12256
0,0,0,6655,6356,12116
0,0,0,6492,6389,12129
0,0,0,6968,6549,11816
0,0,0,6736,6155,12905
0,0,0,6464,6091,12197
0,0,0,6572,5756,12457
0,0,0,6888,6067,11928
0,0,0,5878,6388,12205
0,0,0,6662,5725,11408
0,0,0,6726,6090,11835
0,0,0,6890,5735,12203
0,0,0,6792,5937,11880
0,0,0,6627,5917,12381
0,0,0,6978,5981,11858
0,0,0,6854,6214,11978
0,0,0,6681,6248,12068
0,0,0,6588,6412,12156
0,0,0,6416,6264,12192
0,0,0,6578,6388,12352
0,0,0,6712,6004,12064
0,0,0,6651,5771,12227
0,0,0,6523,6324,11960
0,0,0,6571,6245,12166
0,0,0,6953,6320,11869
0,0,0,6604,6813,12160
0,0,0,6431,5724,12297
0,0,0,6888,6066,11852
0,0,0,6572,6356,12135
0,0,0,6865,6235,12336
0,0,0,6544,6248,12379
0,0,0,6372,6223,11858
0,0,0,6856,5976,11896
0,0,0,6681,5846,12016
0,0,0,6639,5817,12381
0,0,0,6655,6236,11608
0,0,0,6362,6300,12432
0,0,0,6820,5925,11995
0,0,0,6420,6088,12384
0,0,0,6630,5870,12341
0,0,0,6661,6086,12120
0,0,0,6553,5829,12680
0,0,0,6704,6262,12098
0,0,0,6444,6102,12247
0,0,0,6783,6339,12031
0,0,0,6548,5892,12225
0,0,0,6691,6328,12056
0,0,0,6464,6048,12330
0,0,0,6916,6774,11846
0,0,0,6976,5944,12387
0,0,0,6655,6074,12104
0,0,0,6857,6042,11691
0,0,0,6766,6228,12050
