MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,25624,1641,5804,7679,13684
0,25707,1746,6152,7497,13413
0,25451,1552,5954,7629,13699
0,24738,1635,6043,7232,13521
0,26096,1438,5961,7644,13823
0,25196,1638,6196,8260,13679
0,25213,1796,5771,7898,13714
0,25437,1861,6214,7348,13570
0,24884,1448,5955,7753,13695
0,25431,1674,6073,7301,13638
0,25208,1261,5824,7850,13671
0,25520,1982,6312,7442,13493
216,25527,1642,6033,7671,13497
0,25194,2152,5744,7524,13806
0,25238,1739,6195,7037,13728
0,25704,1848,6428,7491,13343
0,25278,1608,6044,7324,13339
0,25218,1553,5624,7699,13766
0,25322,1616,6105,7633,12795
0,25087,1520,5631,7679,13823
0,25496,1435,5872,7353,13854
0,25360,1718,6217,7434,12564
0,25392,1704,6090,7432,13377
0,25614,2241,6343,7516,13406
0,25481,1564,5940,7804,13621
0,25402,1522,6002,7836,13578
0,25413,1841,5952,7686,13624
0,25177,1668,6116,7451,13559
0,25333,1680,5934,7392,13879
0,25429,1920,5888,7894,13614
0,25616,1162,5759,7496,13613
0,25212,1695,6057,7285,13619
0,25065,1484,5872,7349,13218
24,25535,1830,5134,7337,14409
0,25600,1704,4656,7521,13627
0,25036,1622,5619,7594,13754
0,25232,2192,5693,7292,13930
0,26000,1535,6179,6452,14086
0,25397,1745,6340,7284,13684
0,25125,1792,5981,7285,13859
0,25673,1363,6232,7679,13183
0,25184,1149,5714,7961,13694
0,25087,1580,6035,7288,13709
0,25357,1824,6285,7853,13349
0,25330,1796,6464,7237,13720
196,25199,1200,5816,6959,13688
658,25776,1483,5835,7008,14173
0,25172,1118,5631,7698,13700
0,25287,1126,6250,7594,13121
56,25682,1768,6309,7679,13465
0,25628,1812,6296,7679,13257
0,25203,1208,5678,7682,13415
0,25191,1367,6490,7846,13525
75,25605,1641,6162,7553,13558
0,25852,1834,6308,7772,13350
0,25537,1748,6050,7882,13257
0,25056,1760,6752,7574,13821
0,25377,1741,6332,7349,15497
0,25630,1392,6293,7549,13770
0,25636,1563,6388,7804,13752
49,25370,1928,6003,7673,14701
0,25537,1663,6074,7646,13442
0,25106,1677,6159,7326,13578
0,25220,2337,5945,7480,13725
0,25449,1815,6208,7679,13411
0,25182,1535,6190,7458,13894
0,25019,1328,5752,7679,13679
0,25531,1912,6340,7500,13492
0,25552,1930,6265,7059,13593
0,25031,1413,5876,7679,13764
0,25140,1638,6152,7293,13648
0,25462,1583,6066,7764,13430
0,26018,1936,6365,7630,13447
0,24977,2293,5706,7662,13734
0,25239,1535,6002,7669,13624
0,25087,2510,6012,7385,12701
0,24949,1331,5442,7916,13649
0,25289,1728,5856,7883,13444
0,25295,1569,6234,7073,12466
0,25245,1487,5961,7718,15224
0,25137,1330,5770,6920,13823
0,24969,2349,5609,7679,13731
0,24994,1773,5718,7527,13706
0,24996,1424,5774,7881,13844
0,25289,1535,6066,7804,12315
0,25410,1654,6389,7589,13422
0,25360,96,6158,7747,12759
0,25337,1729,6474,7517,13552
0,25492,2169,6548,7492,13433
0,25321,1517,5840,7963,13595
64,25188,1327,5662,7455,13265
0,25343,1592,5978,7671,13674
0,25111,2636,5717,7658,13851
0,25362,1881,6338,7422,13515
0,25110,1365,5992,7679,13761
0,25026,1535,5751,7708,13814
0,25047,775,5869,7687,13650
0,25180,1781,6287,7688,13453
0,25207,1653,6256,7333,13765
0,25318,1535,5984,7321,13598
0,25039,1707,5882,7498,13823
264,25405,1766,5796,8430,13512
0,26260,1561,6208,7488,13875
0,25458,1754,6472,8496,13611
0,24670,1423,5864,7816,13725
0,25361,1594,5834,7775,13223
0,25476,1570,6069,7614,13944
0,24745,1728,6090,7534,13513
0,25089,1490,6872,5631,13992
0,25087,1064,5800,7779,13823
0,25440,1941,6359,7565,13382
0,25317,1456,6004,7568,13802
356,25426,1756,6224,7712,13370
1906,25306,1631,5812,7341,13901
0,25336,1618,6176,7679,13592
0,25277,1741,4994,7624,13369
0,25336,1535,5774,7500,13932
0,24154,1824,5817,7551,13836
0,25270,1543,6281,7673,13332
0,24893,2552,5725,7200,13734
0,25283,1545,6010,8062,13568
0,25337,1463,6008,7739,14007
0,25290,1654,5851,7442,13850
0,25178,1626,6074,7719,13767
0,25344,2000,5352,7886,13626
0,25497,1587,6097,7679,13640
0,25197,1381,5850,7803,13732
0,25016,2186,6774,7606,13792
0,25356,1444,5790,8071,14143
0,24856,1387,5889,7721,13749
0,25169,1366,5840,7424,13926
0,25188,1701,5980,7100,13855
0,25333,1577,5946,7542,13343
0,25002,1941,5700,7530,13839
687,26016,1348,5847,7872,13614
0,25376,2150,6656,7625,13536
0,25116,1355,5844,7983,13690
0,25309,1536,6148,7504,13499
0,25099,1288,4544,8109,13677
68,25348,1586,6192,7711,13574
0,25521,1471,5573,7718,13528
0,25264,1459,6104,7537,13625
0,24829,1856,5815,7523,13882
0,25257,1564,5970,7336,13701
0,25436,1848,6346,7425,12885
0,25355,1585,6359,7605,13547
0,25086,1535,6078,7434,12952
0,24651,1374,5502,7876,13404
0,25716,1932,5998,7270,13860
0,25646,1554,6160,6916,13823
0,24738,1572,5764,7584,13906
0,25444,1571,5488,7650,13274
0,25087,1302,5736,7730,13717
0,25241,1088,5879,7840,13764
0,24997,1535,6026,7311,13083
0,25181,1621,5969,7034,13823
0,25271,1535,5890,7610,14172
0,25143,1384,5939,7926,13645
0,25219,2193,6012,7579,14070
0,25623,1744,6034,7113,13815
498,25704,1313,5696,7704,13857
0,25288,1437,5454,8038,13693
0,25094,1787,6008,8080,12996
0,25228,1670,6208,7797,13743
0,25303,1704,5984,7669,13440
0,25181,1398,6022,7702,13123
0,25287,1552,5961,7382,13664
0,25654,1495,6023,7770,13768
0,24975,1488,6345,8140,13800
0,25205,1460,5925,8053,12889
0,25085,1569,5953,7344,13751
0,25426,1832,6280,7568,13409
0,26028,1473,6108,7613,13728
69,25393,1808,5848,7493,13482
0,25120,1387,6082,7644,13591
0,25097,1443,5949,7704,13102
0,25724,1565,5964,7322,13892
0,25911,1681,5629,7322,13595
0,25216,1232,5712,7672,13820
0,25158,1540,5891,6608,13694
0,25381,1665,6208,7506,13196
0,25087,1834,6382,7679,13823
0,25471,1621,6431,7556,13412
0,25418,1492,5788,7512,13981
0,25686,1868,6281,7679,13421
0,25453,1224,6080,7641,13464
0,25416,1806,6240,8134,13643
0,25174,1746,5945,6377,14067
0,25087,1277,5881,7679,13694
0,24778,1535,5884,7382,13996
0,25300,1794,6153,7541,13556
0,25050,1393,5716,6865,13908
0,25108,1419,5825,7785,13733
58,25985,1627,6080,7679,13487
0,24252,1535,6752,7526,13844
0,25894,1567,5996,6808,13922
0,25204,1535,5976,7769,13637
0,25324,1739,5868,7620,13597
0,25199,1485,5883,7735,13327
0,25198,1428,5902,7993,13494
0,25252,1405,5856,8041,13593
0,25245,1828,5957,7364,13613
0,25637,1371,5959,7800,13360
168,24584,1264,5682,7692,13848
520,25130,1607,6418,7722,13887
0,25367,1848,6085,7353,13629
0,25377,1790,6150,7589,13512
0,25202,1622,6621,7342,13699
0,25680,1504,6261,7643,13652
0,25304,1864,6303,7798,13485
0,25023,1556,6581,7460,13895
0,25465,1690,5954,7097,13796
0,25063,1376,6030,7679,13823
0,25087,2333,5742,7659,13981
0,25425,1896,6072,7705,13761
5,26218,1526,5725,7749,13411
0,25165,1926,5714,7669,13788
0,25713,1558,6234,7717,13464
0,25147,1569,5408,7744,13658
254,25107,1313,5876,7765,13539
0,25451,1964,6237,6803,13806
0,25338,1735,6155,7556,13599
0,25197,1608,5631,6916,13930
0,25417,2081,6144,7826,13540
0,25312,1535,6328,7908,13534
0,25439,1931,6420,7540,12587
0,25751,1984,6304,7532,13409
0,25449,1682,6297,7698,13361
0,25304,1722,6171,7492,13762
0,24836,1399,5446,7832,13580
0,25416,1605,5954,6816,13785
0,25385,2604,5696,7679,13516
0,25332,1710,5961,7740,14628
0,25087,1383,5474,8224,13476
0,25365,1760,6233,7679,13547
0,25941,1498,5880,7435,13875
0,25533,1493,6313,7335,13714
0,25026,1839,5748,7608,13504
0,25546,1715,6100,7458,13870
0,24838,1328,5731,7661,13828
132,25547,1357,5893,7935,13621
44,25869,1678,6447,7747,13333
0,25472,1559,5952,7876,13534
0,25380,1545,6170,7679,13058
0,25489,1997,6293,7430,13640
0,25799,1798,5687,7679,13319
0,25250,1701,6007,7854,13523
0,25369,1312,6649,7554,13888
0,25936,1414,5791,7402,13938
0,25087,1328,5677,7586,13908
0,25479,1912,6269,7532,13051
0,25556,1896,6208,6739,13597
0,25540,1451,5817,7920,13573
0,25325,1982,6311,7282,13702
0,25464,1544,6228,7715,14138
0,25276,1514,5888,7806,13499
0,25309,1736,6213,7301,13798
0,25087,1526,6014,7816,13683
0,26072,1771,6109,7772,13531
0,25618,1583,5954,7083,13523
0,25113,1350,5762,7880,13608
0,25116,2559,5696,7733,13713
0,25304,1561,5902,7414,13692
0,25481,1619,5828,7790,13624
84,25488,1744,6016,7700,13442
0,25203,1437,5862,7177,13727
0,25273,1477,5942,7765,13491
0,25318,1678,5162,7648,13728
68,25606,1754,5789,7757,13384
0,25162,1353,5795,7913,13142
0,25130,1428,5930,7682,13691
0,24465,1925,5696,7605,13758
0,25144,1201,5696,7625,13702
0,24928,1704,6285,7550,13715
0,25349,1525,5817,7501,13030
0,25551,1901,6248,7493,13599
0,25726,1687,6296,7679,13514
0,25630,1850,6208,7468,13620
0,26272,1406,5796,7892,13504
0,25420,2063,6010,7504,13639
0,25698,1681,5964,7682,14589
0,25419,1704,5922,7890,13765
0,25174,1320,5298,8060,13700
0,25357,1535,5953,7859,13698
0,25221,2559,5717,7804,13823
0,25396,1554,6001,7659,13532
0,25430,1923,6218,7596,13509
0,25414,1494,5952,7554,13348
0,25482,1770,5736,7776,13176
0,25087,1276,5397,7929,13744
0,25287,1373,5794,7616,13658
0,25168,1657,6019,8054,13740
0,25328,1474,6044,7808,13778
