MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,15680,2852,3245,2509,8575
0,16185,2480,2761,969,9139
0,15128,2484,2877,2735,8640
0,15638,2281,2808,1975,8655
0,15436,2362,2930,2349,8950
0,15178,2403,1856,2597,8917
0,15762,2817,2916,982,8981
0,15723,2658,3111,2412,8640
0,15762,2886,3089,2568,8284
0,14750,2567,3003,2537,8416
0,15546,2401,2720,2829,8477
0,15484,2351,2775,2528,9380
0,15521,2240,2756,3020,8809
0,15537,3456,2652,2555,8772
0,14961,2418,2732,2613,8621
0,15433,3330,2560,2520,8587
0,15525,3360,2616,1864,8676
0,14793,3527,2695,2322,8893
0,15512,2192,1514,2832,8790
0,15630,2148,2568,2658,8991
0,15821,2611,2832,2681,8901
0,15793,2697,3069,2616,8514
0,15944,2626,2981,2601,9554
0,15817,2597,3032,2516,8364
0,16176,3148,3094,2270,8412
0,15883,3579,2962,2453,8743
0,14408,2739,3015,2347,8964
0,15491,2536,2699,2543,8812
0,15498,2376,2765,2576,8818
0,15620,2504,2773,2813,8514
0,15694,2714,3016,2409,8737
0,16056,2580,3308,2391,8468
0,15737,2622,2476,2632,8688
0,15930,3093,3094,2718,8563
0,15911,2910,3210,2486,8570
0,15956,2423,2254,2632,8375
0,16136,2642,3262,2595,8535
0,16020,1772,2774,2631,8922
0,16151,2829,2604,2694,8528
0,15905,2489,2901,2638,8650
0,15740,2174,2733,2384,8700
0,15490,2961,2647,2453,8944
0,16231,2465,2263,2700,8597
0,15601,2522,2736,2560,8107
0,15588,3069,2564,1390,9161
0,14641,2782,2988,2509,8961
0,15524,2199,1864,2876,8840
0,15532,2205,2711,1532,9253
0,15756,2448,2839,2600,8795
0,16093,2424,2864,2781,8041
0,15572,2436,2729,1873,8599
0,15638,2523,2920,2549,8826
0,15576,2441,2827,3575,8728
0,15480,2404,2000,2603,8790
0,15610,2462,2832,2449,8740
0,15776,1866,2806,2800,8729
0,15627,2312,2738,2816,8674
0,15609,2467,3001,3035,8692
0,15396,2487,2802,2608,8801
0,16048,2636,2882,2489,8908
0,15904,2973,2644,2468,8947
0,15424,2414,2667,2359,8549
0,15705,2279,2664,2936,8690
0,15688,2615,2729,2697,8825
0,15556,2450,2798,2645,8424
0,15608,2384,2761,2811,8725
0,15806,2628,2799,2898,8543
0,15753,2605,2911,2269,8795
0,15684,2533,2840,2906,8589
0,15940,3203,3216,2743,8512
0,16008,2986,3140,2312,8471
0,15846,2923,3162,2260,8572
0,15626,2844,3056,2420,8605
0,15644,2521,2782,2334,8668
0,15597,2061,2739,1640,9259
0,15648,2576,2793,2634,8997
0,14663,2634,2987,2696,8689
0,15656,2468,2880,2899,8603
0,15712,2014,2794,1879,9297
0,15504,2479,2723,2562,8437
0,15611,2440,2738,2159,8678
0,15660,2486,2785,2836,8570
0,15762,2426,2935,2632,8733
0,15688,2466,1789,2824,8814
0,15713,2429,2780,2916,8562
0,15861,3209,2354,2478,8566
0,15936,2731,3069,3758,8703
0,15456,2517,2222,2856,8644
0,15942,2600,2792,2888,8712
0,15917,2678,3002,2752,8692
0,15684,2481,2555,3074,8531
0,15956,2680,2943,2912,9096
0,16022,2776,3017,1935,8562
0,15780,2564,2840,2752,9060
0,15700,2640,2915,2839,8536
0,15705,2502,2781,2794,8771
0,14799,2518,2908,2785,8821
0,15506,2395,2754,2789,8792
0,15582,3312,2536,1904,8901
0,15489,2261,2671,2456,8008
0,15975,2683,2548,2343,8640
0,15859,2836,3140,2217,8634
0,15780,2868,3215,2992,8346
0,15650,2784,2972,2219,8766
0,15817,2937,3014,2528,8384
0,15573,2655,2887,2236,8903
0,15348,2500,2858,2371,8904
0,15798,3860,2701,2713,8987
0,15640,3131,2576,2614,8987
0,16008,2472,2711,2509,8974
0,15330,2601,2906,2681,8944
0,15790,2874,3166,2434,8308
0,15791,2847,3113,2349,8700
0,16126,3189,3139,2552,8469
0,15694,2873,3256,2284,8557
0,15926,2820,3136,2625,8437
0,15909,3013,3200,3360,8576
0,15989,2868,3018,2262,8074
0,15603,2807,2517,2384,6901
0,15559,2796,2997,2244,8676
0,15953,2800,3379,2440,8776
0,15940,3140,2940,4502,9106
0,15445,2650,2866,2611,8853
0,17145,2825,3097,2268,9475
0,16427,2752,2980,2306,8465
0,15566,2113,2880,2440,8854
0,15482,3149,2555,2846,8690
0,15632,2444,2666,2616,8062
0,15647,1952,2817,2792,8809
0,15591,2641,2824,2793,8665
0,15675,2532,2716,2768,8820
0,15507,2544,2904,2394,8368
0,15146,2407,2569,2557,8790
0,15228,2894,2839,2638,8965
0,15476,2655,2846,2214,8975
0,15857,2534,2818,2494,8853
0,15689,3058,2655,2640,8945
0,15586,1716,2812,2844,8825
0,15620,2538,2854,2836,8813
0,15666,2612,2666,2503,8792
0,16224,2749,3074,2540,8898
0,15604,2712,2933,2449,9016
0,15744,2873,2997,2322,8956
0,15749,2754,3034,2384,8586
0,15752,2813,2917,2404,8768
0,15739,2848,3008,2404,8996
0,15482,2624,2284,2937,8892
0,15671,2759,2605,2579,8906
0,16516,2747,2961,2409,8940
0,15713,2853,2384,2705,8900
0,15891,2888,3033,2544,9613
0,15888,2099,2989,2379,8955
0,15706,2873,2937,2732,8672
0,15756,2960,3078,2338,8772
0,15842,2899,2866,2567,8669
0,16060,3368,2824,3089,8627
0,15452,3023,2800,2263,8605
0,16117,2872,3059,2594,8532
0,16104,1817,3132,2526,8565
0,16056,2682,3071,2776,8329
0,16003,2624,3020,2356,8807
0,15513,2585,2562,2954,8796
0,15650,3260,2588,2442,8872
0,15270,2569,2728,2341,8196
0,15592,2254,2609,2720,8813
0,15582,2559,2845,2217,9069
0,16650,2357,2425,2509,9285
0,15366,2776,2724,2965,9000
0,16562,2904,2849,2496,8896
0,14906,2780,3012,2282,8667
0,15736,2846,3070,2406,8486
0,15916,4885,3033,2448,8560
0,15871,2953,3112,2434,8443
0,16097,2809,3159,3059,8225
0,15844,2419,3008,2726,8688
0,15669,2489,2709,4237,8657
0,15756,3138,3168,2780,8758
0,15831,2748,2999,2668,8009
0,15757,2738,2826,2836,8492
0,15722,2584,2755,2602,8766
0,15510,3232,2790,2684,8701
0,15712,2825,2829,2440,8968
0,15671,3009,2178,2472,8571
0,15838,3268,3032,2340,8599
0,15125,1983,3198,2430,8569
0,15953,3018,3183,2530,8422
0,15942,3110,3158,2510,8570
0,15837,2995,3014,3185,8602
0,15872,3627,3092,2310,8426
0,16024,3357,3200,2602,8495
0,15280,3040,3164,5749,8424
0,15812,2936,3168,2557,8276
0,16044,3126,3113,2379,8437
0,16059,2798,3088,2670,9367
0,15814,2699,2848,2768,8404
0,15906,2793,3415,2710,8658
0,15538,2428,2700,2685,8792
0,16433,2809,3025,2476,8970
0,15969,2746,2816,2426,8210
0,15455,3038,3983,2606,8797
0,15656,2600,2880,2407,8786
0,16486,2694,2208,2360,8896
0,16345,2692,2992,2425,6544
0,14978,2036,2980,2291,8640
0,15828,2913,3066,2932,7892
0,15945,2980,2962,2828,8688
0,15632,2184,2976,2269,8633
0,15778,2896,3071,2496,8567
0,15936,3075,3071,2410,8674
0,15786,2767,3205,2419,8632
2126,15855,2820,3009,3273,8764
0,15899,3104,3102,2215,9183
0,15822,3007,3252,2475,8150
0,15770,2827,3792,2634,8594
0,15752,3114,3856,2666,8676
0,15995,2051,3180,2634,8490
218,16765,3086,3170,2623,8648
0,16153,3011,2084,2522,9147
0,16205,2970,3126,2769,8778
0,15997,3217,3174,2679,8153
0,15683,2896,2682,3088,8665
651,16331,2555,2570,2905,8750
0,15696,2919,2778,2897,9343
0,15789,2712,2896,2368,8846
0,15778,2792,2972,2835,8680
0,15712,2681,2840,2888,8428
0,15805,2737,2906,2477,8810
0,15497,1877,2890,2780,8667
0,15797,3027,2844,2856,8542
0,15889,2861,2903,2733,8844
0,15648,1915,2780,2287,10514
0,15715,2651,2904,2987,8514
0,15916,2655,2848,2888,8514
0,15680,2576,2701,2604,8845
0,16464,3275,2794,2506,8930
0,16226,2770,3422,2525,8882
0,15870,2846,2976,2369,7935
0,15476,3015,2552,2595,8202
0,16016,2892,2781,2478,9028
0,15090,2845,3384,2613,9024
0,15771,2646,2872,2347,8877
0,16003,2986,2708,2541,9009
0,16570,2002,2634,2548,9138
0,14560,2660,2810,2515,8861
0,15239,2686,2966,2810,8681
