MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2762,3570,9422
0,0,0,3363,4141,8996
0,0,0,2762,4282,9404
0,0,0,2988,3992,9461
0,0,0,3312,4186,9079
0,0,0,4106,4000,8816
0,0,0,3257,5150,9300
0,0,0,2931,4403,9360
0,0,0,2905,4150,9523
0,0,0,2718,3928,9568
0,0,0,3194,4275,9305
0,0,0,3301,4062,9118
0,0,0,3035,4343,9637
0,0,0,2821,4472,9362
0,0,0,2628,4169,9497
0,0,0,2744,3813,9320
0,0,0,2994,4348,9180
0,0,0,2728,4298,9352
0,0,0,2921,4104,9437
0,0,0,3254,4058,9322
0,0,0,4122,4202,9536
0,0,0,3454,4245,8929
0,0,0,3139,3778,9404
0,0,0,3337,4139,9117
0,0,0,2989,3997,9605
0,0,0,3365,3921,9087
0,0,0,2849,4134,9712
0,0,0,2990,4340,9156
0,0,0,3095,4648,9259
0,0,0,2972,4340,9232
0,0,0,2932,4441,9529
0,0,0,3008,3818,9378
0,0,0,2978,4408,9385
0,0,0,3014,4047,9472
0,0,0,3004,4441,9266
0,0,0,2864,4540,9260
0,0,0,3749,4206,9665
0,0,0,3048,3886,9466
0,0,0,3347,4170,9050
0,0,0,2756,4293,9413
0,0,0,3387,4282,8924
0,0,0,2885,4201,9590
0,0,0,3140,4317,9128
0,0,0,3102,3918,9356
0,0,0,3226,4356,9500
0,0,0,2916,3986,9536
0,0,0,3184,3926,9399
0,0,0,3260,4175,8640
0,0,0,2705,4176,9390
0,0,0,3008,4394,9175
0,0,0,3109,3908,9727
0,0,0,3218,4208,9010
0,0,0,3010,3908,9490
0,0,0,3038,3988,9530
0,0,0,3148,3855,9390
0,0,0,3557,4186,8953
0,0,0,2908,4365,8587
0,0,0,2934,3979,10146
0,0,0,3320,4527,8919
0,0,0,2806,4222,9418
0,0,0,3308,4138,9220
0,0,0,3583,4127,9594
0,0,0,3124,4350,9129
0,0,0,2602,4368,9898
0,0,0,2900,4379,9321
0,0,0,3320,4249,9104
0,0,0,2688,4204,9536
0,0,0,3009,4459,9222
0,0,0,3377,4156,9119
0,0,0,3104,4779,9361
0,0,0,2716,4318,9515
0,0,0,3182,4413,9182
0,0,0,3030,2817,9459
0,0,0,2863,4530,9357
0,0,0,3285,4228,9131
0,0,0,3237,3861,9345
0,0,0,2844,4228,9359
0,0,0,2893,4377,9384
0,0,0,1980,4301,8940
0,0,0,3035,3899,9656
0,0,0,2940,4511,9327
0,0,0,3143,4467,9319
0,0,0,3104,4341,9014
0,0,0,3115,3888,9349
0,0,0,3039,4392,9169
0,0,0,3088,4052,9540
0,0,0,2973,3829,9245
0,0,0,3080,3952,9512
0,0,0,2804,4566,9384
0,0,0,3144,4368,9159
0,0,0,3233,3807,9454
0,0,0,2880,4453,9225
0,0,0,2865,4117,9632
0,0,0,2998,4350,9169
0,0,0,3040,4053,9519
0,0,0,2732,4342,8992
0,0,0,2933,4032,9601
0,0,0,3265,4257,9570
0,0,0,3310,4291,9143
0,0,0,3360,4050,9145
0,0,0,2962,3989,9677
0,0,0,2913,4142,9513
0,0,0,2888,4393,9344
0,0,0,3264,5513,9326
0,0,0,3136,4428,9304
0,0,0,3024,3892,9687
0,0,0,3204,4378,9549
0,0,0,2966,4119,9561
0,0,0,2980,4399,9114
0,0,0,2940,4151,9515
0,0,0,3272,4190,9120
0,0,0,2824,4447,9390
0,0,0,2786,4428,9416
0,0,0,3033,4032,9505
0,0,0,2893,4489,8088
0,0,0,3555,3896,9280
0,0,0,2924,4482,8979
0,0,0,3684,4415,9306
0,0,0,3109,3951,9526
0,0,0,2718,4265,9172
0,0,0,3112,4332,8917
0,0,0,3257,4000,9161
0,0,0,3888,4288,9529
0,0,0,3192,4202,9165
0,0,0,2920,4034,9566
0,0,0,3327,4142,9033
0,0,0,3019,4151,9587
0,0,0,3145,4283,9639
0,0,0,3266,4106,9268
0,0,0,2969,4607,9316
0,0,0,3401,4179,9136
0,0,0,3024,4849,9259
0,0,0,3036,4327,8808
0,0,0,2963,3997,9670
0,0,0,2723,4486,9319
0,0,0,3658,3977,9688
0,0,0,3136,4288,8868
0,0,0,3082,3906,9065
0,0,0,3266,4410,9272
0,0,0,2675,4304,9577
0,0,0,3327,4179,9136
0,0,0,2746,4130,9131
0,0,0,3007,4182,9473
0,0,0,2941,4479,9249
0,0,0,2897,4013,9624
0,0,0,3009,3973,9656
0,0,0,2898,4244,8930
0,0,0,2998,4335,8781
0,0,0,3364,4295,9140
0,0,0,3331,3442,9609
0,0,0,3205,4672,9536
0,0,0,2842,4292,9432
0,0,0,3326,4191,9225
0,0,0,3312,3857,9325
0,0,0,3111,4336,9125
0,0,0,3241,4098,9055
0,0,0,2985,3928,9340
0,0,0,2209,4316,9456
0,0,0,3277,3030,9175
0,0,0,2888,4472,9429
0,0,0,2768,3884,9517
0,0,0,3088,4548,9389
0,0,0,3152,4280,10032
0,0,0,2692,4196,9149
0,0,0,2965,5374,9614
0,0,0,3157,4399,9152
0,0,0,3208,3914,9370
0,0,0,2794,4441,9454
0,0,0,2911,4498,9306
0,0,0,3368,4172,9110
0,0,0,3104,3982,9467
0,0,0,2812,4224,9393
0,0,0,2983,4459,9247
0,0,0,3380,4157,9128
0,0,0,3199,3372,9323
0,0,0,2896,4438,9294
0,0,0,3369,4200,9120
0,0,0,2825,4314,9472
0,0,0,3341,4201,9146
0,0,0,3018,4220,9590
0,0,0,3165,4342,9092
0,0,0,2915,4071,9621
0,0,0,3426,4184,8984
0,0,0,3014,4162,9716
0,0,0,2737,4378,9460
0,0,0,3649,4197,8985
0,0,0,3169,4046,8877
0,0,0,2791,4166,9488
0,0,0,2912,4607,9352
0,0,0,3245,4305,9232
0,0,0,3221,4449,9467
0,0,0,3271,4144,9568
0,0,0,3032,4103,9370
0,0,0,3288,4214,9285
0,0,0,3197,4404,9284
0,0,0,2920,4174,9796
0,0,0,3106,4375,9320
0,0,0,3304,4138,9237
0,0,0,2801,4425,9524
0,0,0,3383,4213,9102
0,0,0,3220,4863,9423
0,0,0,2970,4566,9294
0,0,0,3136,3944,9447
0,0,0,3137,4399,10050
0,0,0,3085,4056,9456
0,0,0,2664,4274,9588
0,0,0,3388,4260,9006
0,0,0,3219,4201,9291
0,0,0,3093,3915,9557
0,0,0,2950,4470,9496
0,0,0,3346,4335,9668
0,0,0,3125,3902,9358
0,0,0,2884,4289,9577
0,0,0,3191,4354,9169
0,0,0,3146,3992,9659
0,0,0,3098,4437,9672
0,0,0,3141,3883,9437
0,0,0,3211,4306,9144
0,0,0,3294,4182,9402
0,0,0,3259,3892,9329
0,0,0,2999,3979,9615
0,0,0,2947,4121,9727
0,0,0,3278,4626,9327
0,0,0,3272,4251,9310
0,0,0,3981,4351,9597
0,0,0,3100,4288,9466
0,0,0,3187,4098,9601
0,0,0,2495,4102,9557
