MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4384,5393,11344
0,0,0,4221,5390,11415
0,0,0,4772,5176,10937
0,0,0,4701,5460,10606
0,0,0,4881,5356,10885
0,0,0,5336,5365,11332
0,0,0,4688,5347,11088
0,0,0,4485,5728,11078
0,0,0,4668,5070,11036
0,0,0,4464,5313,11545
0,0,0,4822,5584,10918
0,0,0,4691,5400,11156
0,0,0,4813,5463,10911
0,0,0,4816,5313,11019
0,0,0,4656,5524,11010
0,0,0,4330,5455,11412
0,0,0,4382,5573,11274
0,0,0,5066,5329,11278
0,0,0,4607,5058,11377
0,0,0,4738,5868,11082
0,0,0,4641,5433,11101
0,0,0,4818,4530,11932
0,0,0,4147,5396,11288
0,0,0,4573,5080,10620
0,0,0,4607,5013,11185
0,0,0,4318,5249,11091
0,0,0,4607,5035,11096
0,0,0,4558,5631,11046
0,0,0,4440,5350,11155
0,0,0,5275,5320,11480
0,0,0,4525,5482,11145
0,0,0,4610,5212,11501
0,0,0,4607,5535,11176
0,0,0,4394,4618,11125
0,0,0,4607,5480,11458
0,0,0,4453,5772,11096
0,0,0,4526,5168,11392
0,0,0,1897,5438,10973
0,0,0,5494,5386,11406
0,0,0,4699,4782,11391
0,0,0,4668,4968,11082
0,0,0,4666,5458,10864
0,0,0,4571,5214,11491
0,0,0,4562,5610,11099
0,0,0,4617,5572,11044
0,0,0,4448,5845,11046
0,0,0,4527,5450,11287
0,0,0,4680,5434,11126
0,0,0,4707,6074,11091
0,0,0,4688,5086,11016
0,0,0,4618,5779,11128
0,0,0,4735,5280,11132
0,0,0,4607,5570,11128
0,0,0,4596,5404,11012
0,0,0,5352,5384,11456
0,0,0,4828,5213,11200
0,0,0,4607,5061,11197
0,0,0,4525,5493,11079
0,0,0,4605,5168,11226
0,0,0,4792,5496,11823
0,0,0,4632,6011,11166
0,0,0,4607,5513,10916
0,0,0,4696,5294,11071
0,0,0,4304,5397,11192
0,0,0,4779,5354,11962
0,0,0,4314,5056,11328
0,0,0,4864,5312,10944
0,0,0,4393,5533,11213
0,0,0,4566,4297,11302
0,0,0,4527,5362,11186
0,0,0,5304,5292,11434
0,0,0,4817,5351,10902
0,0,0,4379,5345,11272
0,0,0,4457,5516,11281
0,0,0,4242,4680,11359
0,0,0,4315,5431,11200
0,0,0,4565,5584,11230
0,0,0,4848,5371,10979
0,0,0,4211,5547,10951
0,0,0,4454,4217,11464
0,0,0,4361,5350,11364
0,0,0,5464,5356,11332
0,0,0,4362,5254,11294
0,0,0,4398,5017,11373
0,0,0,3988,5319,11293
0,0,0,4936,5504,11758
0,0,0,4726,5885,10960
0,0,0,4616,5584,11048
0,0,0,4860,5631,10966
0,0,0,5378,5355,11332
0,0,0,4829,5191,10935
0,0,0,4607,4204,11461
0,0,0,4572,5571,11056
0,0,0,4751,5494,11084
0,0,0,3744,5470,11289
0,0,0,4917,5314,10893
0,0,0,4931,5062,11167
0,0,0,4440,5128,11332
0,0,0,4880,5528,10878
0,0,0,4528,5184,10709
0,0,0,4680,4950,11237
0,0,0,4256,5382,11328
0,0,0,4848,5264,10898
0,0,0,4859,5484,10964
0,0,0,4473,5486,11479
0,0,0,4559,5701,11134
0,0,0,4583,5556,11043
0,0,0,4493,5600,11137
0,0,0,4536,5629,11465
0,0,0,4356,5418,11290
0,0,0,4607,5137,11508
0,0,0,4391,5487,11205
0,0,0,4894,5249,10996
0,0,0,4522,5086,11144
0,0,0,4617,5217,11174
0,0,0,4486,5188,11377
0,0,0,4661,5438,11697
0,0,0,4603,5436,10896
0,0,0,4634,4907,11103
0,0,0,4696,5413,11080
0,0,0,4560,5493,11135
0,0,0,4314,5633,11067
0,0,0,4518,5141,11307
0,0,0,4597,5492,11273
0,0,0,4462,5120,11548
0,0,0,4561,5225,11099
0,0,0,4767,5314,11038
0,0,0,4687,5419,10932
0,0,0,4764,5573,11101
0,0,0,4546,5594,11018
0,0,0,4913,5394,10845
0,0,0,4794,4624,11073
0,0,0,4747,5224,10868
0,0,0,4639,5294,11217
0,0,0,4959,5334,10924
0,0,0,4699,5077,11137
0,0,0,4544,5341,11453
0,0,0,4706,5195,11019
0,0,0,4680,5620,11158
0,0,0,4497,5644,11346
0,0,0,4632,5384,11315
0,0,0,3482,5627,11102
0,0,0,4496,5060,11156
0,0,0,4393,4862,11449
0,0,0,4564,5522,11144
0,0,0,4101,5280,11134
0,0,0,4324,5300,11138
0,0,0,4975,5407,11317
0,0,0,4450,4792,11294
0,0,0,4881,4966,10987
0,0,0,4607,5018,10995
0,0,0,4763,5215,11348
0,0,0,4378,5673,11220
0,0,0,4488,5559,11206
0,0,0,4964,5416,11078
0,0,0,4835,5375,10924
0,0,0,4867,5349,10944
0,0,0,4810,5278,11042
0,0,0,4857,5380,10938
0,0,0,4429,5417,11842
0,0,0,4485,5320,11292
0,0,0,4280,5464,11408
0,0,0,4738,5270,11016
0,0,0,4753,5324,10827
0,0,0,5291,5169,11197
0,0,0,5012,5280,11041
0,0,0,4790,5420,10901
0,0,0,4208,5445,11351
0,0,0,4600,5385,12185
0,0,0,4552,5533,11119
0,0,0,4382,5355,11326
0,0,0,4631,4962,11212
0,0,0,4615,5485,11129
0,0,0,4545,5131,11328
0,0,0,4574,5222,11222
0,0,0,4531,5631,11061
0,0,0,4362,5228,11394
0,0,0,4495,5631,11223
0,0,0,4824,5468,11121
0,0,0,4862,5124,10970
0,0,0,4745,5847,11090
0,0,0,4240,5311,11456
0,0,0,4515,5530,11196
0,0,0,4417,5454,11304
0,0,0,4589,5512,11121
0,0,0,4410,5248,11441
0,0,0,4613,5508,11152
0,0,0,5001,4581,11445
0,0,0,4618,5236,11319
0,0,0,4542,5217,11529
0,0,0,3789,5225,11216
0,0,0,4697,5670,11135
0,0,0,4813,5345,10702
0,0,0,4840,5078,11030
0,0,0,3457,5349,11456
0,0,0,4699,5090,11179
0,0,0,4860,5334,10856
0,0,0,4375,5646,11097
0,0,0,4519,5269,11528
0,0,0,4646,4843,11326
0,0,0,4057,5296,11116
0,0,0,4723,5321,11024
0,0,0,4607,5056,11272
0,0,0,4361,5377,11313
0,0,0,4573,5382,11451
0,0,0,4470,5355,11284
0,0,0,4933,5269,10981
0,0,0,4744,5023,10858
0,0,0,4637,5087,11383
0,0,0,4828,5142,10976
0,0,0,4630,5899,11020
0,0,0,4420,5372,11343
0,0,0,4660,4948,11157
0,0,0,4432,5327,11338
0,0,0,4814,4723,10940
0,0,0,4827,5402,11762
0,0,0,4450,5501,11176
0,0,0,4566,5314,11536
0,0,0,4580,5535,11118
0,0,0,4713,6067,11075
0,0,0,4573,4805,11200
0,0,0,5352,5283,11387
0,0,0,4908,5210,10842
0,0,0,4361,5312,11320
0,0,0,4496,5195,11286
0,0,0,4607,5590,12609
0,0,0,4672,5444,10993
0,0,0,4472,5201,11467
0,0,0,4424,5404,11304
0,0,0,4607,5189,11392
0,0,0,4701,5080,11111
0,0,0,4815,5402,10818
0,0,0,4832,5326,10988
0,0,0,4740,5162,10751
0,0,0,4724,5296,11107
0,0,0,4288,5365,11506
