MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3060,2823,8121
0,0,0,2833,2476,8337
0,0,0,2874,3148,8241
0,0,0,2871,3404,8272
0,0,0,2707,3204,8436
0,0,0,477,3000,8246
0,0,0,2937,2742,8533
0,0,0,2706,3000,8688
0,0,0,2804,2548,8451
0,0,0,3026,3219,8408
0,0,0,1679,2804,8283
0,0,0,2576,3044,8493
0,0,0,2840,3181,8206
0,0,0,2985,2841,8550
0,0,0,2974,2888,8384
0,0,0,2677,3244,8377
0,0,0,2621,2641,8336
0,0,0,2660,3179,8414
0,0,0,2912,2635,8368
0,0,0,2731,3168,8357
0,0,0,2978,2984,8282
0,0,0,2582,3100,8513
0,0,0,3080,2919,8000
0,0,0,2753,1547,8414
0,0,0,3142,3000,8492
0,0,0,2824,2713,8473
0,0,0,3191,3097,8429
0,0,0,3020,3006,8169
0,0,0,2988,2835,8350
0,0,0,2711,3191,8158
0,0,0,2909,3673,8386
0,0,0,2952,2802,8598
0,0,0,2696,3142,8494
0,0,0,3021,2996,8189
0,0,0,2862,2730,8456
0,0,0,2667,3145,8341
0,0,0,2997,2986,8312
0,0,0,3476,2888,8557
0,0,0,3102,2941,8152
0,0,0,2815,2783,8292
0,0,0,2692,3140,8401
0,0,0,2956,3345,8314
0,0,0,2437,2885,8646
0,0,0,2518,3210,8417
0,0,0,3131,3043,8089
0,0,0,2792,2668,8456
0,0,0,2599,2848,8644
0,0,0,2880,3087,8826
0,0,0,2676,3164,8649
0,0,0,2814,3238,8394
0,0,0,2861,3570,8437
0,0,0,2713,3261,8348
0,0,0,2975,2768,8306
0,0,0,2881,2825,8628
0,0,0,3038,3000,8256
0,0,0,3490,2938,8534
0,0,0,2792,3010,8324
0,0,0,2852,2782,8480
0,0,0,2629,3165,8452
0,0,0,3040,2736,8436
0,0,0,3001,3744,8282
0,0,0,2920,2828,8624
0,0,0,2591,2930,8503
0,0,0,2916,3014,9019
0,0,0,2988,2800,8224
0,0,0,3067,2860,6208
0,0,0,2080,3047,8111
0,0,0,2764,2795,8513
0,0,0,2607,3224,8361
0,0,0,3032,3014,8527
0,0,0,2779,2665,8388
0,0,0,3340,2901,8605
0,0,0,2886,3086,8263
0,0,0,2840,2588,8388
0,0,0,2636,2612,8550
0,0,0,2985,3101,8311
0,0,0,2137,2927,8427
0,0,0,3144,2962,8918
0,0,0,2504,3028,8612
0,0,0,2991,3004,9300
0,0,0,2402,3034,8594
0,0,0,2844,2841,8194
0,0,0,2513,2957,8660
0,0,0,2900,3598,8350
0,0,0,2860,2612,8475
0,0,0,2814,2919,8574
0,0,0,2770,3078,8347
0,0,0,2929,2960,8456
0,0,0,2668,3152,7453
0,0,0,3045,2872,8251
0,0,0,3705,2920,8506
0,0,0,2802,2926,8582
0,0,0,2942,2625,8434
0,0,0,2205,3105,8792
0,0,0,2667,2800,8713
0,0,0,2730,3136,8272
0,0,0,3034,2824,8226
0,0,0,2507,2664,8598
0,0,0,3085,2962,8218
0,0,0,2675,2941,8716
0,0,0,2721,3070,8269
0,0,0,2842,2717,8447
0,0,0,2634,3014,8531
0,0,0,2751,3005,8556
0,0,0,3083,2706,8325
0,0,0,2762,3145,8441
0,0,0,2838,2708,8616
0,0,0,2685,2853,8488
0,0,0,2903,2904,8738
0,0,0,2803,2757,8641
0,0,0,2744,3253,8155
0,0,0,3051,2668,8365
0,0,0,2687,2511,8444
0,0,0,2915,2673,8390
0,0,0,2820,3146,8345
0,0,0,2474,2919,7412
0,0,0,3152,2995,8124
0,0,0,2581,3272,8512
0,0,0,2953,2907,8191
0,0,0,2491,3035,8573
0,0,0,2959,3030,8264
0,0,0,2790,2840,8770
0,0,0,2705,3212,10042
0,0,0,3030,2896,8524
0,0,0,2763,2984,8419
0,0,0,2950,3941,8632
0,0,0,2757,3196,8362
0,0,0,2787,2796,8603
0,0,0,3037,2896,8154
0,0,0,2527,2996,8493
0,0,0,2921,2662,8474
0,0,0,3321,2397,8496
0,0,0,3095,2996,8104
0,0,0,2516,2988,8602
0,0,0,3105,2937,8198
0,0,0,2466,3027,8602
0,0,0,3348,2831,8212
0,0,0,2378,3005,8569
0,0,0,3062,2972,8152
0,0,0,2761,2874,8619
0,0,0,2875,3113,8297
0,0,0,2943,2837,8347
0,0,0,2786,2884,8704
0,0,0,2612,2990,8513
0,0,0,2626,3120,8431
0,0,0,3041,2921,8326
0,0,0,1971,2707,8384
0,0,0,2546,3025,8575
0,0,0,2652,2464,8045
0,0,0,2827,2672,8512
0,0,0,2817,3147,8286
0,0,0,2928,3044,8420
0,0,0,2791,3211,5452
0,0,0,2704,2816,8612
0,0,0,2490,3048,8069
0,0,0,2792,2860,8938
0,0,0,2748,1856,8280
0,0,0,4371,2904,8253
0,0,0,3140,2999,8560
0,0,0,2624,2896,8558
0,0,0,2215,3105,8346
0,0,0,2627,3218,8448
0,0,0,2949,2840,8410
0,0,0,2775,2560,8354
0,0,0,3352,2940,7784
0,0,0,3053,2881,8337
0,0,0,2516,3002,8595
0,0,0,3011,2807,8278
0,0,0,2792,3205,8411
0,0,0,2888,2950,8400
0,0,0,2721,3235,9602
0,0,0,3053,2937,8171
0,0,0,3490,2912,8589
0,0,0,3010,2632,8362
0,0,0,2637,3018,8502
0,0,0,3069,2853,8422
0,0,0,2594,3415,8473
0,0,0,3058,3030,8187
0,0,0,2624,2371,8469
0,0,0,2500,2846,8296
0,0,0,2505,3053,8551
0,0,0,3147,2976,8159
0,0,0,2648,3332,8454
0,0,0,2941,2901,8168
0,0,0,2639,2971,8485
0,0,0,2783,2704,8590
0,0,0,2857,3113,8260
0,0,0,2845,2710,8470
0,0,0,2868,3060,8828
0,0,0,2856,3304,8459
0,0,0,2742,3224,8345
0,0,0,2754,2846,8627
0,0,0,2826,3172,8465
0,0,0,2870,2767,8418
0,0,0,3228,3089,8091
0,0,0,2609,2980,8677
0,0,0,2768,2733,8157
0,0,0,3049,2889,8234
0,0,0,2666,2915,8721
0,0,0,3112,2908,8232
0,0,0,2630,3186,8490
0,0,0,2912,3228,8436
0,0,0,2665,3255,8472
0,0,0,3021,2888,8277
0,0,0,2754,3189,8409
0,0,0,2915,3037,8598
0,0,0,2932,2741,8488
0,0,0,2852,3133,8343
0,0,0,2801,2742,8535
0,0,0,2626,2629,8438
0,0,0,2990,3005,8294
0,0,0,2858,3220,8340
