MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3136,1464,7449
0,0,0,2954,208,7725
0,0,0,2735,1596,7693
0,0,680,3182,1659,7317
0,0,0,2938,1247,7691
0,0,0,2722,1837,7674
0,0,0,3236,1675,7332
0,0,0,2836,1541,7873
0,0,0,2711,1386,7712
0,0,0,2276,1744,7667
0,0,0,3060,1574,7284
0,0,0,2952,1514,7822
0,0,0,2012,1820,7543
0,0,0,2941,1369,7679
0,0,0,2960,1857,7584
0,0,0,3162,1620,7445
0,0,0,2629,589,7874
0,0,0,2994,1776,7460
0,0,0,2956,1376,7532
0,0,0,2771,1901,7677
0,0,0,3264,1639,8124
0,0,0,2912,1559,7641
0,0,0,2861,1779,7604
0,0,0,3091,2401,7532
0,0,0,2857,1957,7657
0,0,0,3194,1664,7671
0,0,0,3081,2079,7533
0,0,0,2821,1948,7600
0,0,0,3148,593,7462
0,0,0,2960,1371,7733
0,0,0,2809,1868,7558
0,0,0,2880,1651,7563
0,0,0,2724,1631,7722
0,0,0,1650,1697,7421
0,0,0,2887,1289,7672
0,0,0,2844,1919,7702
0,0,0,3024,1509,7662
0,0,0,2981,1630,7781
0,0,0,3240,1650,7349
0,0,0,2894,1565,8016
0,0,0,2957,1668,7536
0,0,0,3101,1818,7572
0,0,0,2788,1427,7962
0,0,0,2785,1654,7782
0,0,0,3176,657,8159
0,0,0,3080,2281,7569
0,0,0,3369,1666,7921
0,0,0,3209,1800,7582
0,0,0,2999,1366,7644
0,0,0,3080,1490,7883
0,0,0,2990,1753,7569
0,0,0,3004,1606,7592
0,0,0,3235,1480,7840
0,0,0,2549,1764,7548
0,0,0,3077,1437,7429
0,0,0,2892,1060,7875
0,0,0,2645,1899,7746
0,0,0,3069,1674,7962
0,0,0,2927,1344,7728
0,0,0,2681,1740,7660
0,0,0,3287,1728,8325
0,0,0,2993,2299,7585
0,0,0,3630,1029,7755
0,0,0,2767,1839,7730
0,0,0,3209,1528,6600
0,0,0,2827,1460,7673
0,0,0,2807,1826,7594
0,0,0,3199,1586,7310
0,0,0,2910,1310,7720
0,0,0,2897,1789,7684
0,0,0,3158,1525,7568
0,0,0,2617,1416,7948
0,0,0,3320,1652,7333
0,0,0,3014,1401,7745
0,0,0,2782,1408,7820
0,0,0,3151,744,7513
0,0,0,2610,1692,7813
0,0,0,3168,1736,7404
0,0,0,2789,1413,8020
0,0,0,2944,1858,7366
0,0,0,2900,1399,7746
0,0,0,2706,1640,7535
0,0,0,3231,1690,7311
0,0,0,2836,1556,7956
0,0,0,2877,1702,7494
0,0,0,2946,1396,7766
0,0,0,2760,1631,7765
0,0,0,3072,1546,7498
0,0,0,2844,1470,7878
0,0,0,2792,1802,7684
0,0,0,3045,1459,7379
0,0,0,2860,1438,7797
0,0,0,2953,1845,7607
0,0,0,2974,1380,7688
0,0,0,2692,1608,7765
0,0,0,2975,1748,7372
0,0,0,2788,1474,7371
0,0,0,3053,1793,7640
0,0,0,2979,1557,7543
0,0,0,2698,1653,6581
0,0,0,3240,1532,7360
0,0,0,2631,1656,8325
0,0,0,3066,1608,7498
0,0,0,3163,1498,7848
0,0,0,3226,1640,7729
0,0,0,2675,1658,7808
0,0,0,3144,1634,7403
0,0,0,2968,1450,7898
0,0,0,2962,1791,7512
0,0,0,2930,1368,7685
0,0,0,2684,1608,7788
0,0,0,2880,1814,7516
0,0,0,2987,2353,7550
0,0,0,3755,1660,7815
0,0,0,2917,1790,7663
0,0,0,3240,1645,7345
0,0,0,2809,1443,7957
0,0,0,2863,1744,7614
0,0,0,3087,1686,7621
0,0,0,2757,1948,7733
0,0,0,3287,1588,8240
0,0,0,2218,1408,7978
0,0,0,2722,1646,7546
0,0,0,3198,1416,7445
0,0,0,2728,1721,7263
0,0,0,3003,1665,7649
0,0,0,3091,1575,7504
0,0,0,3740,1626,7916
0,0,0,2931,1690,7425
0,0,0,3072,2102,7536
0,0,0,2637,1617,7857
0,0,0,3193,1635,7338
0,0,0,2948,1446,7782
0,0,0,2753,1949,7679
0,0,0,3265,1696,7308
0,0,0,3060,1490,7380
0,0,0,2729,1624,6500
0,0,0,2985,1779,8368
0,0,0,2834,1344,7286
0,0,0,2976,2247,7549
0,0,0,3034,1388,7576
0,0,0,2640,1615,7837
0,0,0,3088,1658,7716
0,0,0,2913,1494,7664
0,0,0,2810,1856,7167
0,0,0,3264,1681,7292
0,0,0,3048,1500,7461
0,0,0,2917,1530,7940
0,0,0,2674,1604,7769
0,0,0,3181,1636,7399
0,0,0,2900,1432,7765
0,0,0,2625,1565,7819
0,0,0,2952,1836,7528
0,0,0,2976,1462,6564
0,0,0,4000,1566,7850
0,0,0,2897,1836,7597
0,0,0,3152,1560,7382
0,0,0,2861,1531,7988
0,0,0,2768,1577,8368
0,0,0,2815,1928,7710
0,0,0,3293,1688,6775
0,0,0,2964,1508,7732
0,0,0,2632,1699,7775
0,0,0,2966,1817,8001
0,0,0,2980,1246,7551
0,0,0,2824,1943,7730
0,0,0,3094,1651,7468
0,0,0,2889,1428,7748
0,0,0,2779,1937,7716
0,0,0,2996,1778,7576
0,0,0,3154,1056,5451
0,0,0,3021,2265,7568
0,0,0,2859,1362,7780
0,0,0,4169,1641,7861
0,0,0,3020,1820,7381
0,0,0,3204,1617,7435
0,0,0,2898,1303,6908
0,0,0,2786,1630,7877
0,0,0,2766,1841,8545
0,0,0,2954,1889,7645
0,0,0,3183,1503,7407
0,0,0,2985,1374,7705
0,0,0,2896,1620,7829
0,0,0,2768,1937,7748
0,0,0,3017,1716,7596
0,0,0,3019,1656,7668
0,0,0,2912,1379,7781
0,0,0,3202,1499,7941
0,0,0,2082,1896,7777
0,0,0,3082,1967,7648
0,0,0,3250,1635,7422
0,0,0,2989,1480,7464
0,0,0,2970,1459,7794
0,0,0,3313,1532,7873
0,0,0,2811,2098,7802
0,0,0,2366,1842,7643
0,0,0,3000,603,7643
0,0,0,3251,2178,8619
0,0,0,3152,1558,7558
0,0,0,3040,2300,7605
0,0,0,3034,1328,7631
0,0,0,2785,1540,8020
0,0,0,2883,1475,7956
0,0,0,2873,1488,7895
0,0,0,2689,1769,7842
0,0,0,3010,1815,7611
0,0,0,3192,1628,8507
0,0,0,3212,1718,7306
0,0,0,3260,1558,7351
0,0,0,3152,1631,7504
0,0,0,3133,1659,7596
0,0,0,3372,2133,7584
0,0,0,2904,218,7816
0,0,0,2921,1504,7808
0,0,0,3153,1370,7829
0,0,0,3501,1362,7964
0,0,0,2809,1956,7708
0,0,0,2842,1828,7192
0,0,0,2637,1752,8011
0,0,0,3144,1562,7417
0,0,0,2978,1990,7746
0,0,0,3742,1564,7879
0,0,0,3002,1796,7492
0,0,0,3067,1468,7388
0,0,0,2958,1457,7690
0,0,0,2834,1400,7684
0,0,0,2612,1694,7977
