MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3213,3227,8318
0,0,0,3130,3428,8064
0,0,0,2902,3634,8285
0,0,0,3276,3452,7393
0,0,0,3234,3360,8145
0,0,0,2994,3010,8432
0,0,0,3327,3389,8593
0,0,0,3316,3408,8171
0,0,0,2900,3223,8609
0,0,0,2624,3472,8461
0,0,0,2850,3600,8408
0,0,0,3368,3531,8896
0,0,0,3136,3025,8468
0,0,0,2803,3326,8569
0,0,0,2791,3615,8429
0,0,0,3381,3420,7524
0,0,0,2821,3261,7943
0,0,0,2810,3682,8439
0,0,0,3140,3724,8373
0,0,0,2822,3346,8626
0,0,0,2944,3590,8352
0,0,0,2664,3603,8241
0,0,0,3288,3309,8133
0,0,0,3326,3400,8084
0,0,0,3292,3412,8046
0,0,0,3264,3396,8103
0,0,0,3178,3290,8280
0,0,0,2674,3583,8519
0,0,0,3272,3461,8112
0,0,0,2690,3505,8609
0,0,0,2991,3560,8089
0,0,0,3323,3356,8140
0,0,0,3740,4181,8256
0,0,0,4143,3419,8663
0,0,0,3076,3643,8208
0,0,0,2952,3139,8740
0,0,0,3288,3334,8221
0,0,0,2827,3686,8465
0,0,0,2823,3446,8655
0,0,0,3741,3282,8195
0,0,0,3027,3580,8299
0,0,0,2898,3250,8736
0,0,0,3098,3517,8322
0,0,0,2559,3362,8610
0,0,0,3226,3377,8130
0,0,0,3773,3414,8651
0,0,0,3171,3540,8262
0,0,0,3250,3344,8261
0,0,0,2990,3192,8463
0,0,0,2728,3502,8488
0,0,0,3012,3556,8852
0,0,0,3034,3108,8443
0,0,0,2444,3567,9128
0,0,0,3190,3505,8072
0,0,0,2891,3186,8454
0,0,0,2550,3737,8404
0,0,0,3001,3544,8292
0,0,0,3203,3344,8157
0,0,0,2852,3378,8703
0,0,0,2914,3583,8312
0,0,0,3264,3327,8232
0,0,0,2959,3589,9097
0,0,0,3003,3141,8518
0,0,0,3038,3456,8369
0,0,0,3084,3377,8310
0,0,0,2450,3558,8613
0,0,0,3288,3347,8193
0,0,0,3104,2512,8748
0,0,0,2871,3936,8397
0,0,0,2977,3549,8555
0,0,0,3006,3217,8458
0,0,0,3096,3288,8416
0,0,0,2826,3583,8635
0,0,0,3229,3486,8242
0,0,0,2984,3209,8418
0,0,0,2825,3651,8481
0,0,0,3313,3521,8132
0,0,0,2852,3494,8581
0,0,0,1890,3596,8318
0,0,0,2962,3173,8677
0,0,0,2827,3645,8296
0,0,0,2956,3137,7679
0,0,0,3163,3603,8614
0,0,0,3019,3100,8475
0,0,0,2580,3525,8616
0,0,0,3080,3583,8619
0,0,0,3118,3426,8384
0,0,0,3704,3420,8589
0,0,0,3027,3583,8387
0,0,0,3159,3388,8360
0,0,0,3007,3188,8496
0,0,0,2753,3490,8532
0,0,0,2938,2301,8317
0,0,0,3275,3370,8224
0,0,0,2934,3235,8591
0,0,0,2901,3651,8373
0,0,0,3136,3147,8373
0,0,0,3089,3240,8641
0,0,0,2610,3316,7602
0,0,0,2868,3785,8429
0,0,0,3331,3728,8126
0,0,0,3173,3251,8290
0,0,0,2985,3202,8567
0,0,0,3274,3355,8295
0,0,0,3080,3765,8421
0,0,0,2762,3583,8558
0,0,0,2730,3442,8540
0,0,0,2792,3657,8485
0,0,0,2986,3522,8586
0,0,0,3145,3412,8374
0,0,0,3113,3266,8471
0,0,0,3661,3432,8555
0,0,0,3216,3356,8400
0,0,0,3208,3500,7188
0,0,0,2829,3644,8741
0,0,0,3084,3227,8520
0,0,0,3015,3620,9332
0,0,0,2892,3335,8656
0,0,0,3290,3097,8170
0,0,0,2979,3172,8686
0,0,0,3292,3552,8210
0,0,0,3224,3529,8345
0,0,0,2798,3343,8703
0,0,0,3304,3508,8196
0,0,0,2797,3325,8157
0,0,0,3117,3158,8470
0,0,0,2902,3662,8384
0,0,0,3297,3498,8224
0,0,0,2686,3136,8468
0,0,0,2630,2898,8667
0,0,0,2968,3629,8265
0,0,0,3199,3292,8322
0,0,0,2860,3405,8736
0,0,0,2764,3576,8520
0,0,0,2825,3521,8215
0,0,0,3034,3317,8685
0,0,0,3104,3600,8991
0,0,0,3076,3202,8731
0,0,0,3205,3512,8398
0,0,0,3012,3583,8424
0,0,0,2880,3607,7189
0,0,0,2706,3523,7784
0,0,0,2202,3516,8271
0,0,0,2757,3397,8547
0,0,0,2941,3254,8660
0,0,0,2886,3769,8567
0,0,0,2927,3402,8635
0,0,0,2804,3686,8488
0,0,0,3083,3605,8281
0,0,0,3296,3486,8212
0,0,0,3469,3583,8149
0,0,0,3388,3491,8089
0,0,0,3272,3397,8237
0,0,0,2991,3234,8616
0,0,0,2626,3583,8741
0,0,0,3428,3460,8144
0,0,0,2834,3780,8458
0,0,0,3254,3432,8116
0,0,0,2778,3429,8703
0,0,0,3011,3583,9223
0,0,0,3083,3282,8496
0,0,0,3016,3583,9115
0,0,0,2696,3538,8516
0,0,0,3314,3337,8296
0,0,0,2752,3593,8341
0,0,0,3030,3159,8526
0,0,0,2905,3748,8520
0,0,0,3128,3384,8459
0,0,0,3088,3544,7964
0,0,0,2789,4214,8526
0,0,0,2956,3598,8463
0,0,0,3012,3583,8864
0,0,0,2932,3304,8703
0,0,0,2883,3696,8272
0,0,0,2993,3608,8549
0,0,0,2956,3356,8680
0,0,0,3012,3282,8148
0,0,0,2875,3350,8647
0,0,0,3141,3595,8089
0,0,0,3183,3464,8608
0,0,0,3018,3452,8224
0,0,0,3092,3221,8564
0,0,0,2637,3529,8682
0,0,0,3304,3541,8182
0,0,0,2880,3300,8691
0,0,0,3387,3559,8227
0,0,0,2681,3451,8671
0,0,0,2758,3551,8508
0,0,0,2899,3789,8461
0,0,0,2728,2539,8565
0,0,0,3504,3392,8346
0,0,0,3002,3653,8318
0,0,0,2852,3460,8720
0,0,0,2946,3105,8769
0,0,0,3174,3430,8463
0,0,0,2943,3583,8333
0,0,0,3297,3401,8637
0,0,0,3173,3440,8359
0,0,0,2833,3295,8459
0,0,0,3159,3604,8248
0,0,0,2732,3480,8626
0,0,0,3138,4141,9411
0,0,0,2922,3631,8502
0,0,0,2722,3545,8703
0,0,0,3583,3212,8376
0,0,0,2659,3532,8718
0,0,0,3091,3624,8350
0,0,0,2947,2915,8650
0,0,0,2898,3595,8472
0,0,0,2806,3631,8524
0,0,0,2848,3690,9615
0,0,0,3232,3514,8297
0,0,0,3148,3255,8475
0,0,0,3024,3777,8635
0,0,0,2721,3540,8557
0,0,0,3315,3498,8296
0,0,0,2754,3792,8595
0,0,0,3172,3138,8286
0,0,0,2736,3636,8949
0,0,0,3348,3581,8207
0,0,0,2856,3312,8770
0,0,0,3143,3664,8361
0,0,0,3484,3360,8760
0,0,0,3211,3354,8808
0,0,0,2713,3550,8682
0,0,0,2778,3583,8125
0,0,0,3003,3303,8616
0,0,0,2929,4411,8385
0,0,0,3167,3583,8506
0,0,0,2972,3672,8428
0,0,0,3078,3716,8389
0,0,0,3270,3455,8289
0,0,0,3025,3257,8590
0,0,0,2754,3540,8577
0,0,0,2880,3682,8459
0,0,0,3332,3526,8334
0,0,0,3016,3297,8717
0,0,0,2922,3445,8703
0,0,0,2847,3664,8490
0,0,0,2486,3205,8501
0,0,0,2906,3672,8516
0,0,0,3310,3411,8703
0,0,0,2861,3633,8418
0,0,0,3153,3447,8373
0,0,0,2671,3613,7904
0,0,0,2864,3832,8515
0,0,0,3230,3562,8269
0,0,0,3145,3164,8504
0,0,0,2854,3392,8721
0,0,0,3356,3583,8144
0,0,0,3266,4232,8487
0,0,0,2892,3300,8793
0,0,0,3218,3273,8268
0,0,0,3170,3336,7188
0,0,0,3267,3460,7677
0,0,0,3247,3405,8328
0,0,0,2707,3232,8652
0,0,0,2923,3226,9563
0,0,0,2890,3749,8533
0,0,0,2992,3508,8713
0,0,0,2921,3441,8696
0,0,0,3782,3506,8647
0,0,0,2752,3610,8576
0,0,0,3005,3583,8707
0,0,0,3220,3381,8109
0,0,0,3149,3444,8373
0,0,0,3011,3298,8571
0,0,0,3197,3539,8370
0,0,0,3276,3532,8330
0,0,0,2657,3456,8338
0,0,0,4298,4029,8424
0,0,0,2867,3354,7616
0,0,0,2727,3524,8630
0,0,0,1847,3735,8619
0,0,0,3356,3361,8372
0,0,0,3114,4136,8505
0,0,0,3208,3498,8730
0,0,0,2986,3764,8488
0,0,0,2930,3557,8200
0,0,0,3009,3648,8353
0,0,0,3198,3621,8429
0,0,0,3292,3349,8338
0,0,0,3138,3583,9039
0,0,0,3146,3281,8482
0,0,0,2774,3555,8585
0,0,0,3114,3583,8370
0,0,0,2918,3414,8703
0,0,0,2897,3690,8443
0,0,0,3237,3611,9037
0,0,0,2715,3534,8648
0,0,0,3248,3528,8247
0,0,0,2756,3430,8628
0,0,0,2803,3551,8219
0,0,0,3268,3099,8270
0,0,0,3250,3532,8363
0,0,0,2752,3720,8700
0,0,0,2824,3770,8546
0,0,0,3308,3496,8249
0,0,0,3092,3153,8605
0,0,0,2934,3396,8813
0,0,0,3138,3694,8320
0,0,0,3204,3353,7794
0,0,0,2968,3556,8794
0,0,0,2972,3700,8456
0,0,0,3041,3601,8564
0,0,0,3161,3282,8609
0,0,0,2774,3583,8624
0,0,0,2994,3641,8398
0,0,0,3030,3376,8637
0,0,0,2896,3816,8539
0,0,0,3404,3565,6986
0,0,0,3031,3298,8669
0,0,0,2846,3748,8500
0,0,0,3301,3558,8257
0,0,0,2953,3441,8743
0,0,0,2984,3744,8469
0,0,0,2786,3608,8603
0,0,0,3073,3344,8528
0,0,0,2683,3583,8564
0,0,0,3248,3425,8264
0,0,0,2980,3419,8834
0,0,0,2857,3897,8542
0,0,0,3244,3435,8407
0,0,0,2907,3396,8811
0,0,0,2925,3660,8481
0,0,0,3246,3362,8417
0,0,0,2954,3499,8587
0,0,0,3144,3440,8685
0,0,0,2880,3712,8208
0,0,0,3258,3582,8298
0,0,0,2938,3369,8692
0,0,0,3300,3583,9245
0,0,0,3316,4172,8416
0,0,0,2886,3736,8522
0,0,0,2721,3450,8476
0,0,0,2793,3744,8459
0,0,0,3264,3583,8296
0,0,0,2716,3552,8663
0,0,0,3020,3684,8457
0,0,0,3216,3596,8482
0,0,0,3178,3247,8703
0,0,0,2664,3545,8690
0,0,0,2488,3583,8263
0,0,0,3009,3265,8508
0,0,0,3090,3327,7794
0,0,0,2873,3703,8509
0,0,0,3291,3453,8659
0,0,0,2706,3681,8342
0,0,0,2956,3671,8438
0,0,0,2864,3667,8588
0,0,0,3146,3664,8361
0,0,0,3152,3450,8345
0,0,0,2913,3372,8171
0,0,0,1828,3759,8347
0,0,0,2868,3781,8475
0,0,0,2832,3408,8709
0,0,0,3194,3683,8400
0,0,0,2924,3351,8742
0,0,0,3227,3416,7785
0,0,0,2801,3586,8670
0,0,0,3192,3488,8447
0,0,0,2812,3716,8555
0,0,0,3238,3399,8407
0,0,0,2766,3583,8618
0,0,0,3886,3628,8515
0,0,0,3180,3676,6989
0,0,0,3143,3992,8461
0,0,0,3163,3794,8369
0,0,0,2994,2525,8851
0,0,0,2685,3484,8704
0,0,0,3255,2772,8403
0,0,0,2939,3306,8613
0,0,0,3562,3479,8632
0,0,0,3368,3588,8257
0,0,0,3025,3288,8761
0,0,0,2848,3854,8554
0,0,0,3187,3287,8456
0,0,0,2811,3721,8530
0,0,0,3376,3634,8125
0,0,0,2675,3597,8697
0,0,0,3204,3569,8178
0,0,0,2732,3862,8628
0,0,0,3082,3395,8367
0,0,0,2939,3699,8429
0,0,0,3010,3547,8703
0,0,0,2935,3621,7251
0,0,0,3472,3266,8543
0,0,0,3752,3495,8650
0,0,0,3007,3690,8518
0,0,0,2888,3362,8703
0,0,0,2933,3727,8357
0,0,0,3088,3304,8664
0,0,0,2893,3830,8488
0,0,0,3004,3574,8159
0,0,0,3274,3504,7222
0,0,0,3100,3449,8479
0,0,0,3112,4215,8529
0,0,0,3727,3548,8658
0,0,0,2950,3774,8464
0,0,0,3280,3511,8444
0,0,0,2881,3849,8501
0,0,0,3172,3406,8418
0,0,0,3115,3588,8535
0,0,0,2065,3583,8703
0,0,0,2820,3776,8573
0,0,0,3076,3583,8200
0,0,0,3037,3445,8776
0,0,0,3664,3553,8166
0,0,0,2597,3426,8718
0,0,0,3273,3426,8329
0,0,0,2784,3633,8689
0,0,0,3146,2618,8436
0,0,0,2883,3876,8490
0,0,0,3152,4569,8444
0,0,0,2907,3747,8458
0,0,0,3166,3488,8429
0,0,0,3030,3944,8692
0,0,0,3287,3533,8384
0,0,0,2988,3708,8504
0,0,0,2744,3566,8720
0,0,0,3300,3543,8449
0,0,0,2932,3741,8296
0,0,0,3253,3985,8349
0,0,0,2836,3533,8571
0,0,0,3217,3583,8569
0,0,0,3076,3386,8703
0,0,0,2980,3584,8472
0,0,0,2977,3479,8703
0,0,0,2908,3776,8539
0,0,0,3189,3520,8324
0,0,0,2859,3738,8522
0,0,0,3104,3294,8609
0,0,0,2443,3673,8128
0,0,0,3010,3305,8660
0,0,0,2963,3733,8482
0,0,0,3258,3359,8337
0,0,0,3269,3443,8399
0,0,0,2896,3328,8669
0,0,0,2814,3802,8445
0,0,0,3369,3583,8165
0,0,0,2890,3356,8751
0,0,0,2743,3600,8656
0,0,0,2954,3370,8776
0,0,0,3436,3497,8243
0,0,0,3206,3391,7283
0,0,0,3360,3513,8280
0,0,0,2672,3626,8684
0,0,0,3128,3354,7242
0,0,0,3179,3812,9153
0,0,0,2624,3552,8718
0,0,0,3138,3491,8489
0,0,0,3043,3642,8441
0,0,0,2717,3521,8666
0,0,0,2963,3351,8717
0,0,0,3265,3476,8368
0,0,0,2841,3813,8623
0,0,0,3269,3685,8703
0,0,0,3152,4036,8450
0,0,0,2855,3620,8587
0,0,0,2600,3471,8206
0,0,0,2941,3524,8703
0,0,0,3195,3601,8321
0,0,0,3021,3168,8526
0,0,0,2866,3858,8552
0,0,0,3193,3598,8512
0,0,0,2896,3348,8512
0,0,0,2894,3366,8768
0,0,0,3335,3590,8214
0,0,0,3103,3264,8662
0,0,0,3267,3429,8172
0,0,0,2737,3614,8688
0,0,0,3309,3427,8290
0,0,0,2733,3288,8629
0,0,0,3236,3288,8712
0,0,0,3392,3581,8145
0,0,0,2673,3622,8686
0,0,0,3102,3255,8607
0,0,0,3129,3583,8148
0,0,0,2783,3596,8572
0,0,0,3308,3538,8311
0,0,0,2939,3400,8703
0,0,0,3163,3968,8524
0,0,0,2882,3724,8536
0,0,0,2907,3595,8533
0,0,0,3021,3280,8468
0,0,0,2850,3717,8481
0,0,0,2891,3441,8413
0,0,0,3334,3584,8524
0,0,0,2807,3720,8513
0,0,0,2937,3355,8703
0,0,0,2981,3687,8385
0,0,0,3178,4165,8441
0,0,0,2959,3834,8436
0,0,0,3410,3537,8272
0,0,0,2756,3691,8618
