MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,9689,0,4333,2548,8125
0,9548,0,4778,2388,8333
0,9795,0,4208,2189,8277
0,10048,0,4250,2242,8020
0,10259,0,3934,2317,8045
0,10984,0,4051,2253,6732
0,9729,0,4003,2294,7790
0,10002,0,4347,2284,7792
0,9911,0,4313,2384,8334
0,9727,0,3976,1857,8374
0,9978,0,4196,2152,8669
0,10141,0,4384,2128,8171
0,10318,0,4607,2274,8100
0,9916,0,4244,2402,8298
0,9725,0,3958,2303,8641
0,10008,0,4688,2298,8105
0,10091,0,4324,2541,8331
0,9722,0,3952,2286,8595
0,9920,0,4129,1929,8734
0,10193,0,4356,2538,8387
0,9926,0,4607,2558,8521
0,9936,0,4806,2219,8664
0,9897,0,4519,2132,8257
0,10048,0,4424,2502,8388
0,9632,0,4239,1980,7701
0,10322,0,4344,2312,7745
0,9629,64,3759,2626,8540
0,9727,0,4262,2114,8500
0,10260,0,4035,2497,8048
0,9828,0,3691,2615,8209
0,12861,0,4196,2319,8616
0,10116,0,4298,2328,8077
0,10493,0,3839,1904,8517
0,10324,0,4385,2052,8353
0,10268,0,4493,2196,8104
0,9824,0,4049,2577,8389
0,9998,0,4120,3114,8346
0,9924,0,4637,2468,8703
0,9856,0,4268,2283,8573
0,9881,0,4407,1820,8488
0,10472,0,4488,2424,8306
0,9727,0,4067,2225,8635
0,10089,0,4238,2006,8527
0,10296,0,4582,2370,8277
0,9897,0,4012,2317,8656
0,9961,0,4357,2009,8480
0,10305,0,4392,2272,8242
0,9969,0,4228,2466,8327
0,10049,0,4452,1905,8466
0,9650,0,4260,2448,8232
0,9771,0,4347,2260,8306
0,10185,0,4138,2559,7866
0,13834,0,4044,2093,8652
0,10535,0,4479,2342,8103
0,9779,0,3904,2084,8615
0,10134,0,4117,2192,8283
0,9903,0,4249,2864,8275
0,9834,0,4184,1936,8885
0,10178,0,4502,2320,8100
0,9803,0,4113,2393,8457
0,9946,0,4192,1923,8553
0,10266,0,4568,2203,7965
0,9653,0,3945,2166,5820
0,10095,0,3797,2325,8304
0,9798,0,4126,2559,8415
0,9677,0,4169,2136,8475
0,10272,0,4283,2577,8245
0,10805,0,4469,2218,8448
0,10595,0,4397,2291,8437
0,9845,2095,4607,2444,8548
0,9892,0,4177,1843,7264
0,10290,0,4373,2442,9015
0,9822,0,4224,2504,8416
0,9312,0,4232,1976,8515
0,9984,0,4376,2533,8292
0,9779,0,4182,840,8297
0,10189,0,4283,2557,8109
0,9592,0,4916,1954,8473
0,10112,0,4388,2322,8070
0,9876,0,4560,2638,8483
