MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,5035,1743,8404
0,0,0,4310,1926,8212
0,0,0,4540,1939,7913
0,0,0,4960,2421,7777
0,0,0,4933,1731,8008
0,0,0,4827,1791,7754
0,0,0,4765,1216,7970
0,0,0,5223,1411,7988
0,0,0,4805,1817,7970
0,0,0,4642,2433,8265
0,0,0,4632,1641,8147
0,0,0,4392,1677,8312
0,0,0,4450,2036,8046
0,0,0,4888,1790,7865
0,0,0,4632,1556,8160
0,0,0,4452,1645,8410
0,0,0,4394,1885,8172
0,0,0,4225,2048,7947
0,0,0,4594,1894,8743
0,0,0,4768,1472,8145
0,0,0,4478,1700,8284
0,0,0,4425,1657,8285
0,0,0,4433,2078,8086
0,0,0,3423,2047,7927
0,0,0,4745,1961,8010
0,0,0,4609,2150,8144
0,0,0,4782,1790,7918
0,0,0,4654,1594,8168
0,0,0,4384,1634,8280
0,0,0,4320,1974,8040
0,0,0,4316,1879,8238
0,0,0,4571,1965,7915
0,0,0,4436,2044,8044
0,0,0,4616,1956,7953
0,0,0,4324,1815,8155
0,0,0,4454,2082,8207
0,0,0,4502,2045,8080
0,0,0,4424,1270,8139
0,0,0,4453,1970,8068
0,0,0,4382,2002,8192
0,0,0,4457,1988,8017
0,0,0,4606,2068,7968
0,0,0,4704,1886,8207
0,0,0,4879,1854,7755
0,0,0,4811,1708,7931
0,0,0,4571,1453,8210
0,0,0,4548,1792,8168
0,0,0,4089,1922,8164
0,0,0,5265,1768,8288
0,0,0,4392,1975,8063
0,0,0,4276,1825,8245
0,0,0,4394,2241,8084
0,0,0,4264,1620,8201
0,0,0,4447,1348,8132
0,0,0,4682,1924,8044
0,0,0,4666,1790,7970
0,0,0,4648,1573,8072
0,0,0,4659,1647,8156
0,0,0,4416,1703,8356
0,0,0,4314,2056,8082
0,0,0,4608,1960,7957
0,0,0,4834,1873,7842
0,0,0,4613,1444,8117
0,0,0,3906,1786,8165
0,0,0,4416,2061,7758
0,0,0,4539,1877,7853
0,0,0,4712,1724,7947
0,0,0,4678,1508,8145
0,406,0,4470,1687,8336
0,0,0,4578,1689,8243
0,0,0,4198,1270,8276
0,0,0,4149,1936,7704
0,0,0,4458,2028,7268
0,0,0,4634,1966,8204
0,0,0,4602,1463,8138
0,0,0,4655,1737,8190
0,0,0,4437,2131,8096
0,0,0,4496,1972,8112
0,0,0,4717,1804,7762
0,0,0,4648,1886,7865
0,0,0,4955,1790,7822
0,0,0,4742,1544,8032
0,0,0,4479,1438,8158
0,0,0,4515,1713,8209
0,0,0,3848,2010,8048
0,0,0,3666,1900,7850
0,0,0,4850,1748,7906
0,0,0,4698,2513,8024
0,0,0,4507,1556,7944
0,0,0,4294,1740,8229
0,0,0,4450,2065,7985
0,0,0,4800,1931,7888
0,0,0,4488,1611,8396
0,0,0,4466,1810,8164
0,0,0,4361,1786,8139
0,0,0,4572,1844,7860
0,0,0,4857,1927,7742
0,0,0,4734,1755,7920
0,0,0,4690,1485,8160
0,0,0,4331,1919,8130
0,0,0,4389,1953,7735
0,0,0,4724,635,8045
0,0,0,4797,1659,7866
0,0,0,4709,1684,8133
0,0,0,4502,1691,8400
0,0,0,4508,1933,8010
0,0,0,4874,1812,7874
0,0,0,4570,1662,8345
0,0,0,4102,2162,8039
0,0,0,4793,1856,7893
0,0,0,4448,1701,8367
0,0,0,4405,2004,8046
0,0,0,4655,638,7967
0,0,0,4330,1646,8376
0,0,0,4279,1896,8183
0,0,0,4614,2002,7800
0,0,0,4775,1794,7857
0,0,0,4690,1697,7998
0,152,0,4500,1632,8314
0,0,0,4212,1885,8153
0,0,0,4576,1948,8810
0,0,0,4810,1680,7885
0,0,0,4689,1535,8102
0,0,0,4429,1752,8368
0,0,0,4189,1861,8158
0,0,0,4518,2549,8061
0,0,0,4578,1928,9098
0,0,0,4756,1658,7105
0,0,0,4682,1511,8207
0,0,0,4463,1919,8004
0,0,0,4789,2155,7862
0,0,0,4330,1715,8271
0,0,0,4502,2009,8308
0,0,0,4491,1575,8416
0,0,0,4332,1794,8077
0,0,0,4344,1733,7932
0,0,0,4517,1592,8319
0,0,0,4465,2118,8133
0,0,0,4766,1745,7920
0,0,0,4408,1740,8362
0,0,0,5280,1778,8312
0,0,0,4606,1833,7714
0,0,0,4902,1768,7932
0,0,0,4519,1517,7900
0,0,0,4302,2013,8121
0,0,0,4824,1719,8888
0,0,0,4740,2513,8073
0,0,0,4488,1734,8285
0,0,0,4185,1805,8262
0,0,0,4598,1940,7913
0,0,0,4845,1825,7824
0,0,0,4538,1604,8452
0,0,0,4524,1710,8327
0,0,0,4338,1848,8132
0,0,0,4820,1823,8025
0,0,0,4732,2185,7977
0,0,0,3504,2018,8138
0,0,0,4573,1343,7844
0,0,0,4560,1906,8112
0,0,0,4756,1753,7992
0,0,0,4668,1866,8040
0,0,0,4496,1616,8311
0,0,0,4349,2349,8129
0,0,0,4441,2055,8153
0,0,0,4733,1713,7927
0,0,0,4728,1680,7912
0,0,0,4413,1681,8328
0,0,0,4189,1901,8244
0,0,0,4330,2005,8122
0,0,0,4763,1890,7706
0,0,0,4738,1753,7958
0,0,0,4461,1548,8394
0,0,0,4236,2062,7535
0,0,0,4797,2477,8542
0,0,0,4724,1774,8029
0,0,0,4408,1749,8446
0,0,0,4285,1802,8265
0,0,0,4797,1640,7963
0,0,0,4582,1722,7756
0,0,0,4497,2107,8083
0,0,0,4018,1975,8754
0,0,0,4709,1833,7948
0,0,0,4821,2512,8004
0,0,0,4522,1752,8312
0,0,0,4426,1606,8420
0,0,0,4459,1962,7978
0,0,0,4975,1774,7781
0,0,0,4673,1636,8050
0,0,0,3125,1933,8105
0,0,0,4506,1970,7903
0,0,0,4612,1696,8078
0,0,0,4520,1654,8328
0,0,0,4248,1909,8184
0,0,0,4496,1973,8192
0,0,0,4699,1664,7927
0,0,0,4345,1602,9809
0,0,0,4273,1856,8153
0,0,0,4526,2011,7974
0,0,0,4614,2050,8212
0,0,0,4320,2126,8146
0,0,0,4798,1940,7645
0,0,0,4836,1832,7889
0,0,0,4768,1680,7966
0,0,0,4291,1515,7958
0,0,0,4353,2628,8120
0,0,0,4810,1894,7810
0,0,0,4483,1564,8301
0,0,0,4755,1756,8297
0,0,0,4435,1968,7318
0,0,0,4837,1748,7828
0,0,0,4626,1553,8123
0,0,0,4875,1858,8294
0,0,0,4418,2045,8000
0,0,0,4764,1758,7911
0,0,0,4685,1672,8039
0,0,0,4526,1574,8273
0,0,0,4208,1741,8280
0,0,0,4400,2103,8023
0,0,0,4367,2168,8096
0,0,0,4529,1955,7908
0,0,0,4908,1846,7818
0,0,0,4664,2548,8168
0,0,0,4501,1556,8356
0,0,0,4338,2088,8119
0,0,0,3833,1840,7978
0,0,0,4769,1816,7839
0,0,0,4666,1407,8128
0,0,0,4379,2236,8065
0,0,0,4130,1844,7721
0,0,0,4468,524,8162
0,0,0,2830,1886,8240
0,0,0,4664,1911,7167
0,0,0,4711,1744,7965
0,0,0,4392,1909,8272
0,0,0,4731,1816,7763
0,0,0,4359,1650,8348
0,0,0,4374,1985,8000
0,0,0,4810,1873,7704
0,0,0,4632,2754,8025
0,0,0,4340,694,8339
0,0,0,4477,1800,7815
0,0,0,4739,1699,7909
0,0,0,4347,1654,8112
0,0,0,4441,1696,8344
0,0,0,4324,1996,8063
0,0,0,4827,1692,7875
0,0,0,4458,1664,8456
0,0,0,4160,1845,8279
0,0,0,4400,2009,8101
0,0,0,4564,2032,8104
0,0,0,4683,2004,8230
0,0,0,4408,1844,8404
0,0,0,4232,2046,8309
0,0,0,4486,1845,7980
0,0,0,4838,1813,7890
0,0,0,4546,1464,8141
0,0,0,4943,1746,8225
0,0,0,4408,2092,8211
0,0,0,4416,2009,7993
0,0,0,4716,1712,7960
0,0,0,4504,1678,8352
0,0,0,4250,1846,8203
0,0,0,4392,2031,8049
0,0,0,4826,1762,7927
0,0,0,4693,2172,8036
0,0,0,4318,1712,9452
0,0,0,4147,1874,8312
0,0,0,4473,1735,8047
0,0,0,4688,1918,7919
0,0,0,4477,1608,8275
0,0,0,4587,1704,8254
0,0,0,4251,1978,8156
0,0,0,4253,2113,8157
0,0,0,4591,1972,6945
0,0,0,4730,2128,7873
0,0,0,4252,1633,8138
0,0,0,4172,849,8294
0,0,0,4528,1701,8348
0,0,0,4804,2180,7740
0,0,0,4437,1751,8323
0,0,0,4220,1937,8203
0,0,0,4721,1695,8000
0,0,0,4296,1634,8407
0,0,0,4315,2069,8114
0,0,0,4616,2023,7829
0,0,0,4520,1522,8068
0,0,0,4102,1973,8228
0,0,0,4428,1905,7612
0,0,0,4656,1630,8082
0,0,0,4571,1768,8211
0,0,0,4373,1778,8328
0,0,0,4248,2045,8341
0,0,0,4572,1952,8044
0,0,0,4544,1972,8248
0,0,0,4672,1623,7986
0,0,0,4398,1592,8321
0,0,0,4578,1845,7965
0,0,0,4722,1618,7981
0,0,0,4120,1792,8199
0,0,0,4796,1862,7798
0,0,0,4490,1733,8323
0,0,0,4545,1432,7953
0,0,0,4599,1652,8427
0,0,0,4456,1512,8467
0,0,0,4329,1837,8120
0,0,0,4347,2150,8073
0,0,0,4666,1781,7878
0,0,0,4369,368,8370
0,0,0,4544,1829,7831
0,0,0,4423,1557,8352
0,0,0,4106,1836,8252
0,0,0,4434,2540,8064
0,0,0,4605,1504,8066
0,0,0,4471,1830,8341
0,0,0,4472,1959,7797
0,0,0,4601,2396,8085
0,0,0,4131,1790,7637
0,0,0,4524,1895,8032
0,0,0,4846,1650,7940
0,0,0,5317,2052,8196
0,0,0,4511,2014,8043
0,0,0,4673,1790,8001
0,0,0,4397,1726,8301
0,0,0,4516,1973,7790
0,0,0,4480,1531,8428
0,0,0,4272,2034,8107
0,0,0,4605,1745,7946
0,0,0,4401,1743,8326
0,0,0,4607,1843,7643
0,0,0,4583,1664,8117
0,0,0,4251,1840,8215
0,0,0,4354,2012,8073
0,0,0,4680,1720,7970
0,0,0,4553,1513,8189
0,0,0,4236,1645,8221
0,0,0,3832,1980,8713
0,0,0,4512,1635,7900
0,0,0,4410,2052,8004
0,0,0,4510,1766,9187
0,0,0,4342,1640,8393
0,0,0,4352,1961,6890
0,0,0,4470,1460,8134
0,0,0,4509,1997,7937
0,0,0,4765,1732,7884
0,0,0,4462,1676,8329
0,0,0,4568,2009,8679
0,0,0,4617,1699,7967
0,0,0,4464,1520,7468
0,0,0,5217,1767,8312
0,0,0,4446,2076,7983
0,0,0,4484,1924,7816
0,0,0,4332,1946,7739
0,0,0,4362,2042,8096
0,0,0,4619,1984,7976
0,0,0,4698,1806,7900
0,0,0,4660,1635,7996
0,0,0,4682,1466,8116
0,0,0,4162,1822,8258
0,0,0,4270,2132,8144
0,0,0,4728,1881,7788
0,0,0,4519,2283,8086
0,0,0,4412,1952,7939
0,0,0,4596,3672,8024
0,0,0,4216,1823,8149
0,0,0,4529,2018,7945
0,0,0,4631,1031,7930
0,0,0,4562,1434,8115
0,0,0,4272,1975,8160
0,0,0,3900,2072,8023
0,0,0,4473,1572,8243
0,0,0,4223,2041,8151
0,0,0,4656,1801,7930
0,0,0,4149,1255,8249
0,0,0,4706,1749,8022
0,0,0,4122,1928,8302
0,0,0,4608,1734,7955
0,0,0,4384,1648,8409
0,0,0,3801,1878,7786
0,0,0,4644,1555,8265
0,0,0,3672,2056,7997
0,0,0,4606,1848,7888
0,0,0,4496,2433,7852
0,0,0,4385,1755,8224
0,0,0,4406,2050,8070
0,0,0,4672,1860,7913
0,0,0,4430,1561,8328
0,0,0,4467,1735,8328
0,0,0,4407,1956,8005
0,0,0,4754,1844,7890
0,0,0,4533,1621,8359
0,0,0,4153,1898,8307
0,0,0,4542,1912,8000
0,0,0,4456,1984,8350
0,0,0,4735,1845,7862
0,0,0,4749,1702,7900
0,0,0,4491,1642,8443
0,0,0,4117,1820,8252
0,0,0,4143,1920,8350
0,0,0,4586,2262,8063
0,0,0,4855,1672,8244
0,0,0,4715,1628,7946
0,0,0,4558,1746,8217
0,0,0,3666,2134,8031
0,0,0,4524,1623,8360
0,0,0,4209,2256,8280
0,0,0,4492,1856,7884
0,0,0,4625,1630,8027
0,0,0,4567,1475,8113
0,0,0,4424,1750,8326
0,0,0,4234,2152,8060
0,0,0,4463,1901,8444
0,0,0,4777,1780,7826
0,0,0,3774,1718,7771
0,0,0,4252,2121,8151
0,0,0,4533,1701,7897
0,0,0,4843,1725,7940
0,0,0,3876,1812,8278
0,0,0,4352,1471,7492
0,0,0,4368,1672,8324
0,0,0,4209,1942,8228
0,0,0,4215,1867,8160
0,0,0,4321,2120,8165
0,0,0,4366,2036,8052
0,0,0,4452,2139,8006
0,0,0,4278,2142,8177
0,0,0,4384,1997,8092
0,0,0,4442,2004,8129
0,0,0,3807,1791,7791
0,0,0,4727,1720,8018
0,0,0,4249,1753,8344
0,0,0,4119,1858,8301
0,0,0,4469,1963,8005
0,0,0,4735,1832,7840
0,0,0,4421,1512,9158
0,0,0,4132,1205,8312
0,0,0,4444,1965,8054
0,0,0,4459,1606,7827
0,0,0,4501,1756,8074
0,0,0,4317,1619,8438
0,0,0,4267,2034,8113
0,0,0,4783,1718,7853
0,0,0,4428,1842,8342
0,0,0,4278,2122,8098
0,0,0,4156,1744,7977
0,0,0,4247,1609,8450
0,0,0,4295,1941,8072
0,0,0,4677,1826,7812
0,0,0,4692,1754,7983
0,0,0,4419,1288,8452
0,0,0,4181,2133,8227
0,0,0,4420,1950,8088
0,0,0,4340,1722,8092
0,0,0,4399,1998,8056
0,0,0,4343,2011,8276
0,0,0,4080,1819,7840
0,0,0,4350,2630,8078
0,0,0,4700,1651,8022
0,0,0,4600,1560,8186
0,0,0,4388,1908,8432
0,0,0,4123,1949,8232
0,0,0,4470,1980,7962
0,0,0,4596,2069,8114
0,0,0,4180,1872,8274
0,0,0,4304,2080,7997
0,0,0,4701,1832,7889
0,0,0,4691,1686,7950
0,0,0,4658,1876,7956
0,0,0,4353,1613,8454
0,0,0,4102,1417,8249
0,0,0,4349,1596,8384
0,0,0,4372,1741,8242
0,0,0,4135,2200,8386
0,0,0,4216,2023,8191
0,0,0,4439,1968,8160
0,0,0,4663,1784,7969
0,0,0,4523,2685,8181
0,0,0,4648,1655,8042
0,0,0,4326,1669,8713
0,0,0,4658,1566,8432
0,0,0,4160,1869,8292
0,0,0,4329,1976,8050
0,0,0,4783,1859,7754
0,0,0,4709,1812,8023
0,0,0,4623,1701,7922
0,0,0,5039,1863,7954
0,0,0,4458,1469,8242
0,0,0,4399,1690,8356
0,0,0,4347,1613,8234
0,0,0,4661,1554,8450
0,0,0,5474,1845,8272
0,0,0,4282,1803,8179
0,0,0,4362,1928,7996
0,0,0,4751,1804,8068
0,0,0,4560,1447,8128
0,0,0,4360,1610,8269
0,0,0,4458,1659,8299
0,0,0,4398,1743,8273
0,0,0,4110,1886,8293
0,0,0,4391,1961,8010
0,0,0,3910,2006,8088
0,0,0,4341,1989,6712
0,0,0,4434,1948,7950
0,0,0,4528,1955,8020
0,0,0,4476,1949,7748
0,0,0,4510,1788,8112
0,0,0,4677,1688,8026
0,0,0,4640,1828,8233
0,0,0,4663,1738,7905
0,0,0,4868,1612,7953
0,0,0,4525,1977,8022
0,0,0,4369,1868,8066
0,0,0,4760,1828,7728
0,0,0,4630,1976,8051
0,0,0,4333,616,8524
0,0,0,4311,2078,8194
0,0,0,4265,2119,8056
0,0,0,4251,1577,8092
0,0,0,4225,2122,7858
0,0,0,5126,1760,8205
0,0,0,4656,1412,8397
0,0,0,4309,1720,8337
0,0,0,4784,1809,8624
0,0,0,4439,1746,8368
0,0,0,4248,1917,8212
0,0,0,4247,2056,8177
0,0,0,4525,1894,8041
0,0,0,4590,1828,8029
0,0,0,4793,1916,7890
0,0,0,5418,1769,8240
0,0,0,3850,1817,8212
0,0,0,4263,1954,8205
0,0,0,4201,1897,8273
0,0,0,5305,1773,8364
0,0,0,4085,1906,8246
