MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4578,7897,9229
0,0,0,4503,7568,10573
0,0,0,4201,7635,10456
0,0,0,4542,8114,10404
0,0,0,4513,7837,10477
0,0,0,4222,7654,10490
0,0,0,4597,7936,10108
0,0,0,4394,7594,10517
0,0,0,4081,7854,10572
0,0,0,4635,7877,10122
0,0,116,4252,7807,10600
0,0,0,4261,8127,10333
0,0,0,4719,8005,10083
0,0,0,4763,7853,10504
0,0,0,4737,7860,9985
0,0,0,4336,7853,10622
0,0,0,4297,8118,10248
0,0,0,4632,7388,10443
0,0,0,4279,7898,10407
0,0,0,4656,7904,10304
0,0,0,4573,8768,10364
0,0,0,4526,7789,9612
0,0,0,4357,8080,10277
0,0,0,4578,8014,10380
0,0,0,4160,7916,10402
0,0,0,4672,7973,10119
0,0,0,4441,7577,10421
0,0,0,4437,7826,10228
0,0,0,4680,7912,10036
0,0,0,4231,7752,10569
0,0,0,4265,8137,10287
0,0,0,4484,7746,10289
0,0,0,4148,8314,10373
0,0,0,4593,7733,10281
0,0,0,4205,8014,10560
0,0,0,4486,7652,10327
0,0,0,4473,7949,10239
0,0,0,4256,7846,10576
0,0,0,4522,7769,10373
0,0,0,4337,8162,10257
0,0,0,4583,7841,10218
0,0,0,4208,7792,10315
0,0,0,4531,8209,10349
0,0,0,4332,8015,10170
0,0,0,4459,7568,10372
0,0,0,4197,8156,10330
0,0,0,4651,7757,10201
0,0,0,4325,7718,10618
0,0,0,4350,8044,10360
0,0,0,4261,7692,10601
0,0,0,4777,7971,10114
0,0,0,4071,7983,10463
0,0,0,4546,7637,10378
0,0,0,4620,7901,10008
0,0,0,4286,8122,10304
0,0,0,4308,7738,10540
0,0,0,4594,7744,10190
0,0,0,4245,8218,10269
0,0,0,4426,7654,10580
0,0,0,4760,8124,10034
0,0,0,5002,7884,10449
0,0,0,4534,7745,10277
0,0,0,4065,7672,10512
0,0,0,4576,7810,10276
0,0,0,4019,8035,10531
0,0,0,4522,8094,10392
0,0,0,4549,7968,10634
0,0,0,4207,8023,10394
0,0,0,4463,7637,10707
0,0,0,4436,8152,10284
0,0,0,4489,7874,10369
0,0,0,4161,8191,10457
0,0,0,4554,7798,10227
0,0,0,4122,7581,10380
0,0,0,4647,7771,10236
0,0,0,4200,8175,10436
0,0,0,4570,7804,10098
0,0,0,4249,7740,10750
0,0,0,4688,7896,10012
0,0,0,4330,7654,10668
0,0,0,4351,8087,10256
0,0,0,4350,7686,10256
0,0,0,4280,7736,10570
0,0,0,4284,8059,10343
0,0,0,4462,8452,10206
0,0,0,4225,8234,10226
0,0,0,4672,7814,10217
0,0,0,4562,7586,10400
0,0,0,4230,8171,10337
0,0,0,4670,8000,10296
0,0,0,4496,7591,10482
0,0,0,4388,8229,10275
0,0,0,4513,7545,10369
0,0,0,4200,8042,10417
0,0,0,4624,7676,10253
0,0,0,4275,7801,10561
0,0,0,4310,8068,9634
0,0,0,4733,7888,10016
0,0,0,4604,7970,10537
0,0,0,4661,7880,9995
0,0,0,3833,7833,10546
0,0,0,4618,7824,10137
0,0,0,4196,8164,10404
0,0,0,4582,7855,10208
0,0,0,4206,8021,10402
0,0,0,4740,7858,10232
0,0,0,4160,7889,10410
0,0,0,4692,7908,10149
0,0,0,4119,7935,10353
0,0,0,4645,7802,9392
0,0,0,4191,7830,10475
0,0,0,4483,7587,10402
0,0,0,4376,8148,10351
0,0,0,4429,7672,10573
0,0,0,4536,8076,10177
0,0,0,4335,7729,10530
0,0,0,4599,7944,9960
0,0,0,4456,7668,10564
0,0,0,4444,8038,10156
0,0,0,4280,7669,10604
0,0,0,4682,7592,10109
0,0,0,4980,7838,10560
0,0,0,4324,7796,9698
0,0,0,4565,7896,10458
0,0,0,4719,7954,10109
0,0,0,4104,7366,9640
0,0,0,4519,8082,10356
0,0,0,4309,8146,10372
0,0,0,4289,7712,10612
0,0,0,4689,7950,10016
0,0,0,5184,7872,10434
0,0,0,4668,7802,10156
0,0,0,4716,7796,10537
0,0,0,4705,7832,10012
0,0,0,4420,7784,10546
0,0,0,4700,7767,10151
0,0,0,4257,7805,10506
0,0,0,4402,7966,10489
0,0,0,4240,7792,10636
0,0,0,4352,8117,10317
0,0,0,4512,7240,10309
0,0,0,4078,7971,10487
0,0,0,4584,7866,10239
0,0,0,4252,7821,10576
0,0,0,4651,7857,10235
0,0,0,4402,7620,10373
0,0,0,4135,8064,10433
0,0,0,4400,8030,10850
0,0,0,4650,7808,10067
0,0,0,4852,7878,10463
0,0,0,4480,7951,11352
0,0,0,4582,8516,10402
0,0,0,4152,7963,10324
0,0,0,4575,7970,9937
0,0,0,4447,7670,10580
0,0,0,4552,7952,10329
0,0,0,4589,8039,10248
0,0,0,4607,7770,10196
0,0,0,4085,7897,10545
0,0,0,4360,8059,10162
0,0,0,4740,7814,10105
0,0,0,4544,7701,10358
0,0,0,4304,7799,10633
0,0,0,4219,8138,10373
0,0,0,4546,6673,10278
0,0,0,4261,7442,10606
0,0,0,4271,7965,10290
0,0,0,4632,7753,10250
0,0,0,4318,7542,10369
0,0,0,4170,8015,10356
0,0,0,4801,7893,10036
0,0,0,4656,7840,10112
0,0,0,2973,7880,10560
0,0,0,4089,8029,10447
0,0,0,4171,8082,10208
0,0,0,4520,7894,10116
0,0,0,4586,7595,10287
0,0,0,4050,7973,10495
0,0,0,4335,8180,10239
0,0,0,4643,7798,10144
0,0,0,4296,7527,9742
0,0,0,4374,7717,10531
0,0,0,4334,8167,10280
0,0,0,3671,7900,10161
0,0,0,4433,8313,9249
0,0,0,4466,7590,10471
0,0,0,4916,7905,10379
0,0,0,4002,8209,10266
0,0,0,4649,7958,10127
0,0,0,4548,7675,10307
0,0,0,4557,7593,10802
0,0,0,4398,8104,10285
0,0,0,4540,7893,10040
0,0,0,4316,7840,10459
0,0,0,4505,7956,10877
0,0,0,4654,7884,10271
0,0,0,4214,8004,10444
0,0,0,4228,8100,10408
0,0,0,4462,7907,11247
0,0,0,4680,7737,10246
0,0,0,4268,7788,10332
0,0,0,4404,8052,10209
0,0,0,4674,7717,10074
0,0,0,4361,7728,10544
0,0,0,4357,8229,10266
0,0,0,4766,7701,10184
0,0,0,4357,8026,10280
0,0,0,4556,8059,10296
0,0,0,4319,8122,10201
0,0,0,4656,7744,10111
0,0,0,4187,8063,10092
0,0,0,4608,7807,10044
0,0,0,4550,7595,12520
0,0,0,4324,8159,10301
0,0,0,4556,8190,10278
0,0,0,4289,7694,10641
0,0,0,4234,8075,10351
0,0,0,5372,7784,10087
0,0,0,4086,7888,10490
0,0,0,4488,7916,10033
0,0,0,4545,7554,10309
0,0,0,4206,8122,10285
0,0,0,4692,7745,10089
0,0,0,5096,7862,10241
0,0,0,4367,8086,10415
0,0,0,4268,7743,9792
0,0,0,4472,8001,10188
0,0,0,4357,7632,10585
0,0,0,4318,8070,10399
0,0,0,4539,7493,10387
0,0,0,4148,8257,10338
0,0,0,4758,7847,9988
0,0,0,4500,7147,10398
0,0,0,4208,8000,10296
0,0,0,4292,8089,10178
