MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
6592,4076,0,3268,2517,7197
6639,4373,0,3325,1858,7432
6364,3894,0,3304,2394,7189
6888,4662,0,3029,2124,7040
6398,4209,0,3224,2376,7476
6517,4007,0,3804,2340,7137
5346,4416,0,3465,2047,7240
7593,4235,0,3180,2544,7196
6743,3906,0,2516,2165,7034
6456,4141,0,3497,2176,7552
6641,4173,0,3746,2253,6813
6722,4516,0,3663,2135,7117
6236,3833,0,3287,2416,7157
6954,3707,0,3562,2088,6808
6488,4044,0,3800,2170,7314
6632,4218,0,3684,2120,6976
6614,4268,0,3332,2004,6924
7076,3995,0,3445,2416,7167
6779,4403,0,3357,2116,7269
6353,4114,0,3392,2119,7461
6848,4514,0,3580,2690,7241
6170,3865,0,3286,2511,7347
6798,4362,0,3552,2186,7060
7118,3937,0,3136,2466,7372
6688,3881,0,3560,1898,7232
6714,4313,0,3416,2315,6921
6344,3984,0,3279,2476,7312
6850,4579,0,3510,1960,7211
6412,4228,0,3362,2179,7567
6656,4338,0,3257,2503,7265
6628,4033,0,3572,1588,7134
6651,4449,0,3461,1712,7326
6490,4074,0,3328,2478,7240
6720,4288,0,3575,2112,7144
6577,4702,0,4423,2226,7517
6549,4297,0,3459,2253,6818
6778,3676,0,2423,1969,7344
6280,3838,0,3233,2412,7284
7034,3574,0,3280,2287,7282
6521,4266,0,4160,2222,7370
6588,4086,0,3463,2434,7133
6822,4588,0,3411,3045,7150
6589,4160,0,2357,1845,7560
6850,4282,0,3621,2098,7150
7554,4102,0,3336,2148,7271
6640,4101,0,3476,2324,6849
6880,4350,0,3552,1970,7538
6610,4196,0,3196,2135,7476
6202,3992,0,3240,2004,7168
6852,4564,0,3669,1876,7165
6678,4129,0,2826,2344,7423
6756,4200,0,3585,2416,7396
6771,4182,0,3424,2822,7438
6417,3982,0,3345,2449,6768
6896,4549,0,3403,2742,7253
6529,4290,0,3098,2277,7380
6348,3937,0,3304,2474,7268
6692,4432,0,3646,2739,6971
6669,4367,0,3437,1970,7408
6650,4222,0,3248,2411,7338
6280,3986,0,3305,2458,7331
6938,4528,0,3601,2280,7034
6635,4320,0,3104,2121,6992
6481,3958,0,3171,2618,7280
6604,4170,0,2980,2456,7201
6329,4444,0,3447,2097,7364
6456,4011,0,3090,2197,7302
6395,3872,0,3260,2568,7300
6591,3154,0,3662,2341,7295
6953,5364,0,3633,2394,7114
6646,4243,0,3425,2192,7491
6484,4033,0,3520,2396,7201
6690,4214,0,3424,2228,7056
6659,4500,0,3405,1786,7262
6576,4130,0,3116,2268,6884
6568,4273,0,3472,2434,7316
6809,4545,0,3494,2156,6925
6684,4257,0,2858,2181,7578
6301,4033,0,3200,2525,7250
6492,4074,0,3707,2266,7337
6976,4609,0,3547,2241,6944
6640,4340,0,3353,2072,7321
6244,5098,0,3012,2137,7342
6822,4085,0,3253,2624,7336
6837,4430,0,3181,1952,7307
6542,3564,0,2344,2429,7560
6548,4094,0,3468,2387,7176
6186,4507,0,3418,2021,7286
6567,4170,0,2895,2148,7480
6450,4034,0,2942,2077,7333
6905,4372,0,3607,2590,7010
6664,4202,0,3270,2069,7595
6541,4088,0,3480,2478,7073
6651,4260,0,3602,1941,6864
6848,3622,0,3501,2020,7287
6344,4707,0,3163,2577,7257
8450,3552,0,3216,2322,6977
6313,4440,0,3492,2086,6970
6378,4222,0,3260,1955,7434
6473,4032,0,3601,2404,7210
6848,4346,0,3490,2254,7086
6706,4493,0,3363,2265,7466
6466,4552,0,3466,2308,7235
6993,4570,0,3450,2148,7199
6662,4231,0,3106,2380,7374
6842,4385,0,3641,2159,7096
6721,4261,0,2919,2122,7565
6991,4288,0,3196,2204,7332
6464,4032,0,3389,2411,6784
6227,4325,0,3466,2084,7167
6556,4281,0,3202,2246,7464
6726,4219,0,3813,2297,6936
6720,4346,0,3201,2197,7296
6535,3837,0,3427,2506,7139
6782,4392,0,3397,1989,7384
6454,3999,0,3335,2660,7053
6568,4292,0,3682,2387,6964
6767,4385,0,3396,2100,8143
6532,4013,0,3150,2458,6269
6763,3722,0,3558,2371,7124
7981,4195,0,3134,2210,7470
6366,4094,0,3222,2569,7181
6829,4551,0,3456,1956,7265
6952,3560,0,3094,2479,7456
6592,4315,0,3672,2250,7059
6748,4472,0,3086,2236,7568
6605,3800,0,3325,2301,7995
6936,4602,0,3600,2306,7321
6481,4169,0,3256,2099,7497
6664,4173,0,3728,2397,7568
6936,4456,0,3439,2133,7192
6661,4362,0,3499,2162,7500
5930,4052,0,2964,2425,7874
6814,4451,0,3361,2035,7319
6431,3345,0,3398,2793,7211
6917,4610,0,3527,3025,6977
6610,4285,0,3240,2393,7438
5879,4320,0,3554,2140,6902
6531,4144,0,2995,2270,7416
6784,4291,0,3767,2176,6992
6735,4544,0,3223,2210,7495
6681,4293,0,3630,244,7092
6848,4432,0,3432,2116,7548
6445,4021,0,3325,1591,7534
6809,4426,0,3372,1992,7220
6294,3928,0,3216,2624,7330
6368,4352,0,3587,2172,7156
7054,4318,0,3108,2285,7498
6977,4515,0,3305,4912,7148
6996,4467,0,3174,2541,7194
7005,4204,0,3562,2146,7146
6252,4394,0,3110,2568,7352
6922,4456,0,3462,1429,7206
7900,5596,0,2713,2506,7372
6728,4358,0,3516,2310,7082
6627,4246,0,3143,2331,7437
6783,4310,0,3155,2322,6969
6782,4462,0,3301,2164,7466
6495,3877,0,3271,1756,7287
6925,4618,0,3551,1916,7268
7167,4763,0,2985,2657,7368
6950,4575,0,3455,2179,7215
7304,4269,0,3255,2248,7326
7057,3624,0,3140,2164,7254
6473,3947,0,3597,2468,7333
7036,4602,0,3623,2114,7055
7219,4280,0,3243,1856,7780
6723,4350,0,3554,2241,6852
6721,4397,0,3392,2142,7570
6697,4084,0,2915,2666,7232
6805,4360,0,3696,2497,6952
6752,4393,0,3327,2073,7634
6604,4073,0,3414,2384,6929
6872,4558,0,3364,2058,7313
6464,4801,0,3292,2555,6231
6982,4637,0,3445,2906,7321
6645,4032,0,3383,2578,7259
6843,4593,0,3467,1968,6450
6697,4106,0,3320,2510,7086
6978,3930,0,3372,2192,7504
8448,4187,0,3279,2475,7128
6703,4441,0,3012,2372,7360
6671,3992,0,3773,2362,7015
6709,4361,0,3300,2148,7672
6616,4376,0,3732,2333,8046
6904,3721,0,3326,2270,7616
6287,4130,0,3431,2397,7724
6614,4427,0,3869,1995,7405
6964,4604,0,3675,2204,7239
6001,4049,0,3322,2482,7364
6749,4249,0,3415,2141,7556
6918,5016,0,3436,2410,7217
5915,5194,0,3362,2530,7340
6885,4439,0,3167,2092,7400
6388,4124,0,3221,2582,7242
6918,4495,0,3475,2304,7520
6532,4049,0,3362,2400,7212
6998,4560,0,3522,2128,7288
6314,4068,0,3170,2177,7319
6837,4655,0,3546,2228,7183
6452,4180,0,2968,2315,7049
6563,3860,0,3258,2548,7151
7004,4518,0,3496,2251,6969
6720,4426,0,3161,2241,7432
6502,4086,0,3327,2517,7190
6926,4659,0,3472,1781,7216
6568,4228,0,3096,2244,7519
6633,4114,0,3397,2600,7154
6861,4607,0,3490,1838,7128
6581,4314,0,4090,2264,7547
6666,4226,0,3666,2259,6976
6965,4494,0,4097,2348,7080
6691,4274,0,3797,2208,7090
6711,4235,0,3408,2506,7071
6866,4684,0,3337,2028,7488
7141,3352,0,3328,2335,7445
6755,4160,0,3500,2307,6886
7043,4500,0,3059,3414,8313
6621,1788,0,3080,2241,7546
6600,4112,0,3283,2576,7187
6901,4554,0,4379,2892,7272
6862,4330,0,3470,2284,7449
6641,4360,0,3470,2427,7258
6962,4502,0,3400,2014,7373
6740,4388,0,4210,2242,7457
6456,4113,0,3256,2297,7378
7004,4630,0,3632,2203,6740
6736,4277,0,3186,1932,5824
6771,4410,0,3709,2368,7067
6677,3166,0,3143,2605,7362
6584,4165,0,3250,2518,7263
6861,4395,0,3371,2192,7470
6694,4216,0,3609,2354,7060
6869,4429,0,3375,2168,7146
7419,4401,0,3204,2539,7455
6910,4471,0,3550,2284,7039
6765,4361,0,4025,2201,7538
6662,4164,0,3560,2435,7166
6919,4593,0,3504,2861,7348
6904,3906,0,3354,2245,7543
6399,4090,0,3409,2437,7284
7017,4581,0,3377,2456,7406
6764,4416,0,2902,2336,7384
6242,4377,0,3667,2456,7276
6914,4506,0,4045,2148,7472
6802,4033,0,3602,2389,7447
6635,4202,0,3458,2368,7298
6907,4345,0,3348,1974,7539
6448,4005,0,3319,2500,7337
7106,4663,0,3573,2023,7121
6760,4369,0,1268,2301,7507
6671,4052,0,3524,2053,7742
6838,4479,0,1880,2000,7536
6737,4365,0,3172,2694,7416
6556,4192,0,3622,2155,7143
6776,4483,0,3408,2192,7896
6656,4142,0,3318,2454,7113
6952,4439,0,3453,618,7167
6698,4131,0,3149,2346,7494
6742,4102,0,3127,2536,7182
7296,4468,0,3432,2039,7156
6678,4174,0,3453,2525,7092
6943,4590,0,3464,2859,7194
6698,4243,0,3268,2264,7586
6597,4104,0,3407,2436,7016
7091,4633,0,3474,2249,7262
7576,4288,0,3124,2575,7195
6766,4384,0,3752,2324,7101
6831,4368,0,3222,2136,7138
6964,4073,0,3144,2112,7488
6622,4238,0,3632,2321,8024
7253,4548,0,2633,2136,7527
7464,4294,0,3170,2561,7573
6834,4255,0,3620,2267,7189
7050,4660,0,3450,2036,7264
6644,4360,0,3441,2125,7344
6690,4181,0,3257,2472,7173
6725,4625,0,3434,2218,7096
6739,4263,0,3086,2393,7587
