MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
124,23086,3352,5388,6278,12178
366,23776,3769,5722,6034,12008
472,24042,3758,5631,6043,12045
799,23338,3428,5512,6178,12256
397,23376,3505,5426,6291,12089
282,24063,3799,5631,6394,11930
419,23466,3987,5842,6346,11584
4,23621,3762,5408,6429,12090
511,23871,3826,5730,6152,11954
0,23673,3012,5300,6284,12205
677,23896,4024,5512,6560,11912
204,23642,3666,5600,6336,11945
290,23675,3765,5845,6399,12006
532,23675,3818,5974,6244,11712
890,23256,3499,4703,6724,11948
248,23355,4390,5308,6309,12072
610,24019,4030,5734,6285,11878
226,23601,2792,6231,6192,12356
442,23783,3945,5696,6332,11699
684,24041,3964,5734,6454,12119
411,23652,4021,5629,6341,12122
244,23753,3967,6016,6240,11771
323,23351,3672,5633,6640,11804
145,23601,3519,5482,6549,12052
187,23647,3738,5845,6333,12800
380,23590,3652,5424,5971,12214
227,23512,3491,5698,6408,12544
550,24176,3905,5697,6201,11791
612,23997,3985,5788,6286,11831
210,23610,3741,5652,6434,11703
492,23695,3808,4901,6182,12048
269,23664,3644,5384,6181,12309
520,23486,3988,5245,6252,11724
451,23554,3975,5983,6277,11962
485,23864,4025,5798,6518,12068
305,23870,3872,5964,6331,12594
234,23467,3873,5976,6242,11748
179,23561,3737,5493,6222,11785
52,23007,3599,5397,5993,12266
82,23460,3620,5430,5721,11807
626,23410,3862,5740,6112,11934
0,23795,3760,5674,6408,11833
491,23806,3964,5631,6593,11957
414,23864,3625,5480,6165,12136
272,23654,3752,5626,6059,11826
0,23677,3981,5584,6440,11726
477,23845,4017,5897,5703,12054
428,23404,3677,5492,6061,11908
248,23744,3607,6011,5520,12232
0,24115,3656,5580,6159,12232
306,23708,3666,5421,5995,12164
140,23381,3583,5676,6521,12008
367,23495,3850,5537,6441,12195
447,24148,3687,5783,6401,11775
182,23420,3896,5684,6286,11352
0,23371,3819,5720,5874,12028
545,23959,3957,5739,6262,11909
357,23789,3965,5738,5908,12088
381,23766,3977,5686,6053,12128
576,23809,3953,5767,6247,11665
377,23688,3885,5921,6373,13127
0,23495,3910,5609,6073,12395
433,23552,4538,5383,6371,12151
281,23727,4218,5574,5938,12219
208,23320,3948,5764,6373,12399
0,24013,3633,4565,6825,12457
20,23582,3628,5729,6147,12009
233,23651,3459,6684,6509,12096
960,23304,3588,5496,6488,11812
316,23474,3974,5894,6194,11103
1688,23834,3517,5412,6795,12126
148,23273,3513,5591,6481,11946
0,23262,3528,5465,6480,12026
374,23739,3864,5202,5771,12151
0,23657,3803,5750,6387,11976
198,23341,4234,6463,6752,12103
0,25373,4188,5957,6084,11917
34,23665,3977,5632,6498,11218
214,23293,3728,5453,6405,12716
0,24084,3679,5091,6528,12440
208,23416,3872,5892,6398,11990
356,23279,3763,6365,6220,12292
511,24900,3909,5652,6093,12000
499,23717,3722,5529,6100,12087
373,25193,3875,5889,6339,11769
0,23220,3889,5401,6084,12338
817,23554,3796,5380,6090,11924
199,23683,3891,5278,6232,12256
0,23879,3856,5804,6382,12004
0,23376,3840,5639,6597,12050
0,23145,3801,5529,6111,11700
511,23631,4123,5717,6322,11864
299,22294,3583,3572,6165,12376
402,24009,4045,5955,6336,12089
128,23197,3633,5522,6364,12000
224,23210,3670,5631,6444,12016
1320,23882,4001,5243,6348,12588
2434,23230,3398,5631,6655,12153
116,23478,3680,4834,6216,12388
912,23798,4055,5728,6408,11937
406,23731,3499,5688,6353,11928
131,23488,3707,5659,6402,12155
625,23715,3931,5641,6183,11950
472,23864,4168,5906,5992,11923
97,23102,3583,4684,6409,12221
222,23443,3808,5529,6081,12315
943,23829,3955,5229,6226,11890
127,23502,4056,5636,6496,11859
186,23369,3583,5463,6644,11980
321,23121,3269,5547,6600,12031
27,23232,3665,5418,6300,12122
167,23922,3583,5620,6103,12027
457,23685,4424,5897,6457,11439
203,23297,4265,5456,6385,11842
229,23408,3742,5756,6454,11841
488,23462,3699,5600,6514,11991
88,23280,3716,5172,6412,12230
146,23304,3609,5321,6289,12348
0,24183,3800,5563,5856,12243
0,23470,3698,5674,6490,12114
188,23590,4252,5440,6334,12237
359,23453,4509,5736,6568,11961
320,23364,4004,5916,6226,11877
281,23301,3558,6043,6347,12336
576,23927,4066,5757,6182,11905
429,23467,4607,5493,6208,12325
346,23607,3633,5360,6459,12171
285,23745,4011,5499,6871,11836
201,23326,3808,5840,6395,12809
0,23198,3670,5714,6288,12219
172,23583,3781,5631,6160,12305
373,23664,4239,5797,5718,11652
12,23388,3456,5577,5968,12398
456,23904,4309,5865,5978,11961
16,22711,5016,5555,6432,12169
85,23433,3562,5651,6206,11928
404,24216,3835,5750,6004,11971
281,23664,3841,5580,5866,12299
162,23632,3720,5737,5852,11968
501,23449,4220,5914,6068,11936
552,23713,3697,5854,6177,11907
16,23292,3654,5462,6405,12206
496,24063,3944,5685,6196,11012
490,23732,3800,5018,6418,12225
241,23700,3812,5928,6048,12377
485,23784,3625,5646,6045,12374
0,23569,3897,5171,6004,12209
149,23124,3792,5826,6334,11842
682,23490,3216,5365,6399,12231
12,22985,3462,5978,6224,12293
0,23972,3711,5631,6286,12429
55,23115,3326,5356,6086,12437
35,23039,3592,5285,6303,11101
0,23006,3621,5032,6216,12203
139,23310,6015,5563,6203,12616
0,23275,3917,5700,5908,11752
48,23184,3730,5458,6274,12136
528,23897,3944,5631,6457,11894
144,23165,4757,5380,6203,12324
257,23402,3967,5732,6752,12079
160,23188,4617,5321,6326,12198
533,22887,3776,5609,5992,12157
22,23281,3926,5730,6439,12104
64,23064,3538,5329,6282,12206
379,23478,3944,5631,6651,12311
0,23445,4216,6014,6298,12051
0,22801,3655,5379,6299,12177
426,22988,3366,5035,6240,12968
106,23151,3797,5526,6257,12302
426,23426,3906,5863,6062,11809
352,23184,3802,5715,6523,12660
458,23216,3929,5295,6392,11826
448,23161,3993,5806,6188,11774
290,23165,3945,5993,6384,12660
233,23108,3583,5579,6244,12134
511,23397,3816,5025,6301,12038
0,22960,3721,6183,5882,11931
384,23387,3771,5576,6208,12065
383,23604,3777,5668,6282,11921
283,23165,3745,5832,5952,11632
84,24072,3583,5965,6200,12472
49,23138,3276,5508,6064,11775
504,23126,3773,5430,6360,12208
283,23073,3784,5910,6447,11939
209,22781,3581,5969,6538,12081
244,22995,4002,5614,6634,12068
0,23039,3738,5720,6007,12553
431,23076,4066,5912,6192,11921
405,22978,4387,5408,7679,12213
601,23397,4194,5833,6248,11775
1144,23607,3576,5480,6317,12227
427,22490,2932,5228,6306,12378
54,22749,3527,5555,6042,12370
8,22814,3814,5684,6511,12293
491,23106,4678,5475,6281,12187
441,22705,3014,5419,6113,12313
421,23076,3742,5797,6525,11988
391,22976,4970,5130,6801,12077
212,24098,3504,5524,6618,12058
66,23427,4024,5676,6378,11941
173,23070,3912,5423,6396,12066
1048,23013,3433,5446,6407,12398
0,23015,4390,5432,6276,12232
253,23026,3721,5819,6270,12346
197,22959,3359,5543,6116,12412
590,22954,3904,5612,6036,12327
308,23144,3988,5960,6196,11856
0,23163,4101,5640,6048,12096
435,23248,3734,5466,6269,12096
42,22618,3569,5327,6271,12250
353,23340,4007,5833,5841,12525
276,23044,4044,5868,6345,11770
73,22952,3528,5584,6147,12298
370,22962,3817,5320,6622,11736
225,23039,3578,5454,6283,12444
0,22678,4298,4116,6304,11958
