MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,6251,4646,11511
0,0,0,5876,4482,12088
0,0,0,6208,4683,11517
0,0,0,6028,4660,11739
0,0,0,6248,4649,12154
0,0,0,5848,4597,12179
0,0,0,5864,4849,11830
0,0,0,6404,4420,11752
0,0,0,5669,4651,11964
0,0,0,5957,4922,11764
0,0,0,6026,5061,11800
0,0,0,5659,4686,11973
0,0,0,6250,4607,11680
0,0,0,5686,4860,11942
0,0,0,5751,4651,11936
0,0,0,6036,4620,11660
0,0,0,5839,4765,11804
0,0,0,5959,4371,11811
0,0,0,6095,4644,10480
0,0,0,5668,4914,11620
0,0,0,5831,4426,12013
0,0,0,5746,4926,11911
0,0,0,6530,4680,12075
0,0,0,6012,4604,11773
0,0,0,5759,4904,11861
0,0,0,6314,4643,11533
0,0,0,5981,4785,11742
0,0,0,5765,4937,11895
0,0,0,6584,4662,12134
0,0,0,5848,4522,12075
0,0,0,5795,5173,11704
0,0,0,6027,4595,11761
0,0,0,5932,4872,11875
0,0,0,6011,4598,11775
0,0,0,6092,4949,11798
0,0,0,6086,4607,11727
0,0,0,5941,4682,12111
0,0,0,5974,4459,11817
0,0,0,5777,4518,12210
0,0,0,5758,4753,11948
0,0,0,5520,4607,12073
0,0,0,5900,4279,11930
0,0,0,5879,4756,11714
0,0,0,5867,4720,11874
0,0,0,5754,4837,11895
0,0,0,6246,4747,11501
0,0,0,5930,4623,11524
0,0,0,6004,4434,11882
0,0,0,5524,4524,12046
0,0,0,5999,4577,12113
0,0,0,5882,4374,11877
0,0,0,5636,4761,11983
0,0,0,6164,3596,11722
0,0,0,6013,4725,11775
0,0,0,6049,6360,12192
0,0,0,5382,4892,11857
0,0,0,5743,4880,11840
0,0,0,5702,4525,11629
0,0,0,5760,4573,11519
0,0,0,5922,4367,11775
0,0,0,5854,4225,11910
0,0,0,5952,4434,11793
0,0,0,5933,4357,11775
0,0,0,5712,4700,11930
0,0,0,6039,4757,11767
0,0,0,5811,4555,12166
0,0,0,5629,4604,12028
0,0,0,5855,4441,11504
0,0,0,5929,4835,11845
0,0,0,5669,4288,11924
0,0,0,5920,4601,11775
0,0,0,5874,4476,11825
0,0,0,5908,4823,12060
0,0,0,6583,4607,11987
0,0,0,6145,4564,11652
0,0,0,6080,4607,11745
0,0,0,6185,4677,11627
0,0,0,6077,4688,11349
0,0,0,6262,4732,11689
0,0,0,5684,4715,11927
0,0,0,6008,4323,11799
0,0,0,5814,4607,11936
0,0,0,5814,4534,12046
0,0,0,5946,4334,11799
0,0,0,5882,4456,11900
0,0,0,5651,4602,12053
0,0,0,5660,4716,11979
0,0,0,5812,4560,12009
0,0,0,5716,4977,11860
0,0,0,5631,4722,12120
0,0,0,5900,4488,11897
0,0,0,5993,4607,11688
0,0,0,5848,4815,11778
0,0,0,5988,4287,11804
0,0,0,5712,4696,12023
0,0,0,5795,4848,11857
0,0,0,5272,5631,11849
0,0,0,5221,4611,12135
0,0,0,6180,4625,11643
0,0,0,5840,4511,11932
0,0,0,5832,4902,11852
0,0,0,5769,4940,11927
0,0,0,5794,4506,12100
0,0,0,5849,4368,11933
0,0,0,5962,4477,11844
0,0,0,6026,4854,11716
0,0,0,5936,4836,11786
0,0,0,6019,4552,11694
0,0,0,6150,4761,11825
0,0,0,5546,4607,12106
0,0,0,5702,4912,11946
0,0,0,5886,4824,11840
0,0,0,5970,4800,11741
0,0,0,6069,4630,11837
0,0,0,6416,4610,12080
0,0,0,5832,4540,11949
0,0,0,5737,4960,11897
0,0,0,5868,4524,11855
0,0,0,5824,4037,11868
0,0,0,5897,4362,11983
0,0,0,5652,4651,11940
0,0,0,6208,4822,11791
0,0,0,6088,4606,11675
0,0,0,6246,4598,12096
0,0,0,6100,4778,11553
0,0,0,5936,4372,11877
0,0,0,5733,4544,11937
0,0,0,4674,4779,12323
0,0,0,5722,4607,11881
0,0,0,6176,4731,11577
0,0,0,5344,4745,12029
0,0,0,6189,4684,11530
0,0,0,6832,4607,12125
0,0,0,6018,4328,11808
0,0,0,5766,4606,12091
0,0,0,5986,4575,10952
0,0,0,5795,3291,12084
0,0,0,5285,4647,11939
0,0,0,5817,4676,12609
0,0,0,4906,4496,11816
0,0,0,5982,4776,11730
0,0,0,5938,4680,11922
0,0,0,5870,4784,11968
0,0,0,5798,4591,11733
0,0,0,6096,4607,11635
0,0,0,6243,3565,11672
0,0,0,6001,4898,11690
0,0,0,5848,4567,12199
0,0,0,5576,4607,12038
0,0,0,5640,4724,12170
0,0,0,6087,4741,11618
0,0,0,6215,4628,11635
0,0,0,6187,4508,11565
0,0,0,6014,4788,12384
0,0,0,5800,4831,11863
0,0,0,5917,5598,11705
0,0,0,6155,4358,11602
0,0,0,6421,3648,12145
0,0,0,5990,4706,12236
0,0,0,5794,4882,11842
0,0,0,5631,4713,12018
0,0,0,6050,4522,11775
0,0,0,5984,4555,11901
0,0,0,6219,4860,11506
0,0,0,5880,4740,12021
0,0,0,6354,4575,11933
0,0,0,5835,3884,12108
0,0,0,5642,4696,11946
0,0,0,5932,4838,11781
0,0,0,5704,4834,11897
0,0,0,5738,4705,11896
0,0,0,5760,4500,10837
0,0,0,5994,4607,11774
0,0,0,5947,4363,11794
0,0,0,5800,4648,12152
0,0,0,5918,4214,11844
0,0,0,6082,4552,11679
0,0,0,4693,4568,12000
0,0,0,5953,4429,11952
0,0,0,6030,4598,11775
0,0,0,5921,4811,12336
0,0,0,6259,4680,12006
0,0,0,6292,4628,11529
0,0,0,5779,4607,12042
0,0,0,6007,4816,12313
0,0,0,5854,4493,11942
0,0,0,5890,4866,11772
0,0,0,5995,4558,11112
0,0,0,6229,4764,12132
0,0,0,5861,3872,11985
0,0,0,5720,4607,11747
0,0,0,6069,4536,11610
0,0,0,5720,4942,11775
0,0,0,6273,4734,11473
0,0,0,5861,4606,11897
0,0,0,5977,5620,11720
0,0,0,5846,4821,11775
0,0,0,5936,4126,11826
0,0,0,6327,4607,11942
0,0,0,6048,4520,11639
0,0,0,5512,4618,11913
0,0,0,6182,5090,11548
0,0,0,5638,4690,11942
0,0,0,5631,4612,11962
0,0,0,6956,4672,12153
0,0,0,5631,4693,12016
0,0,0,6052,4636,11755
0,0,0,5977,4435,11799
0,0,0,5702,4676,11898
0,0,0,5825,3972,11775
0,0,0,5980,4825,11670
0,0,0,5753,4810,11896
0,0,0,6156,4681,11527
0,0,0,6045,4612,11690
0,0,0,5932,4852,11587
0,0,0,5906,4626,12040
0,0,0,6169,4800,11698
0,0,0,5173,4804,12016
0,0,0,5491,4746,11713
0,0,0,5898,5312,11656
0,0,0,6027,4991,11776
0,0,0,5839,4427,12152
0,0,0,5631,4660,11704
0,0,0,6055,4606,11775
0,0,0,5631,4844,11690
0,0,0,5484,4633,12086
0,0,0,5688,4825,12560
0,0,0,5952,4427,11702
0,0,0,5723,4912,11869
0,0,0,5900,4032,11712
0,0,0,5593,4624,11927
0,0,0,5680,4597,11981
0,0,0,5836,4589,12096
0,0,0,5812,4461,11799
0,0,0,5613,4542,12100
0,0,0,6041,4896,11680
0,0,0,6045,3995,11737
0,0,0,6201,4607,11650
0,0,0,5896,4358,11867
0,0,0,5821,4919,11788
0,0,0,5814,4407,11694
0,0,0,6208,4682,11564
0,0,0,6196,4596,11700
0,0,0,5855,4584,12628
0,0,0,5813,4936,12035
0,0,0,6152,4620,11592
0,0,0,5832,4479,12020
0,0,0,5956,4388,11902
0,0,0,5705,4889,11909
0,0,0,5995,4753,11689
0,0,0,5937,4584,12007
0,0,0,6086,4568,11566
0,0,0,6058,4628,11427
0,0,0,5681,4997,11938
0,0,0,6059,4617,11682
0,0,0,5600,4599,11987
0,0,0,5850,4795,11737
0,0,0,6099,4607,11609
0,0,0,5825,4841,11791
0,0,0,5575,4777,12001
0,0,0,6194,4845,11734
0,0,0,4612,4403,11076
0,0,0,6192,4685,11913
0,0,0,5850,4412,11797
0,0,0,5946,4607,11334
0,0,0,6707,4876,11805
0,0,0,5589,4714,12427
0,0,0,5677,4875,11791
0,0,0,5823,4435,11645
0,0,0,5922,4262,11842
0,0,0,5610,4619,11896
0,0,0,6012,4607,11593
0,0,0,5740,3530,12169
0,0,0,5968,4901,11957
0,0,0,5912,4485,11974
0,0,0,5953,4444,11843
0,0,0,6269,4738,11430
0,0,0,6436,4632,12105
0,0,0,5721,4984,11843
0,0,0,5865,4821,11699
0,0,0,5631,4768,11871
0,0,0,5914,4357,11775
0,0,0,6100,4607,11681
0,0,0,6063,4697,11616
0,0,0,5766,4884,11775
0,0,0,5937,4593,12068
0,0,0,6192,4760,12853
0,0,0,6576,4689,11445
0,0,0,5960,4653,12117
0,0,0,5585,4641,11817
0,0,0,6379,4920,11564
0,0,0,5652,4687,11920
0,0,0,5931,4793,11775
0,0,0,6168,4810,11555
0,0,0,6008,4572,11434
0,0,0,5631,4594,11843
0,0,0,5842,4447,11864
0,0,0,5582,4721,11524
0,0,0,5545,4607,12018
0,0,0,5979,4532,11759
0,0,0,5897,4735,11231
0,0,0,6302,4740,11527
0,0,0,6180,4636,11512
0,0,0,5808,4859,11776
0,0,0,5095,4710,11553
0,0,0,5754,4450,11887
0,0,0,5764,4504,12077
0,0,0,5784,4917,11870
0,0,0,5769,4923,11792
0,0,0,5650,4821,11918
0,0,0,5722,4968,11843
0,0,0,5636,4719,11837
0,0,0,6705,4619,11908
0,0,0,5849,4878,11811
0,0,0,5913,4485,11754
0,0,0,5631,4800,11973
0,0,0,5883,4858,11752
0,0,0,6021,4576,11559
0,0,0,7314,4665,11949
0,0,0,6684,4644,11576
0,0,0,6090,2100,11601
0,0,0,6280,4654,11545
0,0,0,6043,4658,11509
0,0,0,5935,4458,11722
0,0,0,6542,4557,12061
0,0,0,5904,4234,11740
0,0,0,6389,3077,12048
0,0,0,7679,4884,11555
0,0,0,5826,4405,11802
0,0,0,5690,4346,11829
0,0,0,6512,4420,11904
0,0,0,5969,4859,12465
0,0,0,6079,4817,11576
0,0,0,5866,4461,11855
0,0,0,5536,4629,11978
0,0,0,6092,4648,11966
0,0,0,5808,4518,11892
0,0,0,5841,4569,11991
0,0,0,5963,4381,11402
0,0,0,5828,4748,11839
0,0,0,5477,4607,12029
0,0,0,6203,4607,11579
0,0,0,6177,4719,11545
0,0,0,5563,4768,12185
0,0,0,5894,4492,11869
