MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3920,2644,9190
0,0,0,3919,3039,9162
0,0,0,4459,2444,9640
0,0,0,3822,2805,9602
0,0,0,4128,2744,9218
0,0,0,3661,3177,9395
0,0,0,4142,2808,9124
0,0,0,3851,3026,9646
0,0,0,4053,2741,9230
0,0,0,4055,2743,9183
0,0,0,4053,2702,9119
0,0,0,3990,2842,8891
0,0,0,3856,2968,9100
0,0,0,4340,2794,9463
0,0,0,3695,1623,9605
0,0,0,3685,2869,9566
0,0,0,3746,2766,9586
0,0,0,4183,2788,8995
0,0,0,3732,2642,9664
0,0,0,3991,2984,9256
0,0,0,3732,3136,9282
0,0,0,4865,2904,9428
0,0,0,4132,2808,8892
0,0,0,3719,3113,9449
0,0,0,4247,2876,8986
0,0,0,3760,2613,9241
0,0,0,4135,2761,9227
0,0,0,3984,3773,9283
0,0,0,3988,3465,9270
0,0,0,4430,2920,9496
0,0,0,3834,3207,9234
0,0,0,3802,3158,9260
0,0,0,4048,2624,8120
0,0,0,4037,2888,9551
0,0,0,4240,3191,8942
0,0,0,3794,2848,9631
0,0,0,3954,2919,9800
0,0,0,3600,3327,9519
0,0,0,4260,2872,8954
0,0,0,3935,2575,9382
0,0,0,3920,3031,9116
0,0,0,3729,2688,9680
0,0,0,4222,2853,8997
0,0,0,4143,2946,9042
0,0,0,3914,3007,8975
0,0,0,3583,2900,9456
0,0,0,4724,2934,9517
0,0,0,4153,2700,9131
0,0,0,3791,3040,9316
0,0,0,3871,1780,9285
0,0,0,3930,3082,8990
0,0,0,3695,3076,9341
0,0,0,4186,2888,8958
0,0,0,3866,2952,9610
0,0,0,3908,2847,9015
0,0,0,3933,3364,9361
0,0,0,3991,2880,8899
0,0,0,3815,2800,9652
0,0,0,4180,2793,8420
0,0,0,3888,2916,9320
0,0,0,3777,3024,9530
0,0,0,4097,2924,9685
0,0,0,4210,3080,8967
0,0,0,3791,2563,9540
0,0,0,3778,3186,9384
0,0,0,3702,2722,9591
0,0,0,3741,2625,9515
0,0,0,4125,2901,9055
0,0,0,3875,2974,9664
0,0,0,3912,2701,9495
0,0,0,3893,2924,9685
0,0,0,3940,2578,9390
0,0,0,3714,3116,9452
0,0,0,3736,3196,9298
0,0,0,3991,2972,9315
0,0,0,3863,2598,9601
0,0,0,4010,2745,9124
0,0,0,4107,2851,9232
0,0,0,3849,3001,8375
0,0,0,3896,2662,9320
0,0,0,3862,2982,9346
0,0,0,3403,3079,9341
0,0,0,4098,2781,9123
0,0,0,4124,2753,9168
0,0,0,4318,2876,8938
0,0,0,4036,2716,9180
0,0,0,3729,3227,9311
0,0,0,3891,2608,9344
0,0,0,4177,2920,9103
0,0,0,4006,2815,8938
0,0,0,3716,3169,9352
0,0,0,3754,2811,9605
0,0,0,3657,3194,9356
0,0,0,3849,2892,8952
0,0,0,3560,2756,9076
0,0,0,3947,2505,9404
0,0,0,4038,2729,9149
0,0,0,3583,2894,9153
0,0,0,3956,3084,9373
0,0,0,3693,3174,9374
0,0,0,3670,3036,9372
0,0,0,3664,2795,9292
0,0,0,3867,2962,9250
0,0,0,3616,2838,9444
0,0,0,3834,3028,9242
0,0,0,3681,2933,9557
0,0,0,3772,2869,9605
0,0,0,3219,2781,9109
0,0,0,3723,3031,9234
0,0,0,3642,3101,9324
0,0,0,3750,2548,9309
0,0,0,4033,2888,9297
0,0,0,3901,2736,9503
0,0,0,3904,2923,9285
0,0,0,3768,3082,8869
0,0,0,3640,3137,9331
0,0,0,3583,2910,9471
0,0,0,4250,2824,9105
0,0,0,3911,2573,9698
0,0,0,3931,2916,9024
0,0,0,3714,3042,9244
0,0,0,3807,2652,9481
0,0,0,4048,2753,9231
0,0,0,3492,2830,9552
0,0,0,3727,2884,9659
0,0,0,3790,2601,9396
0,0,0,3728,2792,9705
0,0,0,3767,3236,9362
0,0,0,4032,2752,9140
0,0,0,3735,2611,9695
0,0,0,4220,3009,9721
