MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,5944,4607,11211
0,0,0,4222,4463,11428
0,0,0,4258,4718,11236
0,0,0,4375,4748,11033
0,0,0,4448,4272,11785
0,0,0,4707,5072,10935
0,0,0,4443,4562,10878
0,0,0,4583,4492,11149
0,0,0,4416,4223,11402
0,0,0,4580,4513,11051
0,0,0,4649,4457,10897
0,0,0,4444,4607,10760
0,0,0,4310,4546,11394
0,0,0,4224,4701,11045
0,0,0,4185,4677,10828
0,316,0,4491,4275,11144
0,0,0,4328,4855,11144
0,0,0,4570,4388,11030
0,0,0,4250,4783,11144
0,0,0,4607,4436,10997
0,0,0,4242,4752,11073
0,0,0,4440,4304,11240
0,0,0,4278,4724,11195
0,0,0,4409,4303,11210
0,0,0,4482,4784,10825
0,0,0,4656,4561,11421
0,0,0,4612,4566,10915
0,0,0,4107,4699,11112
0,0,0,4456,4324,11410
0,0,0,4581,4862,10800
0,0,0,4213,4504,11424
0,0,0,4549,4778,11060
0,0,0,4607,2187,10864
0,0,0,4452,4408,11192
0,0,0,4234,4873,11599
0,0,0,4440,4804,10957
0,0,0,4352,3952,11319
0,0,0,4242,4916,11144
0,0,0,4241,4746,10313
0,0,0,4445,4683,10852
0,0,0,4326,4729,10998
0,0,0,4427,4290,11205
0,0,0,5521,4607,11409
0,0,0,4104,4581,11280
0,0,0,4435,4701,10867
0,0,0,4357,4395,10952
0,0,0,4204,4569,11148
0,0,0,4515,4450,11062
0,0,0,3746,4371,10802
0,0,0,4115,4774,11164
0,0,0,4582,4580,10988
0,0,0,4288,2579,11021
0,0,0,4462,5083,11204
0,0,0,4013,4607,11267
0,0,0,4562,4704,10990
0,0,0,4304,4434,11474
0,0,0,4547,4661,11572
0,0,0,4312,4322,11296
0,0,0,4336,4741,11000
0,0,0,4427,3750,11145
0,0,0,4604,4588,10909
0,0,0,4152,4672,11203
0,0,0,4607,4462,10954
0,0,0,4390,4864,11018
0,0,0,4240,4517,11507
0,0,0,4546,4499,11006
0,0,0,4278,4791,10984
0,0,0,4508,4363,11193
0,0,0,4375,4865,11055
0,0,0,2996,4268,11085
0,0,0,4516,4648,10976
0,0,0,4117,4607,11183
0,0,0,4504,4497,11106
0,0,0,4280,4804,10917
0,0,0,4347,4372,11359
0,0,0,4441,4735,11016
0,0,0,3973,4637,11322
0,0,0,4562,4400,11062
0,0,0,4384,4580,11289
