MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,13898,1609,3640,4126,8693
0,14826,1684,2862,3958,9244
0,13823,1312,2583,4366,8414
0,14769,1506,3305,3965,8716
0,14231,1784,2987,4045,8130
0,13904,1368,2728,4368,8589
0,14016,1663,2794,4032,8589
0,14063,1864,3172,4245,8274
0,14215,1200,2990,4025,8172
0,13908,1386,2436,4573,8410
0,14093,1535,2720,3923,8633
0,13966,1651,2768,3728,8456
0,14528,1847,3074,3362,8258
0,14160,1318,2686,4412,8465
0,13879,1208,2717,3918,8742
0,14347,1921,2939,3508,8079
0,14024,1496,2694,4607,7500
0,13858,1530,3441,4025,8702
0,14136,1708,2912,4421,7693
0,14144,1474,2852,4247,8074
0,13823,1712,2597,4118,8628
0,14207,1805,2099,3878,8110
0,13986,1513,2796,4297,8516
0,13876,1535,2763,3992,8648
0,14124,1799,3016,3687,8505
0,14220,1668,2756,4381,8366
0,15177,1366,2378,4116,8089
0,14376,1205,3142,4134,8276
0,14736,1554,2733,3800,8799
0,14370,2287,3091,4054,8124
244,13847,1538,2941,4163,8584
0,14161,1535,2976,3785,8525
0,14055,1520,2697,4428,8490
0,14096,1570,2976,3226,8247
0,14377,1057,3161,4238,8297
0,13852,1522,2516,4102,8680
0,14009,1639,2706,4517,8074
0,13986,1505,2841,4278,7941
0,14252,1835,2738,3801,8482
0,14505,1716,2813,4304,8073
0,13416,1353,3022,4246,8649
0,13318,1814,3031,3889,8417
0,14068,1458,2792,3910,8573
0,13979,1604,2723,3912,8099
0,14222,1625,3172,4139,8740
0,14214,1619,3001,4023,8684
0,14231,958,2598,4130,8260
0,13566,2559,2420,4257,8631
0,13780,955,2952,4049,7679
0,14553,1834,2786,4257,8958
0,13901,1376,2748,4252,8298
11,14358,1321,2741,3928,8663
0,14159,1641,2833,5281,8008
0,14355,1686,3311,3977,8631
0,13849,3167,2609,4399,8335
0,13823,2335,2580,4044,8259
0,13823,1529,2633,3882,8705
0,14280,1813,3096,3579,8386
0,16679,1440,2682,4311,8424
0,13706,1714,2565,3860,7708
0,14129,1727,2770,2777,8620
0,13667,1751,2702,2916,8315
0,14744,1416,2788,4143,8703
0,13858,1519,2613,3963,8703
0,14137,1770,3082,3925,7679
0,13405,1236,2629,4014,8618
0,14124,2065,2780,3758,8357
0,14037,1539,2761,4350,8276
0,14013,361,2876,3908,8718
0,14370,2337,2988,4107,8843
0,14059,1486,2261,4190,8259
0,13924,1604,2559,4209,9323
0,14172,1774,3004,4206,8309
0,13904,1041,2565,4361,8437
0,14051,1845,3297,3583,8399
0,14074,1346,2658,4394,7506
0,13691,1493,2697,3897,8393
0,14167,1888,2867,4033,8301
0,13823,1422,2585,3697,8467
0,14374,1690,2925,3800,7862
0,14470,1738,2949,4162,8228
0,13899,1535,2640,4010,8534
0,14034,1535,2855,4281,9217
0,13823,1535,2594,3970,8548
0,14214,1760,2944,4015,8250
0,13987,1455,2718,4483,8394
0,14152,1781,3005,3802,8489
0,14250,1759,2829,3239,9141
0,13918,1446,2704,4021,8733
0,14244,1029,2982,3966,8392
0,14100,1535,2677,4380,8336
0,13916,1497,2704,4504,8795
0,14162,1620,3341,4029,8599
0,13535,1260,2572,4154,8480
0,13823,1535,2590,4105,8707
0,14197,1613,2781,4459,8428
0,14079,1546,2810,4333,7335
0,14761,1681,2820,3870,8787
0,14202,1648,2954,4010,7629
0,13973,532,2832,4242,8345
0,14018,1626,2688,3232,8528
0,14246,1656,3736,4172,8737
0,13625,1465,2692,3877,8520
0,14079,1827,2910,3889,8585
0,14144,1660,3088,4412,8354
0,14457,630,3279,4242,9518
0,14344,1384,2628,4186,8728
0,14120,1665,2847,3906,8718
0,14374,1904,3008,3994,8224
0,13819,1612,2965,4247,8419
0,13669,1632,2512,4124,8619
0,14111,1777,3088,4475,8080
0,14677,1700,2831,4398,8104
0,13844,1941,2643,4206,8513
0,13926,1698,2807,3520,9033
0,14178,1905,2844,4174,8083
0,14048,1535,3197,5631,8400
0,13976,1480,2688,3518,8720
0,13644,1836,3136,4191,8405
0,14652,2148,2909,4251,9064
0,13742,1450,2559,4041,7751
0,13804,1270,2557,4362,8472
0,14034,1216,2542,4184,8668
0,14700,1434,0,4129,8587
0,14126,1754,2857,3861,8505
0,14180,1885,2559,4259,8250
0,14357,1710,3076,4174,8126
0,13948,1375,3385,4743,8420
0,14027,1652,2919,3973,8699
0,14065,1782,2994,4044,8314
0,13739,1726,3021,5763,8141
0,13823,1440,2666,3859,8296
0,13455,1341,2697,4014,8540
0,13767,1218,2438,4343,8530
0,14528,1514,3392,4122,8717
0,14064,1784,2850,4045,7700
0,14137,1867,3099,3848,8269
0,14099,1535,3110,4183,8156
0,13908,1384,2629,4242,8543
0,13761,1477,2718,3830,8674
0,14051,1801,2933,4628,8443
0,14616,1712,3023,3985,8167
0,13776,1251,2633,4274,8676
0,14075,1653,2905,3709,8436
0,13924,1530,2799,4255,8386
0,13632,2394,2864,3977,8548
0,13962,1663,2566,3699,8536
0,14031,1752,2579,4468,8132
0,13937,1514,3364,4225,8398
0,13659,1136,2497,4117,8549
0,13876,1657,3195,3632,8612
0,14074,1535,2588,4187,8124
0,13783,1388,2506,4017,7918
0,13926,1631,2744,3816,8348
0,14047,706,3081,4323,8031
0,13174,1576,2614,4018,8629
785,14004,1442,2577,3967,8601
0,13882,1503,2558,4761,8284
0,13686,1367,2683,3906,8357
0,13823,1544,2748,4192,8642
0,13936,1776,2972,4202,8171
0,13924,1466,2310,4466,8512
0,13783,1315,2708,3859,8737
0,14344,1564,2834,4214,8535
