MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4133,5358,11688
0,0,0,4555,5100,11274
0,0,0,4406,5744,11473
0,0,0,4029,5630,11611
0,0,0,4299,4990,11757
0,0,0,4368,5176,11475
0,0,0,4588,5593,11015
0,0,0,4440,5616,11629
0,0,0,4163,5727,11536
0,0,0,4376,5442,10944
0,0,0,4334,6037,11375
0,0,0,4475,5435,11200
0,0,0,4534,5591,11352
0,0,0,4355,5552,11546
0,0,0,4275,5371,11692
0,0,0,4513,5485,11202
0,0,0,4562,5492,11134
0,0,0,4367,5696,11448
0,0,0,4076,5556,11625
0,0,0,4300,5363,11623
0,0,0,5056,5545,11212
0,0,0,4401,5689,11328
0,0,0,3781,5696,11600
0,0,0,4099,5514,11790
0,0,0,3258,5312,11497
0,0,0,4498,5597,11826
0,0,0,4221,5794,11618
0,0,0,4787,5451,11594
0,0,0,4227,5264,11427
0,0,0,4450,5525,11159
0,0,0,4361,5751,11366
0,0,0,4185,5700,11523
0,0,0,4218,5755,11520
0,0,0,4441,6042,11373
0,0,0,4629,5680,11305
0,0,0,4252,5882,11586
0,0,0,4201,5712,11642
0,0,0,4560,5309,11524
0,0,0,4549,5536,11644
0,0,0,3956,5540,11560
0,0,0,4352,5885,11365
0,0,0,4396,5744,11344
0,0,0,4103,5649,11676
0,0,0,4197,5359,11572
0,0,0,4289,5568,11517
0,0,0,4191,5838,11611
0,0,0,4706,5467,11669
0,0,0,4337,5203,11448
0,0,0,4491,5418,11326
0,0,0,4249,5709,11401
0,0,0,4753,5524,11578
0,0,0,4423,5841,11321
0,0,0,4492,5842,11386
0,0,0,3977,4812,11751
0,0,0,4312,6294,11514
0,0,0,4564,5448,11380
0,0,0,4144,5173,11524
0,0,0,4216,5327,11521
0,0,0,4462,5936,11311
0,0,0,4720,6268,11844
0,0,0,4190,5887,11491
0,0,0,4052,5599,11923
0,0,0,4341,5288,11535
0,0,0,4512,5498,11184
0,0,0,4328,5732,11417
0,0,0,4317,5828,11419
0,0,0,5010,5482,11842
0,0,0,4380,5300,11414
0,0,0,4472,5736,11457
0,0,0,4069,5570,11532
0,0,0,4285,5414,11499
0,0,0,4605,5658,11991
0,0,0,4256,5697,11474
0,0,0,5030,5521,11668
0,0,0,3714,5997,11383
0,0,0,4306,5648,11329
0,0,0,4272,5825,11552
0,0,0,4079,5696,11637
0,0,0,4300,5205,11533
0,0,0,4469,5559,11248
0,0,0,4212,5731,11488
0,0,0,4082,5500,11517
0,0,0,4986,5456,11705
0,0,0,4358,5253,11028
0,0,0,4562,5520,11130
0,0,0,4183,5808,11371
0,0,0,4260,5480,11658
0,0,0,4510,5610,11343
0,0,0,4383,5732,11333
0,0,0,4810,5508,11372
0,0,0,4490,5566,11261
0,0,0,4234,6052,11555
0,0,0,4103,5488,11646
0,0,0,4208,5360,11730
0,0,0,4274,5272,11524
0,0,0,4442,5504,11086
0,0,0,4326,5668,10957
0,0,0,4026,5560,10886
0,0,0,4208,5336,10538
0,0,0,4425,5424,11244
0,0,0,4367,5636,11317
0,0,0,4253,5755,11440
0,0,0,4057,5602,11664
0,0,0,4361,5347,11412
0,0,0,4605,5615,11164
0,0,0,4109,5687,11615
0,0,0,4188,5100,11606
0,0,0,4426,5426,10110
0,0,0,4225,5850,11456
0,0,0,4728,5501,11638
0,0,0,4493,5408,11282
0,0,0,4397,5755,11344
0,0,0,4790,5537,11749
0,0,0,4497,5520,11263
0,0,0,4461,5619,11517
0,0,0,4080,5778,11633
0,0,0,4204,5388,11851
0,0,0,4449,5429,11320
0,0,0,4541,5336,11180
0,0,0,4311,5736,11418
0,0,0,5124,5437,11629
0,0,0,4272,5284,11426
0,0,0,4293,5214,11435
0,0,0,4518,5475,11161
0,0,0,4191,5776,11343
0,0,0,4345,5297,11546
0,0,0,4391,5444,11250
0,0,0,4550,5603,11724
0,0,0,4333,5679,11352
0,0,0,4207,5786,11543
0,0,0,4031,5465,11783
0,0,0,4275,5428,11772
0,0,0,4351,4160,11511
0,0,0,3642,5274,11476
0,0,0,4429,5513,11338
0,0,0,4554,5647,11705
0,0,0,4372,5754,11489
0,0,0,4050,5651,11647
0,0,0,4240,5442,11554
0,0,0,4391,5334,11452
0,0,0,4471,5477,11319
0,0,0,4401,5703,11593
0,0,0,4157,5852,11399
0,0,0,4809,5482,11704
0,0,0,4368,5459,11288
0,0,0,4344,5703,11331
0,0,0,4095,5568,11598
0,0,0,4512,6090,11252
0,0,0,4374,5754,11407
0,0,0,4116,5642,11657
0,0,0,4302,4207,11539
0,0,0,4518,5563,11250
0,0,0,4436,5725,11431
0,0,0,4078,5627,11712
0,0,0,4405,5589,11299
0,0,0,4380,5828,11376
0,0,0,4092,5660,12090
0,0,0,4069,5332,11548
0,0,0,4470,5596,11204
0,0,0,4260,5808,11190
0,0,0,4000,5544,11648
0,0,0,4352,5305,11500
0,0,0,4799,5445,11236
0,0,0,4618,6029,11189
0,0,0,4400,4893,11319
0,0,0,4126,5727,11621
0,0,0,4331,5314,11522
0,0,0,4619,5498,11311
0,0,0,4605,5671,12126
0,0,0,4098,5864,11602
0,0,0,4241,5486,11788
0,0,0,4411,4404,11353
0,0,0,4138,4684,11447
0,0,0,4097,4532,11661
0,0,0,4257,5305,11568
0,0,0,4343,5408,11484
0,0,0,4605,5649,11173
0,0,0,4099,5596,11559
0,0,0,4271,5320,11517
0,0,0,4306,6087,10913
0,0,0,4427,5520,11424
0,0,0,4544,5506,11238
0,0,0,4340,5016,11395
0,0,0,4055,5560,11715
0,0,0,4162,5760,11793
0,0,0,4359,6025,10714
0,0,0,4503,5612,11133
0,0,0,4196,5782,11410
0,0,0,4982,5421,11173
0,0,0,4346,5887,11357
0,0,0,4405,6072,10571
0,0,0,4480,5540,11205
0,0,0,4500,5639,11140
0,0,0,4362,5628,11501
0,0,0,4333,5719,11452
0,0,0,4055,5562,11560
0,0,0,4355,5300,11472
0,0,0,4388,5408,11169
0,0,0,4272,5734,11364
0,0,0,3620,5570,11618
0,0,0,4157,5293,11467
0,0,0,4649,5460,11238
0,0,0,4360,5668,11301
0,0,0,4168,5613,11527
0,0,0,4384,5264,11450
0,0,0,4600,5560,11166
0,0,0,4236,5917,11466
0,0,0,4263,5484,11862
0,0,0,4550,5521,11300
0,0,0,4676,5683,12314
0,0,0,4282,5817,11562
0,0,0,4103,5574,11616
0,0,0,4245,5333,11487
0,0,0,4384,5477,11390
0,0,0,4451,5480,11316
0,0,0,4689,5822,12271
0,0,0,4374,5689,11328
0,0,0,4193,5784,11519
0,0,0,4934,5460,11622
0,0,0,3997,5624,11626
0,0,0,4341,5227,11432
0,0,0,4445,5434,11296
0,0,0,4580,5453,11143
0,0,0,4338,5787,11462
0,0,0,4035,5553,10364
0,0,0,4261,5370,11697
0,0,0,4289,6552,11388
0,0,0,4422,5403,11470
0,0,0,4604,5592,11117
0,0,0,4183,5808,11496
0,0,0,4270,5375,11637
0,0,0,4518,5560,11180
0,0,0,4460,5777,11280
0,0,0,4220,5726,11608
0,0,0,4133,5615,11568
0,0,0,4281,5408,11518
0,0,0,4566,5864,11721
0,0,0,4467,5696,11214
0,0,0,4231,5900,10962
0,0,0,4403,5699,11657
0,0,0,4093,5641,11676
0,0,0,4336,5364,11664
0,0,0,4344,5368,11480
0,0,0,4539,5516,11270
0,0,0,4594,5676,11116
0,0,0,4425,5832,11306
0,0,0,4367,5707,11422
0,0,0,4519,5659,11283
0,0,0,4264,5768,11434
0,0,0,4052,5575,11660
0,0,0,4873,5479,11633
0,0,0,4802,5261,11335
0,0,0,4441,5448,11231
0,0,0,4215,4508,11416
0,0,0,4288,5824,11539
0,0,0,4776,5428,11684
0,0,0,4425,6272,11392
0,0,0,4625,5764,11912
0,0,0,4340,5865,11443
0,0,0,3909,5534,11646
0,0,0,4293,5514,11956
0,0,0,4531,5592,11240
0,0,0,4106,5576,11664
0,0,0,4289,5396,11741
0,0,0,4512,5469,11200
0,0,0,4292,5752,11381
0,0,0,5157,5580,11634
0,0,0,4347,5404,11486
0,0,0,4500,5529,11382
0,0,0,3504,5744,11430
0,0,0,4106,5704,11346
0,0,0,4222,5114,11615
0,0,0,4445,5578,11329
0,0,0,4132,6033,11504
0,0,0,4210,5354,11762
0,0,0,4428,5537,11140
0,0,0,4230,5860,11560
0,0,0,4353,5440,11447
0,0,0,4624,5600,11400
0,0,0,4138,5913,11651
0,0,0,4898,5541,11733
0,0,0,4307,5409,11502
0,0,0,4532,5018,11388
0,0,0,4545,5572,11310
0,0,0,4141,5812,11560
0,0,0,4266,5347,11447
0,0,0,4426,5463,11206
0,0,0,4386,5821,11435
0,0,0,4110,5486,12058
0,0,0,4106,5384,11628
0,0,0,7888,4741,11486
0,0,0,4004,5538,11738
0,0,0,4266,5201,11387
0,0,0,4672,5646,11382
0,0,0,4178,5666,11492
0,0,0,4343,5633,11329
0,0,0,4313,5710,11388
0,0,0,4444,5996,10882
0,0,0,4618,5608,11105
0,0,0,4255,6066,12572
0,0,0,4292,5502,11684
0,0,0,4397,5504,11624
0,0,0,3842,5712,11420
0,0,0,3999,5846,11560
0,0,0,3880,5549,11770
0,0,0,4398,6461,11487
0,0,0,4628,5689,11157
0,0,0,4072,5624,11668
0,0,0,4200,5397,11490
0,0,0,4373,5455,10320
0,0,0,4502,5471,11264
0,0,0,4278,5760,11465
0,0,0,4002,5502,11613
0,0,0,4996,5462,10974
0,0,0,4244,5384,11584
0,0,0,4354,5235,11516
0,0,0,4552,5459,11201
0,0,0,4285,5743,11061
0,0,0,4060,5579,11682
0,0,0,4196,5312,11134
0,0,0,4424,5485,11379
0,0,0,4701,5648,11437
0,0,0,4173,5866,11632
0,0,0,4033,5537,11675
0,0,0,4310,5276,10355
0,0,0,4350,6470,11421
0,0,0,4569,5635,10528
0,0,0,4043,5708,11507
0,0,0,5014,5408,11657
0,0,0,4438,6250,11351
0,0,0,4428,5747,11418
0,0,0,4094,5568,11603
0,0,0,4372,5362,11495
0,0,0,4642,5562,11273
0,0,0,4299,5808,11445
0,0,0,4143,5900,11529
0,0,0,2996,5834,11620
0,0,0,4218,4455,11780
0,0,0,4386,4948,11572
0,0,0,4463,5537,11330
0,0,0,3997,5617,11221
0,0,0,3896,5777,11381
0,0,0,4137,5647,11588
0,0,0,4214,5447,11698
0,0,0,4397,5355,11585
0,0,0,4482,5576,11387
0,0,0,4519,5753,11328
0,0,0,4484,5552,11325
0,0,0,4633,5576,11161
0,0,0,4274,5686,11361
0,0,0,4442,5744,11377
0,0,0,4201,5596,11588
0,0,0,4279,5378,11119
0,0,0,4378,5672,11328
0,0,0,4386,5470,11309
0,0,0,4598,5482,11308
0,0,0,4558,5610,11188
0,0,0,4346,5726,11433
0,0,0,4115,5827,11605
0,0,0,4030,5369,11791
0,0,0,3648,5505,11678
0,0,0,4292,5305,11436
0,0,0,4509,5594,11236
0,0,0,4523,5422,11201
0,0,0,4607,5712,12025
0,0,0,3540,5798,11481
0,0,0,4329,5787,11407
0,0,0,4258,5893,11521
0,0,0,4167,5704,11554
0,0,0,4080,5600,11705
0,0,0,4327,5412,11449
0,0,0,5553,6213,11317
0,0,0,4603,5700,11409
0,0,0,4190,5914,11436
0,0,0,4164,5690,11543
0,0,0,4304,5429,11227
0,0,0,4363,5403,11525
0,0,0,4567,6220,11288
0,0,0,4581,5505,11190
0,0,0,4582,5588,11181
0,0,0,4281,5744,11436
0,0,0,3924,5745,11659
0,0,0,4405,5456,11628
0,0,0,4488,5691,11252
0,0,0,4602,5548,11188
0,0,0,4483,5418,11260
0,0,0,4548,5612,11084
0,0,0,4276,5638,11414
0,0,0,4299,5786,11418
0,0,0,4150,5776,11597
0,0,0,4274,5326,11462
0,0,0,4470,5454,11237
0,0,0,4461,5424,11425
0,0,0,4586,5588,12098
0,0,0,4203,5835,11522
0,0,0,4280,5367,10899
0,0,0,4478,5392,11217
0,0,0,4565,5716,12359
0,0,0,4277,5736,11559
0,0,0,4162,5812,11588
0,0,0,5081,5443,11738
0,0,0,4314,5281,11520
0,0,0,4392,5421,11405
0,0,0,4471,4844,11241
0,0,0,4553,5644,11313
0,0,0,4373,5792,11403
0,0,0,4124,5677,11607
0,0,0,4343,5468,11747
0,0,0,4417,5673,11382
0,0,0,4552,5466,12209
0,0,0,4223,5723,11490
0,0,0,4234,5422,11667
0,0,0,4429,5393,11277
0,0,0,4705,5612,12154
0,0,0,4228,5812,11480
0,0,0,4195,5421,11568
0,0,0,4465,6338,11322
0,0,0,4489,5723,12006
0,0,0,4185,5698,11595
0,0,0,4271,5358,11819
0,0,0,4325,5387,11522
0,0,0,4292,5778,11401
0,0,0,4508,5492,11245
0,0,0,4569,5598,11208
0,0,0,4355,5719,11401
0,0,0,4144,5919,11576
0,0,0,4312,5196,11781
0,0,0,4320,5400,11592
0,0,0,4464,5570,11218
0,0,0,4540,5639,11181
0,0,0,4009,5812,11492
0,0,0,4295,5907,11484
0,0,0,4123,5598,11647
0,0,0,4118,5668,11585
0,0,0,4296,5493,11697
0,0,0,4388,5341,11453
0,0,0,4563,5505,11274
0,0,0,4686,5741,11211
0,0,0,4519,5796,11332
0,0,0,4455,5648,11281
0,0,0,4422,5767,11345
0,0,0,4666,5810,11621
0,0,0,5133,5444,11637
0,0,0,4384,5325,11459
0,0,0,4399,5318,11426
0,0,0,4428,5459,11160
0,0,0,4685,5653,12023
0,0,0,4455,6261,11396
0,0,0,4300,5803,11448
0,0,0,4026,5585,11567
0,0,0,4295,5242,11472
0,0,0,4416,6293,10278
0,0,0,4582,5580,10287
0,0,0,4650,5647,11388
0,0,0,4261,5107,11452
0,0,0,3368,5626,11674
0,0,0,4288,5309,11619
0,0,0,4396,5200,11453
0,0,0,4549,5591,11313
0,0,0,4297,4759,11379
0,0,0,4077,5676,11641
0,0,0,4210,4352,10837
0,0,0,4364,5544,11372
0,0,0,4518,5613,11352
0,0,0,4405,5760,11425
0,0,0,4260,5910,11469
0,0,0,4077,5720,11705
0,0,0,4251,5418,11252
0,0,0,4376,5826,11448
0,0,0,4477,5561,11280
0,0,0,4687,5678,12178
0,0,0,4384,5868,11490
0,0,0,4019,5683,11652
0,0,0,4057,5564,11830
0,0,0,4305,5479,11627
0,0,0,4428,5273,11368
0,0,0,4603,5571,11187
0,0,0,4040,5801,11397
0,0,0,4011,5706,11678
0,0,0,4344,5337,11466
0,0,0,4610,5578,12580
0,0,0,4262,5767,11413
0,0,0,4080,5504,11042
0,0,0,4281,5386,10887
0,0,0,4280,5353,11550
0,0,0,4418,5450,11392
0,0,0,4560,5576,11273
0,0,0,4398,5613,11563
0,0,0,4196,5782,11555
0,0,0,4296,5449,11748
0,0,0,4590,5618,11123
0,0,0,4280,5811,11354
0,0,0,4136,5559,11557
0,0,0,4378,5446,11671
0,0,0,4539,5436,11270
0,0,0,4598,5503,11187
0,0,0,4481,5629,11281
0,0,0,4169,5806,11507
0,0,0,5552,5512,11647
