MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2708,4606,8703
0,0,0,2981,4572,9233
0,0,0,2809,4614,9250
0,0,0,3008,4328,7664
0,0,0,3010,4461,9309
0,0,0,3248,4607,9158
0,0,0,3031,4427,9236
0,0,0,3213,4653,9705
0,0,0,2925,4796,8903
0,0,0,3366,4606,8496
0,0,0,3341,3987,8815
0,0,0,3294,4594,8849
0,0,0,1970,4478,8902
0,0,0,3419,4578,8776
0,0,0,1944,4610,9457
0,0,0,3456,4564,8720
0,0,0,3403,4531,8798
0,0,0,3136,4572,8693
0,0,0,2856,4607,9055
0,0,0,3461,4478,9240
0,0,0,3034,4400,8860
0,0,0,2940,4434,9122
0,0,0,3137,4226,7802
0,0,0,3332,4585,8746
0,0,0,3118,4700,9104
0,0,0,3007,4737,9025
0,0,0,2713,4023,9158
0,0,0,2859,4506,9305
0,0,0,3197,4570,8882
0,0,0,2792,4607,9112
0,0,0,3106,4327,9413
0,0,0,3362,3537,8939
0,0,0,2956,4710,9010
0,0,0,2936,4740,9065
0,0,0,2970,4867,9017
0,0,0,2822,4626,9128
0,0,0,3342,4592,9324
0,0,0,3121,4422,9344
0,0,0,2910,4644,8785
0,0,0,3384,4509,9167
0,0,0,3039,4740,9103
0,0,0,2690,4528,9320
0,0,0,3319,4460,8801
0,0,0,3080,4535,9232
0,0,0,3283,4552,8829
0,0,0,2743,4602,9141
0,0,0,3386,4476,8821
0,0,0,2687,4607,9142
0,0,0,3338,4575,8776
0,0,0,2870,4392,9024
0,0,0,3226,5442,8890
0,0,0,3296,4736,8888
0,0,0,2791,4656,8990
0,0,0,3201,4364,9248
0,0,0,3226,4675,9911
0,0,0,3130,4277,9163
0,0,0,2842,4607,9060
0,0,0,3337,4544,8875
0,0,0,2914,4864,8954
0,0,0,3163,4321,9075
0,0,0,2772,4607,9043
0,0,0,3327,4464,8877
0,0,0,3028,4850,8926
0,0,0,2611,4672,9064
0,0,0,2848,4532,9076
0,0,0,3092,4458,9329
0,0,0,3207,4768,8983
0,0,0,3313,4495,8858
0,0,0,2860,4607,9041
0,0,0,3082,4769,9166
0,0,0,3095,4321,7984
0,0,0,3432,4618,8703
0,0,0,3246,4726,8672
0,0,0,2850,4845,9123
0,0,0,2947,4552,8862
0,0,0,2945,4457,9328
0,0,0,3206,4607,8750
