MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,7374,12212,14173
0,0,0,7554,12668,14034
0,0,0,7218,12890,14632
0,0,0,7253,12372,14371
0,0,0,7280,12411,14232
0,0,0,7131,12837,14288
0,0,0,7016,12889,14137
0,0,0,7536,12614,14203
0,0,0,7081,12710,14416
0,0,0,6961,12722,14018
0,0,0,7138,12834,14421
0,0,0,7227,12776,14250
0,0,0,7182,12814,14451
0,0,0,7273,12103,14184
0,0,0,7475,12520,14073
0,0,0,7278,12223,14412
0,0,0,6582,12711,14357
0,0,0,7097,12912,14392
0,0,0,7679,12472,14458
0,0,0,7197,12405,14504
0,0,0,7484,12527,13996
0,0,0,7455,12571,14088
0,0,0,7320,12392,14382
0,0,0,6960,12821,14503
0,0,0,7484,12524,14161
0,0,0,7608,12529,14164
0,0,0,7513,12501,14095
0,0,0,7807,12581,14502
0,0,0,7316,12784,14144
0,0,0,7244,12630,14656
0,0,0,7335,12746,14711
0,0,0,7425,13385,14163
0,0,0,7008,12250,14409
0,0,0,4880,11800,14160
0,0,0,6168,12311,14276
0,0,0,7114,12503,14081
0,0,0,7244,12862,14231
0,0,0,7336,12632,14130
0,0,0,7254,12761,14685
0,0,0,7493,12559,14204
0,0,0,7096,13329,14104
0,0,0,7116,12996,14587
0,0,0,7212,12737,14356
0,0,0,7192,11928,14380
0,0,0,7384,12785,13705
0,0,0,6947,12413,14515
0,0,0,8077,12634,14266
0,0,0,7341,12745,14112
0,0,0,7265,12505,14120
0,0,0,7379,12784,13692
0,0,0,7579,12470,14041
0,0,0,7450,12468,13958
0,0,0,7224,12950,14264
0,0,0,7664,12691,14818
0,0,0,7261,12346,14400
0,0,0,7139,12498,14744
0,0,0,7113,12785,14282
0,0,0,7295,14461,14207
0,0,0,7218,12500,14602
0,0,0,7222,12799,14214
0,0,0,7205,12375,14252
0,0,0,7281,12672,14370
0,0,0,7219,12818,14173
0,0,0,7181,12080,13989
0,0,0,7353,12822,14108
0,0,0,7452,12560,14440
0,0,0,7524,12688,14082
0,0,0,7431,12752,14189
0,0,0,7105,12897,14435
0,0,0,7176,12068,14772
0,0,0,6758,12451,14739
0,0,0,7480,12615,14799
0,0,0,7074,12726,13950
0,0,0,7480,12568,13856
0,0,0,7436,12670,13965
0,0,0,7577,12568,14062
0,0,0,7348,12339,14394
0,0,0,7094,12432,14547
0,0,0,6448,12517,14551
0,0,0,7019,12571,14425
0,0,0,6416,13040,14207
0,0,0,7104,12860,14243
0,0,0,7248,12653,14163
0,0,0,7321,12396,14231
0,0,0,7286,12226,14205
0,0,0,7284,12565,13086
0,0,0,7120,12667,14360
0,0,0,7351,12669,14459
0,0,0,7309,12890,14450
0,0,0,7176,12713,14289
0,0,0,6929,12604,14504
0,0,0,7236,12738,14119
0,0,0,7232,12518,14532
0,0,0,7256,12752,14171
0,0,0,7448,12328,14111
0,0,0,7625,12737,15377
0,0,0,7269,12799,14191
0,0,0,7134,12873,14054
0,0,0,6995,12800,14528
0,0,0,7479,12767,14563
0,0,0,7181,12595,13017
0,0,0,7322,12799,13964
0,0,0,7529,12578,13942
0,0,0,7296,12325,13488
0,0,0,7093,12626,14448
0,0,0,7180,12388,14222
0,0,0,7286,12074,14246
0,0,0,7943,12410,14452
0,0,0,6924,12049,14202
0,0,0,7246,12356,14186
0,0,0,7372,12446,15113
0,0,0,7001,12633,14452
0,0,0,7200,12492,14036
0,0,0,7282,12806,14225
0,0,0,7382,12224,14282
0,0,0,7243,12739,14266
0,0,0,7476,12608,14023
0,0,0,7120,12687,14904
0,0,0,7528,12425,14112
0,0,0,7342,12624,14483
0,0,0,7378,12610,14292
0,0,0,8281,12418,14439
0,0,0,7508,12720,13913
0,0,0,7367,12205,14275
0,0,0,7513,12608,13974
0,0,0,7244,12252,14636
0,0,0,7378,12661,14131
0,0,0,7313,12484,14251
0,0,0,7003,12858,13963
0,0,0,7058,12622,14542
0,0,0,7483,12658,14025
0,0,0,6570,12755,14202
0,0,0,7479,12609,14026
0,0,0,7364,12383,14370
0,0,0,6481,12784,14246
0,0,0,7141,12982,14454
0,0,0,7105,12658,14357
0,0,0,7600,12575,13889
0,0,0,7444,12625,14009
0,0,0,7050,12698,14368
0,0,0,7296,12368,14064
0,0,0,7260,12349,14164
0,0,0,7226,11114,14149
0,0,0,7205,12809,14149
0,0,0,7238,12760,14279
0,0,0,7240,12824,14210
0,0,0,7382,12669,14094
0,0,0,7246,12352,14348
0,0,0,7124,12799,14425
0,0,0,7371,12372,14394
0,0,0,6801,12538,14024
0,0,0,7028,12758,14161
0,0,0,7326,12541,14186
0,0,0,7252,12548,14513
0,0,0,6000,12864,14196
0,0,0,7402,12788,14127
0,0,0,7113,12848,14225
0,0,0,7260,12799,14169
0,0,0,7062,12889,14253
0,0,0,7026,12637,14368
0,0,0,7536,12585,14430
0,0,0,8111,12606,14468
0,0,0,6935,12617,14417
0,0,0,7042,12661,14350
0,0,0,7428,12714,14697
0,0,0,7242,12649,14550
0,0,0,7394,12481,14238
0,0,0,7485,11544,13992
0,0,0,6730,12541,14243
0,0,0,7632,12550,14507
0,0,0,7592,12596,14044
0,0,0,6727,12608,14476
0,0,0,7194,12685,14189
0,0,0,7026,12576,14412
0,0,0,10367,12401,14390
0,0,0,7316,12405,14272
0,0,0,7311,12669,14138
0,0,0,7262,12237,14359
0,0,0,7220,12582,13655
0,0,0,7298,12560,14512
0,0,0,7248,12734,14404
0,0,0,6428,12759,14459
0,0,0,7366,12564,14593
0,0,0,7292,12683,14420
0,0,0,8011,12559,14412
0,0,0,7008,12234,14376
0,0,0,7233,12299,14294
0,0,0,7328,12411,14265
0,0,0,7461,12697,14413
0,0,0,7382,12531,14007
0,0,0,7436,12456,13518
0,0,0,7494,12819,14376
0,0,0,7496,11452,13984
0,0,0,7482,12440,14086
0,0,0,6870,12799,14498
0,0,0,7581,12590,13973
0,0,0,7679,12591,14584
0,0,0,7264,12425,14498
0,0,0,7300,12456,14582
0,0,0,7187,12904,14520
0,0,0,7306,11600,14266
0,0,0,6980,12691,14274
0,0,0,7557,12782,15184
0,0,0,7369,12550,14577
0,0,0,7134,12407,14460
0,0,0,7504,11765,13960
0,0,0,7435,12568,14127
0,0,0,7569,12491,14097
0,0,0,7321,12905,14101
0,0,0,7170,12756,14565
0,0,0,7467,13005,14241
0,0,0,7292,12804,14177
0,0,0,7200,12786,13996
0,0,0,7120,12770,14356
0,0,0,7177,12883,14207
0,0,0,7643,12378,14183
0,0,0,7297,12504,13670
0,0,0,7020,12758,14065
0,0,0,7504,12583,14058
0,0,0,7076,12886,14604
0,0,0,7236,13212,14268
0,0,0,7080,12563,14496
0,0,0,7249,12356,13624
0,0,0,7022,12177,14439
0,0,0,7320,12700,13539
0,0,0,7443,13177,14071
0,0,0,7049,12409,14456
0,0,0,7131,12787,14360
0,0,0,7541,12681,13803
0,0,0,7014,12749,14465
0,0,0,7330,12721,14202
0,0,0,7039,12674,14380
0,0,0,7227,12662,14148
0,0,0,7401,12821,14377
0,0,0,7468,12384,13934
0,0,0,7192,12888,14248
0,0,0,7394,12508,13986
0,0,0,7419,11797,14113
0,0,0,6653,12552,13936
0,0,0,7300,12799,14242
0,0,0,7916,12569,13823
0,0,0,7578,12749,14174
0,0,0,7262,12483,14296
0,0,0,7482,12726,13985
0,0,0,7352,12776,14640
0,0,0,7339,12443,14365
0,0,0,7324,12168,15101
0,0,0,7424,12352,14246
0,0,0,7346,12368,14206
0,0,0,7370,12289,14254
0,0,0,7182,11852,14610
0,0,0,7236,12506,14595
0,0,0,7365,12943,14263
0,0,0,7190,12799,14291
0,0,0,7710,12616,13921
0,0,0,7257,12438,14341
0,0,0,7072,12064,14340
0,0,0,6932,12890,14379
0,0,0,7287,12885,14339
0,0,0,7304,12717,14129
0,0,0,7479,12576,14044
0,0,0,7258,12468,14434
0,0,0,7192,12794,14346
0,0,0,7405,12762,13880
0,0,0,7515,12116,14116
0,0,0,7039,12713,14264
0,0,0,7588,12778,14532
0,0,0,6920,12554,14247
0,0,0,7278,12455,14149
0,0,0,7452,12464,14116
0,0,0,7064,12640,14573
0,0,0,7485,12609,12930
0,0,0,7447,12520,14007
0,0,0,7249,12250,14066
