MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2357,3517,8314
0,0,0,1970,3386,7793
0,0,0,2316,3379,8693
0,0,0,1304,3518,8820
0,0,0,2403,3583,8520
0,0,0,2308,3211,8771
0,0,0,1833,3583,8953
0,0,0,1916,3464,8582
0,0,0,2115,3294,9016
0,0,0,1896,3966,8845
0,0,0,2165,3257,8940
0,0,0,2088,3733,7752
0,0,0,2344,3918,8713
0,0,0,1882,3582,7608
0,0,0,2241,3624,8405
0,0,0,2253,3409,8772
0,0,0,2193,3583,8538
0,0,0,2062,3326,9029
0,0,0,2431,3472,8551
0,0,0,2006,3641,8859
0,0,0,2317,3583,8547
0,0,0,1859,3868,8826
0,0,0,2372,3441,8614
0,0,0,2220,3597,8637
0,0,0,2139,3515,8974
0,0,0,2101,3770,8668
0,0,0,2484,3466,8566
0,0,0,2082,3533,9131
0,0,0,2159,3657,7679
0,0,0,2559,3287,9026
0,0,0,1817,4020,9025
0,0,0,2266,3583,8634
0,0,0,2309,3547,8718
0,0,0,2463,3691,9710
0,0,0,2184,3783,8608
0,0,0,1935,3486,8787
0,0,0,2317,3406,8686
0,0,0,1970,3556,9084
0,0,0,1650,3728,8684
0,0,0,2297,3262,8917
0,0,0,1810,3632,8936
0,0,0,2896,3597,8509
0,0,0,1810,3660,8817
0,0,0,2057,3292,8842
0,0,0,2537,3432,8643
0,0,0,2104,2222,9065
0,0,0,2165,3660,9536
0,0,0,2293,3304,7943
0,0,0,1985,3583,9028
0,0,0,1613,3926,8748
0,0,0,2020,3696,8420
0,0,0,2120,4345,8706
0,0,0,1882,3822,8856
0,0,0,2407,3438,8692
0,0,0,2854,3598,9001
0,0,0,2173,3733,8784
0,0,0,2389,3781,8726
0,0,0,2688,3526,9074
0,0,0,1632,3805,8715
0,0,0,1864,3669,8539
0,0,0,2199,3312,9120
0,0,0,1997,3828,8757
0,0,0,2148,3401,9027
0,0,0,2322,3723,8928
0,0,0,2207,3286,8825
0,0,0,1622,3685,8909
0,0,0,2204,3805,8696
0,0,0,2156,3583,8745
0,0,0,2377,3562,8713
0,0,0,2166,3510,9069
0,0,0,1911,3648,8851
0,0,0,2146,3690,8749
