MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3254,3842,9394
0,0,0,4024,3927,9555
0,0,0,3338,4277,9356
0,0,0,3648,3991,9026
0,0,0,3801,3891,9061
0,0,0,3413,3768,9598
0,0,0,3957,3482,9632
0,0,0,3366,3778,9720
0,0,0,4106,3952,9569
0,0,0,3475,3916,9346
0,0,0,3546,4123,9309
0,0,0,3382,4002,9342
0,0,0,3522,4148,9404
0,0,0,3364,4145,9311
0,0,0,3184,4050,9612
0,0,0,3398,3874,9599
0,0,0,3248,3761,9151
0,0,0,3586,3914,9054
0,0,0,3454,4243,9336
0,0,0,3486,4132,9169
0,0,0,3503,3804,9672
0,0,0,3126,3996,9563
0,0,0,3894,3883,9496
0,0,0,3344,4278,9362
0,0,0,3392,3782,9580
0,0,0,3463,3924,9980
0,0,0,3154,3937,9500
0,0,0,3351,4128,9300
0,0,0,3565,4178,9153
0,0,0,3464,3729,9334
0,0,0,3413,3600,9352
0,0,0,4144,3871,9553
0,0,0,3581,4136,9173
0,0,0,3463,4822,9322
0,0,0,3406,4722,9622
0,0,0,3377,4129,9293
0,0,0,3649,3897,9152
0,0,0,3515,3730,9457
0,0,0,3215,3734,9429
0,0,0,3560,4037,9362
0,0,0,3446,3649,9225
0,0,0,3448,3606,9466
0,0,0,3443,4105,9298
0,0,0,3485,3618,9358
0,0,0,3283,4212,9420
0,0,0,3461,4219,9540
0,0,0,3506,4183,9262
0,0,0,3312,4306,10001
0,0,0,3296,4197,9370
0,0,0,3246,4274,9382
0,0,0,3630,3797,9261
0,0,0,3163,3886,9516
0,0,0,3348,4363,9417
0,0,0,3368,4229,9331
0,0,0,3499,4447,9381
0,0,0,3531,3637,9318
0,0,0,3340,3159,9693
0,0,0,3264,4128,9376
0,0,0,3735,4042,10370
0,0,0,4185,3954,9576
0,0,0,3556,3673,9350
0,0,0,3121,3890,9618
0,0,0,3492,4216,9557
0,0,0,3683,3777,9171
0,0,0,3401,3951,9366
0,0,0,3106,3938,9593
0,0,0,3245,4218,9343
0,0,0,3583,3901,9097
0,0,0,3423,4208,9280
0,0,0,3550,3956,9304
0,0,0,3017,3863,9592
0,0,0,3480,4021,9472
0,0,0,3321,3758,8923
0,0,0,3018,4041,9432
0,0,0,3907,3861,9502
0,0,0,3403,4272,9304
0,0,0,3356,4132,9323
0,0,0,3690,3872,9071
0,0,0,3024,4902,9369
0,0,0,3850,3864,9602
0,0,0,3149,4061,9529
0,0,0,3442,4016,9282
0,0,0,3355,4048,9333
0,0,0,3435,3648,9392
0,0,0,3174,3848,9439
0,0,0,3690,3998,10356
0,0,0,3572,3711,9365
0,0,0,3117,3992,9652
0,0,0,3443,4020,8932
0,0,0,3501,3600,9316
0,0,0,3343,2062,9244
0,0,0,3078,3651,9388
0,0,0,3212,4045,9470
0,0,0,3585,4150,9140
0,0,0,3480,4672,9319
0,0,0,3418,3583,9444
0,0,0,3583,3791,9178
0,0,0,3546,3756,9345
0,0,0,3400,3630,9508
0,0,0,3323,4124,9340
0,0,0,4141,3968,8955
0,0,0,3513,3814,9516
0,0,0,3114,4178,9385
0,0,0,3398,3718,9434
0,0,0,3367,4184,9304
0,0,0,3348,3866,9661
0,0,0,3266,4216,9355
0,0,0,3420,4196,9248
0,0,0,3583,3821,9111
0,0,0,3091,3967,9428
0,0,0,3573,3944,9870
0,0,0,3614,2628,9134
0,0,0,3487,3554,9502
0,0,0,3500,3701,9388
0,0,0,3577,4117,9477
0,0,0,3583,3762,9174
0,0,0,3528,3583,9392
0,0,0,3583,3920,9145
0,0,0,3656,3861,9308
0,0,0,3538,3879,9306
0,0,0,3587,3683,9324
0,0,0,3368,3836,9727
0,0,0,3620,3795,9570
0,0,0,3248,4027,9575
0,0,0,3212,4607,9395
0,0,0,3362,4427,9252
0,0,0,3583,3845,9524
0,0,0,3074,3746,9354
0,0,0,3514,4117,9242
0,0,0,3563,4105,9259
0,0,0,3518,3795,9262
0,0,0,3583,3857,9268
0,0,0,3443,3994,8154
0,0,0,3576,3709,9375
0,0,0,4062,3583,9725
0,0,0,3392,3859,9517
0,0,0,3344,4204,9422
0,0,0,3405,3932,9144
0,0,0,3472,3584,9300
0,0,0,3536,3702,9152
0,0,0,3579,3959,9397
0,0,0,3583,3838,9056
0,0,0,3193,3886,9121
0,0,0,3715,3887,9326
0,0,0,3648,3989,9086
0,0,0,3583,3860,9114
0,0,0,3401,3716,9396
0,0,0,3521,3693,9634
0,0,0,3378,2928,9541
0,0,0,4541,3826,9556
0,0,0,2976,4301,9412
0,0,0,3241,4207,9395
0,0,0,3596,3966,9780
0,0,0,3608,3857,9527
