MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3288,3124,6922
0,0,0,2685,3217,7198
0,0,0,2694,2914,7477
0,0,0,2527,3392,7351
0,0,0,2830,2786,7462
0,0,0,2670,3233,7865
0,0,0,2665,2906,7533
0,0,0,2433,3570,7530
0,0,0,2836,3038,7344
0,0,0,2379,3110,7567
0,0,0,2675,3215,8208
0,0,0,2728,2808,5251
0,0,0,2464,3353,7542
0,0,0,2771,3780,7366
0,0,0,2480,3288,7451
0,0,0,2906,2984,7336
0,0,0,2512,3018,7671
0,0,0,2639,3215,8215
0,0,0,2529,3111,7802
0,0,0,2736,3375,8134
0,0,0,2799,3748,7350
0,0,0,2548,3284,7422
0,0,0,2270,2873,7555
0,0,0,2592,3426,7334
0,0,0,2868,2964,7856
0,0,0,2521,3016,7350
0,0,0,2575,3275,7369
0,0,0,2689,2902,7509
0,0,0,2425,3306,7541
0,0,0,2720,3274,7071
0,0,0,2734,2934,6797
0,0,0,2424,3046,7449
0,0,0,2971,2062,7176
0,0,0,2671,2880,7730
0,0,0,2396,3411,7563
0,0,0,3111,3221,7221
0,0,0,2498,3072,7757
0,0,0,2400,3370,7605
0,0,0,2734,3278,7372
0,0,0,1778,2961,7402
0,0,0,2523,2996,7669
0,0,0,2515,3520,7458
0,0,0,3800,3321,8103
0,0,0,2681,3852,7657
0,0,0,2582,3256,7216
0,0,0,2832,3044,7275
0,0,0,2512,3090,7690
0,0,0,2668,3172,7398
0,0,0,2762,3492,7414
0,0,0,2061,3197,7512
0,0,0,2834,3316,8200
0,0,0,2736,2782,7526
0,0,0,2480,3376,7540
0,0,0,2809,2975,6297
0,0,0,3397,3001,7632
0,0,0,3048,3206,7130
0,0,0,2796,3115,7264
0,0,0,941,2884,7468
0,0,0,2729,3585,7633
0,0,0,2992,3013,7248
0,0,0,2599,2932,7672
0,0,0,2572,3148,7477
0,0,0,2324,3163,6421
0,0,0,2712,2792,7537
0,0,0,2463,3427,7382
0,0,0,2728,3080,7376
0,0,0,2577,3063,7608
0,0,0,2320,3481,7393
0,0,0,2958,3864,7089
0,0,0,2761,2948,7450
0,0,0,2437,3380,6831
0,0,0,2864,3086,7282
0,0,0,2740,3273,7591
0,0,0,2982,3192,7173
0,0,0,3138,3087,7581
0,0,0,2696,3183,7444
0,0,0,2626,2839,7640
0,0,0,2347,3449,7554
0,0,0,2820,3142,7236
0,0,0,2429,3095,7872
0,0,0,2608,3356,7352
0,0,0,2932,3162,7176
0,0,0,2637,2936,7506
0,0,0,2428,3510,7460
0,0,0,2986,3186,7155
0,0,0,2608,2984,7668
0,0,0,2342,3212,7458
0,0,0,2680,3220,7135
0,0,0,2531,3031,7752
0,0,0,2753,3459,8058
0,0,0,2865,2844,7508
0,0,0,2509,3504,7360
0,0,0,2682,2904,7325
0,0,0,2488,3460,7461
0,0,0,2760,3027,7434
0,0,0,2352,3395,7493
0,0,0,2690,3204,7177
0,0,0,2610,3322,7337
0,0,0,2746,2737,7416
0,0,0,2446,3380,7532
0,0,0,2729,4106,7458
0,0,0,2492,3396,7424
0,0,0,2700,2810,7559
0,0,0,2381,3478,7459
0,0,0,2893,3072,7304
0,0,0,3346,3188,7524
0,0,0,2798,3124,7385
0,0,0,2467,3481,7430
0,0,0,2755,3045,7418
0,0,0,2349,3297,7586
0,0,0,2828,4710,7490
0,0,0,2468,3142,7558
0,0,0,2881,3039,7368
0,0,0,2387,3508,7522
0,0,0,2782,3252,7204
0,0,0,2486,3012,7751
0,0,0,2688,3377,7260
0,0,0,2691,2837,7459
0,0,0,2556,3160,7424
0,0,0,2501,2912,7671
0,0,0,2682,3334,7322
0,0,0,3256,4137,7488
0,0,0,2401,3316,6486
0,0,0,2880,3214,7260
0,0,0,2528,3112,7606
0,0,0,1535,3434,7358
0,0,0,2924,3799,7370
0,0,0,2431,3582,7589
0,0,0,2752,3029,7438
0,0,0,2012,3394,7632
0,0,0,2731,3404,7575
0,0,0,2784,3210,7475
0,0,0,2397,3442,7492
0,0,0,3136,3044,7321
0,0,0,3368,3205,7713
0,0,0,2789,3293,7053
0,0,0,2676,2872,7696
0,0,0,2617,3282,7390
0,0,0,2741,3094,7369
0,0,0,2426,4292,7504
0,0,0,2858,3079,7302
0,0,0,2422,3396,7478
0,0,0,2774,3124,7432
0,0,0,2344,3293,7614
0,0,0,2831,3306,7206
0,0,0,2797,3049,7376
0,0,0,2600,3111,7632
0,0,0,2647,3281,6863
0,0,0,2936,3101,7247
0,0,0,2450,3065,7746
0,0,0,2591,3312,7393
0,0,0,2770,3332,7435
0,0,0,2346,3413,7609
0,0,0,2965,3226,7192
0,0,0,2624,3018,7706
0,0,0,2521,3414,7409
0,0,0,2906,3058,7260
0,0,0,2486,3074,7713
0,0,0,2591,3388,7450
