MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,2926,2570,7088
0,0,0,2659,2406,8190
0,0,0,2810,2172,8356
0,0,0,2888,2678,8097
0,0,0,2181,2586,8091
0,0,0,2552,2292,8214
0,0,0,2792,1260,8074
0,0,0,2970,2467,8042
0,0,0,2904,1988,8232
0,0,0,3744,2430,8249
0,0,0,2920,2664,7825
0,0,0,2861,2394,7851
0,0,0,2833,2483,8185
0,0,0,2580,2580,8207
0,0,0,2556,2474,8191
0,0,0,3179,2295,8306
0,0,0,2813,1929,7048
0,0,0,2906,2234,8164
0,0,0,2800,2440,8031
0,0,0,2674,2356,8185
0,0,0,3020,2058,8066
0,0,0,2893,3435,8118
0,0,0,3081,2381,7759
0,0,0,3070,2326,7874
0,0,0,2812,2619,7921
0,0,0,3464,2437,8356
0,0,0,2512,2245,8246
0,0,0,2745,2177,8415
0,0,0,3035,2182,7950
0,0,0,3027,2295,7993
0,0,0,2870,2494,7982
0,0,0,2552,2520,8188
0,0,0,2712,2592,8201
0,0,0,2898,2894,7957
0,0,0,2689,2587,8132
0,0,0,2555,4591,8191
0,0,0,2776,2031,8098
0,0,0,3061,1984,7854
0,0,0,2748,2602,8122
0,0,0,2712,1631,8458
0,0,0,2952,2282,8090
0,0,0,3065,2327,7852
0,0,0,1896,2634,8075
0,0,0,2406,2316,8088
0,0,0,2851,2117,8229
0,0,0,3132,2264,7760
0,0,0,2593,2553,8191
0,0,0,2687,2189,8394
0,0,0,3022,2170,7963
0,0,0,2728,2329,7823
0,0,0,2533,2430,8320
0,0,0,2742,2383,8282
0,0,0,2861,2316,7976
0,0,0,2606,2218,8028
0,0,0,2539,2428,8196
0,0,303,2740,2268,8279
0,0,0,2860,1981,7978
0,0,0,3012,2283,7960
0,0,0,2872,2381,7964
0,0,0,2504,2429,8299
0,0,0,3918,2113,8164
0,0,0,3090,1839,7989
0,0,0,2798,2629,8062
0,0,0,2469,2317,8256
0,0,0,2742,2224,8332
0,0,0,2928,2029,8317
0,0,0,3069,2335,7853
0,0,0,2756,2496,7556
0,0,0,2779,2397,8173
0,0,0,2742,2189,8192
0,0,0,2966,2830,8022
0,0,0,2713,3098,8084
0,0,0,3211,2327,7797
0,0,0,3081,2760,7872
0,0,0,2763,2514,7988
0,0,0,2541,2438,8270
0,0,0,2890,1602,8180
0,0,0,2826,2184,8165
0,0,0,3008,2191,8009
0,0,0,2867,2880,7848
0,0,0,2747,2510,8065
0,0,0,2659,2128,8386
0,0,0,2811,2112,8414
0,0,0,2738,2751,8123
0,0,0,2941,2103,7972
0,0,0,4249,2365,7835
0,0,0,3038,2250,7899
0,0,0,2959,2371,7854
0,0,0,2614,2484,8592
0,0,0,2698,2137,8066
0,0,0,2848,1720,8227
0,0,0,2788,2028,7828
0,0,0,2825,3224,8175
0,0,0,3017,2262,7715
0,0,0,2564,2280,8228
0,0,0,2778,2218,8270
0,0,0,2758,2141,8211
0,0,0,2861,1940,7823
0,0,0,2964,3380,8047
0,0,0,3026,2197,7994
0,0,0,3092,2268,7848
0,0,0,2868,2394,7824
0,0,0,2772,2395,8013
0,0,0,2536,2372,8191
0,0,0,3576,2384,8177
0,0,0,2790,2173,8309
0,0,0,2802,2014,8247
0,0,0,3010,2000,7979
0,0,0,3000,2357,7920
0,0,0,2973,2381,8251
0,0,0,2760,2610,8000
0,0,0,2728,2444,8131
0,0,0,3442,2324,8310
0,0,0,2857,2087,8236
0,0,0,3112,2278,7806
0,0,0,2769,2520,8000
0,0,0,2557,2304,8212
0,0,0,2751,2047,8191
0,0,0,3150,2154,7821
0,0,0,2765,1673,8059
0,0,0,2795,2505,8066
0,0,0,2169,2576,8015
0,0,0,2628,2414,8162
0,0,0,2558,2388,8224
0,0,0,2688,2159,8318
0,0,0,2817,2098,9429
0,0,0,3008,2206,8014
0,0,0,3184,2372,7757
0,0,0,2694,2512,8055
0,0,0,3678,2340,8244
0,0,0,2744,2083,8410
0,0,0,2955,3108,8012
0,0,0,3061,2382,7990
0,0,0,2916,2498,7974
0,0,0,2676,2532,8086
0,0,0,2667,2576,8148
0,0,0,2698,2232,8384
0,0,0,3607,2256,8234
0,0,0,2844,2068,8226
0,0,0,3365,2369,8002
0,0,0,3044,2368,7893
0,0,0,2442,2325,6585
0,0,0,2496,2425,8259
0,0,0,2756,2146,8308
0,0,0,2960,2184,8050
0,0,0,2936,2446,8745
0,0,0,2671,2504,8008
0,0,0,2752,2357,8967
0,0,0,2833,1965,8084
0,0,0,2754,2230,7949
0,0,0,2926,2358,7776
0,0,0,2606,2632,8177
0,0,0,3560,2206,8237
0,0,0,2806,2176,8252
0,0,0,2961,2411,8680
0,0,0,2782,2441,8057
0,0,0,2690,2206,8101
0,0,0,2712,2122,8355
0,0,0,2954,2066,8124
0,0,0,3010,2320,7784
0,0,0,2496,2434,8262
0,0,0,2929,2045,8131
0,0,0,2766,2336,7389
0,0,0,2501,2450,8245
0,0,0,3004,2321,8031
0,0,0,2736,2503,8146
0,0,0,2725,2309,8424
0,0,0,3109,2435,7861
0,0,0,2585,2593,8142
0,0,0,2722,2039,8276
0,0,0,3043,2262,7897
0,0,0,2918,2369,7701
0,0,0,2488,2363,8317
0,0,0,2815,2141,8294
0,0,0,2965,2296,7090
0,0,0,2353,2431,8320
0,0,0,2741,2274,8191
0,0,0,2800,2194,8267
0,0,0,3050,2544,8029
0,0,0,2682,2280,8274
0,0,0,3009,1242,8004
0,0,0,1924,2642,8158
0,0,0,2925,2140,8125
0,0,0,2931,2390,7960
0,0,0,2683,2637,8159
0,0,0,2497,2276,8301
0,0,0,1762,2226,8300
0,0,0,2876,1958,8033
0,0,0,3126,2346,7848
0,0,0,2595,2514,8176
0,0,0,2672,2131,7860
0,0,0,2941,2995,8061
0,0,0,2935,2229,7908
0,0,0,2947,2456,7711
0,0,0,2542,2568,8132
0,0,0,2231,2181,8475
0,0,0,2536,2328,7861
0,0,0,2789,2449,7763
0,0,0,2683,2624,8095
0,0,0,2478,2298,8236
0,0,0,2767,2191,8294
0,0,0,2800,2029,7591
0,0,0,3068,1996,8062
0,0,0,2825,2256,7650
0,0,0,2584,2629,8177
0,0,0,2806,2306,8286
0,0,0,2898,1959,8175
0,0,0,3002,2649,8032
0,0,0,3042,2261,7951
0,0,0,3110,2479,8650
0,0,0,2562,1827,8191
0,0,0,3624,2362,8213
0,0,0,2812,1973,8161
0,0,0,3074,2350,7913
0,0,0,2623,2400,8148
0,0,0,2805,2114,8448
0,0,0,3110,2223,7983
0,0,0,3104,2432,7886
0,0,0,3430,2338,8403
0,0,0,2648,2168,7238
0,0,0,3004,2712,8056
0,0,0,3078,2311,8205
0,0,0,2778,2537,8034
0,0,0,2677,2320,8149
0,0,0,2709,1695,8436
0,0,0,2944,1963,8100
0,0,0,2932,2276,8012
0,0,0,2590,2265,7812
0,0,0,2807,2540,8042
0,0,0,2644,2358,8298
0,0,0,2605,2276,8191
0,0,0,2821,1940,7999
0,0,0,2922,2336,8141
0,0,0,3004,2282,7898
0,0,0,3124,2213,7804
0,0,0,2791,2423,8032
0,0,0,2734,2575,8016
0,0,0,2568,2457,8242
0,0,0,2662,2240,7635
