MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
2635,0,0,3554,2772,7902
2862,0,0,3760,2534,7784
3137,0,0,3718,2348,7874
2996,0,0,3816,2527,8152
2884,0,0,3375,2752,7971
2552,0,0,3538,2440,7874
2980,0,0,3925,2514,7619
2548,0,0,3528,2521,7987
2984,0,0,3583,2478,7881
3023,0,0,3397,2794,7814
2728,0,0,3651,2612,7707
3008,0,0,3794,2451,7690
2995,0,0,3252,1846,8032
2509,0,0,3574,2682,7785
3021,0,0,3773,2968,7472
2829,0,0,3580,2508,8171
2552,0,0,3611,2713,7793
2791,0,0,3782,2672,7653
3087,0,0,3718,2426,7884
3086,0,0,3572,2575,8057
2591,0,0,3474,2819,7968
3039,0,0,3533,2437,7791
2773,0,0,3083,2642,8033
2548,0,0,3581,2801,7872
3045,0,0,3506,2345,8185
2582,0,0,3474,2724,7753
2393,0,0,3456,2477,7411
3009,0,0,3422,2414,8206
2916,0,0,3485,3016,7889
2096,0,0,3804,2541,7763
3061,0,0,3788,2470,8170
2533,0,0,3624,2671,7786
3236,0,0,4153,2579,7827
2871,0,0,3195,2860,8602
2651,0,0,4354,2652,7643
3234,0,0,3792,2292,7674
2815,0,0,3260,2755,8127
2478,0,0,3600,2799,7744
2765,0,0,3820,2585,7811
1759,0,0,3615,2322,7516
2818,0,0,3413,2790,8020
2240,0,0,3580,2603,7620
3009,0,0,3412,2323,8295
2915,0,0,3414,2768,7953
2683,0,0,3564,2562,8660
3192,0,0,3764,2214,8936
2636,0,0,3563,2769,7771
2104,0,0,3405,3060,7969
2770,0,0,3382,2618,8132
2842,0,0,3792,2624,7572
3050,0,0,2874,2260,8166
2718,0,0,3357,2796,8049
2581,0,0,3684,2780,7565
3289,0,0,3742,1461,7737
3120,0,0,3520,2359,7744
2870,0,0,3840,2571,8170
2687,0,0,3146,2711,7810
3106,0,0,3801,2853,7860
2993,0,0,3483,2389,8257
2790,0,0,3509,2661,8064
2766,0,0,2624,2825,7888
2888,0,0,3964,2542,7577
2799,0,0,3576,2149,7978
3039,0,0,3543,2394,9110
2801,0,0,3213,2699,10950
2546,0,0,3401,2763,7753
2739,0,0,3685,2794,7794
3237,0,0,3597,3002,7972
2996,0,0,3279,1033,7958
2706,0,0,3740,2707,8392
2820,0,0,3710,2456,7864
3003,0,0,4121,2464,8203
2185,0,0,2860,2802,7754
3152,0,0,3615,1916,7978
2810,0,0,3411,2869,7969
2832,0,0,3883,2447,7930
2606,0,0,3492,2492,8280
2546,0,0,2704,2690,7832
3041,0,0,3720,2231,7889
2860,0,0,4356,2576,8233
2726,0,0,3642,2626,7642
2995,0,0,3521,2455,8242
3240,0,0,3530,2796,7754
2302,0,0,3735,2517,7747
2958,0,0,3587,2323,8060
2867,0,0,3393,2858,7891
2809,0,0,3876,2133,7656
2968,0,0,3520,2469,7911
2316,0,0,3573,2782,7799
3236,0,0,3794,2252,7958
3627,0,0,3383,2664,7952
3442,0,0,3414,2005,7990
2880,0,0,3758,2473,6720
3042,0,0,3507,2161,8133
3764,0,0,3520,2844,7878
2882,0,0,3659,2412,7978
2974,0,0,3445,2648,8031
2742,0,0,3934,2514,7692
3016,0,0,3438,2316,8224
2477,0,0,3471,2762,7820
3089,0,0,3663,3096,7931
3056,0,0,3502,2442,8164
2593,0,0,3547,2798,7896
2755,0,0,3658,1834,7827
3136,0,0,3269,2624,8146
2241,0,0,3166,2756,8191
3119,0,0,3610,2353,7936
2920,0,0,3484,2494,8115
2725,0,0,3928,2559,7657
2996,0,0,2711,2445,8146
2561,0,0,3380,2796,7978
2789,0,0,3918,2596,8124
2848,0,0,2809,3406,8577
2848,0,0,3256,2612,8160
2536,0,0,3812,2630,7618
2977,0,0,3520,2477,8170
2532,0,0,3321,2854,7888
3007,0,0,3563,1740,8297
3959,0,0,3427,2832,7845
3050,0,0,3873,2402,7745
3046,0,0,3655,2557,7811
2796,0,0,3829,2665,7468
2846,0,0,3733,2348,8026
2743,0,0,3433,2533,7744
2561,0,0,3633,2965,7797
2914,0,0,3703,2070,7888
2753,0,0,3694,2574,8042
2720,0,0,3910,2574,7676
2880,0,0,3657,2863,7942
2940,0,0,4304,2550,8173
