MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4226,6973,10526
0,0,0,4525,6918,10284
0,0,0,4584,7593,10446
0,0,0,4006,6587,10527
0,0,0,4634,6822,10212
0,0,0,4596,6643,10492
0,0,0,4168,6770,10643
0,0,0,4716,6742,10278
0,0,0,4490,6823,10534
0,0,0,4198,6808,10518
0,0,0,4388,6773,10069
0,0,0,4676,6645,12189
0,0,0,4452,6522,10586
0,0,0,4109,6774,10688
0,0,0,4338,6928,10408
0,0,0,4589,6728,10408
0,0,0,4558,6464,10403
0,0,0,4480,5960,10716
0,0,0,4472,6689,10595
0,0,0,4321,6986,10462
0,0,0,4446,6859,10217
0,0,0,4674,6715,9784
0,0,0,4685,6904,10258
0,0,0,3090,6581,10600
0,0,0,4096,7038,10628
0,0,0,4411,6831,10416
0,0,0,4724,6702,10330
0,0,0,4328,6560,10748
0,0,0,4393,6877,10318
0,0,0,4644,6789,10264
0,0,0,4329,6647,10648
0,0,0,4273,7054,10452
0,0,0,5262,6663,10373
0,0,0,3933,6751,10597
0,0,0,3239,6898,11079
0,0,0,4544,6960,10504
0,0,0,4039,6838,10673
0,0,0,4701,6800,10362
0,0,0,4524,7461,10492
0,0,0,4430,6641,10653
0,0,0,4555,6928,10396
0,0,0,4967,6720,10181
0,0,0,4557,6412,10765
0,0,0,4207,6667,10535
0,0,0,4469,7019,10992
0,0,0,4447,6518,10617
0,0,0,4779,6707,10649
0,0,0,4682,6656,10410
0,0,0,4275,6634,10602
0,0,0,4436,7072,10282
0,0,0,4672,6946,10380
0,0,0,4633,6804,10662
0,0,0,4411,7000,10443
0,0,0,4552,6685,9971
0,0,0,4346,7077,10415
0,0,0,4475,6854,10177
0,0,0,4590,6636,10393
0,0,0,4544,6745,10380
0,0,0,4380,6645,10827
0,0,0,4106,6722,10633
0,0,0,4228,6813,10519
0,0,0,4136,6838,10593
0,0,0,4289,6520,10484
0,0,0,4332,6898,10320
0,0,0,4537,6880,10560
0,0,0,4509,6829,10232
0,0,0,4320,7057,10568
0,0,0,4700,6807,10200
0,0,0,4668,6763,10292
0,0,0,4594,7844,10448
0,0,0,5143,6766,10742
0,0,0,4140,6797,9973
0,0,0,4349,6904,10415
0,0,0,4487,6711,10278
0,0,0,4294,6793,10768
0,0,0,4160,6781,10543
0,0,0,4361,6948,10405
0,0,0,4362,6924,10700
0,0,0,4624,5337,10340
0,0,0,4404,6468,10589
0,0,0,4128,6869,10505
0,0,0,4528,6816,10203
0,0,0,4588,7420,10420
0,0,0,4374,6604,10789
0,0,0,4142,6805,9952
0,0,0,4498,7288,10338
0,0,0,4656,6673,10265
0,0,0,4497,6485,10495
0,0,0,4394,6534,10816
0,0,0,4144,6786,10555
0,0,0,4419,6967,10369
0,0,0,4574,6669,10366
0,0,0,4406,6544,10526
0,0,0,4736,8015,10628
0,0,0,4273,6894,10593
0,0,0,4612,6672,10381
0,0,0,4008,6662,10599
0,0,0,3869,7099,10384
0,0,0,4126,6519,10510
0,0,0,4976,6666,10733
0,0,0,4445,6799,11261
0,0,0,4692,6232,10289
0,0,0,4393,6888,10460
0,0,0,4502,6435,10563
0,0,0,4307,6630,10663
0,0,0,4261,6906,10497
0,0,0,3543,6898,10320
0,0,0,4483,7053,10511
0,0,0,4439,6475,10756
0,0,0,4644,6792,10610
0,0,0,4292,7031,10409
0,0,0,4492,6777,10200
0,0,0,4761,6724,10202
0,0,0,4446,6614,10716
0,0,0,4315,7039,10478
0,0,0,4650,6693,10252
0,0,0,4500,6361,10541
0,0,0,4508,6358,10472
0,0,0,4091,6849,10564
0,0,0,4353,6932,10425
0,0,0,4444,6897,10620
0,0,0,4410,6861,9202
0,0,0,4441,6952,10321
0,0,0,4663,6532,10309
0,0,0,4437,6404,9408
0,0,0,5280,6713,10553
0,0,0,4573,6791,10898
0,0,0,4469,6424,10478
0,0,0,4218,6910,10595
0,0,0,4262,6898,10081
0,0,0,4461,6466,10571
0,0,0,4288,6608,10664
0,0,0,4205,7048,10476
0,0,0,3604,6902,10353
0,0,0,4635,6762,10301
0,0,0,4309,6584,10768
0,0,0,4780,6642,10645
0,0,0,4899,6777,10116
0,0,0,4560,6688,10346
0,0,0,4591,6634,10352
0,0,0,4499,6505,10629
0,0,0,4185,6772,10578
0,0,0,4243,7054,10652
0,0,0,4240,6668,10572
0,0,0,4384,7024,10422
0,0,0,4436,6829,10735
0,0,0,4626,6569,10352
0,0,0,4461,6580,10684
0,0,0,4374,6601,10465
0,0,0,4505,6487,10644
0,0,0,4290,6704,10775
0,0,0,4741,6708,10656
0,0,0,4267,7147,10406
0,0,0,4226,6893,10605
0,0,0,4249,6921,10360
0,0,0,4790,6900,10128
0,0,0,4496,7508,10481
0,0,0,4373,6523,10822
0,0,0,4176,6770,10577
0,0,0,4197,6854,10596
0,0,0,4349,6884,10410
0,0,0,4467,6760,10079
0,0,0,4451,6896,10159
0,0,0,4427,6891,10333
0,0,0,4438,6869,10124
0,0,0,4538,6701,10473
0,0,0,4841,6594,10398
0,0,0,4690,6723,10282
0,0,0,4674,6680,10308
0,0,0,4607,7219,10470
0,0,0,4392,6416,10534
0,0,0,4600,7096,10385
0,0,0,4421,6464,10506
0,0,0,4356,6469,10193
0,0,0,4449,6516,10566
0,0,0,4622,6408,10480
0,0,0,4481,6765,10490
0,0,0,4393,6465,10692
0,0,0,5448,6691,10192
0,0,0,4168,7042,10450
0,0,0,4528,6818,10158
0,0,0,4676,6683,10046
0,0,0,4632,6596,10294
0,0,0,6209,6546,10480
0,0,0,4298,6197,10711
0,0,0,4113,6832,10551
0,0,0,4395,6980,10343
0,0,0,4384,6941,10583
0,0,0,4513,6771,11085
0,0,0,4704,6737,10315
0,0,0,4424,6508,10599
0,0,0,4808,6485,10787
0,0,0,4102,6925,10506
0,0,0,4265,7057,10476
0,0,0,4370,6879,9077
0,0,0,4647,6788,10084
0,0,0,4544,6579,10434
0,0,0,4532,6371,10424
0,0,0,6612,7060,10439
0,0,0,4582,6602,10322
0,0,0,4582,6599,10289
0,247,0,4621,6688,10184
0,0,0,4651,6830,10391
0,0,0,4445,6891,10308
0,0,0,4342,6930,10452
0,0,0,4683,5938,11068
0,0,0,4221,7049,10595
0,0,0,4288,6970,10458
0,0,0,3878,7081,10474
0,0,0,5926,6966,10497
0,0,0,4482,6843,10333
0,0,0,4641,6835,10287
