MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
6100,2149,0,3308,2676,7351
6385,2612,0,1560,2749,6408
5881,2427,0,3904,2752,6889
6143,2335,0,3452,2996,7449
5918,2713,0,3458,2576,7626
6196,2428,0,3939,2618,7174
5574,3459,0,3539,3130,7403
6080,2777,0,3719,3382,7375
5648,2593,0,3332,2772,7552
6042,2882,0,4050,2586,6953
6732,2293,0,3347,3056,7480
6080,2848,0,3620,2541,7511
4963,2592,0,3832,2740,7058
5548,2276,0,3540,2915,7428
5756,2625,0,3633,1964,7704
5725,0,0,3636,2753,7562
5709,2447,0,3430,2810,7405
5936,2540,0,3549,2453,7570
6099,2890,0,3720,2981,7279
5830,2600,0,3910,2835,6878
6736,3640,0,3554,2848,6603
6071,2789,0,3708,2594,7279
5884,2644,0,3804,2878,7735
5579,2410,0,3562,3020,7439
6089,2603,0,4632,2721,7575
5516,2904,0,3610,2501,7444
5455,2532,0,3681,2909,7096
5708,2693,0,3278,2913,7510
6240,3002,0,3714,2593,7278
5816,2519,0,3645,2885,7390
5824,2609,0,3227,2848,7440
6014,3893,0,3311,2624,7370
6048,2641,0,3999,2718,6679
6688,3186,0,3565,3065,7360
5946,2695,0,4140,2218,7245
6212,2114,0,3449,3239,7289
5696,2409,0,3640,2868,7340
6060,2772,0,3286,2483,7520
5849,2339,0,3862,2659,7054
5840,2471,0,4329,2730,7569
6080,2956,0,3657,2591,7375
5650,2646,0,3526,2875,7030
5159,2516,0,3267,2848,7510
6089,2866,0,3616,3323,7402
5709,2502,0,3680,2891,7272
5819,2624,0,3152,2845,7550
6046,3216,0,3734,2378,7315
5723,2496,0,3885,2660,7080
5757,2571,0,3437,2770,7540
5860,2828,0,3698,2440,7472
5953,3724,0,3888,2576,7119
5432,2500,0,3683,2899,7188
5956,2675,0,3301,2746,7516
5803,2579,0,3628,2903,7332
4873,2361,0,3561,3010,7294
5724,2571,0,3216,2134,7564
6017,2718,0,3787,2632,7274
5706,2323,0,3415,3008,7360
5544,2954,0,3543,2593,7586
5952,2773,0,4238,2860,7028
6245,2685,0,3563,2646,7616
6137,2639,0,3464,2811,7162
5690,2643,0,3245,2286,7567
6046,2706,0,3821,2768,7077
6610,2770,0,3389,3056,7503
5854,3189,0,3788,2435,7348
6080,2636,0,4097,2860,7016
6979,2900,0,3456,3140,7416
6149,2880,0,2547,2648,8345
5800,2187,0,3602,2677,7153
5832,2514,0,3137,2985,7279
6138,2892,0,3666,3245,7357
6563,3880,0,3049,3012,7387
5920,2082,0,3825,2808,7128
5633,2536,0,3291,2716,7572
6160,2689,0,3616,2308,7415
5666,2470,0,3580,3212,6836
5975,2805,0,3685,2613,7730
5885,2502,0,3626,2739,7131
