MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
5675,3054,0,3857,2616,7313
5609,3379,0,3752,2732,7767
5305,3667,0,3378,2796,8088
5272,2815,0,4504,3041,7736
5384,3045,0,3989,2615,7586
5813,3335,0,3778,2544,7638
4678,3136,0,3894,2417,7941
5256,2851,0,3844,2883,8552
5848,3410,0,3570,2552,7709
5344,3124,0,3566,2903,7986
5220,2764,0,3707,2949,7121
5812,3378,0,3927,2402,7725
5592,3156,0,3563,2786,8084
6028,2841,0,3634,3061,7704
5571,3119,0,3620,2770,7529
5364,3103,0,3538,2720,7853
5167,2758,0,3701,2856,7636
4290,2991,0,3851,3245,7734
5371,3122,0,3392,2860,7485
5574,2921,0,3754,3259,7371
5654,2951,0,3856,2573,7827
5336,2893,0,3450,2761,7932
5468,3001,0,3894,2850,7408
5574,3264,0,3626,2871,8062
5981,5088,0,3524,3194,7853
5424,2961,0,3866,2915,7380
5502,3004,0,3772,1875,7749
5683,3300,0,3625,2612,7827
5430,3066,0,4303,2991,7928
5335,2842,0,3732,2674,7854
5505,2898,0,3901,2520,7629
5732,3200,0,3718,1973,7924
5232,3229,0,4599,2833,7889
5137,2636,0,3637,3060,7746
5549,3143,0,3903,2771,7530
5615,3103,0,3388,2212,8036
5364,2889,0,3404,2880,7974
5269,2831,0,3656,3041,7631
5344,3033,0,3962,2888,7655
5625,3372,0,3674,2886,7815
5419,3051,0,4266,2844,8035
5502,2958,0,3426,2974,7802
4480,3066,0,3380,2976,7424
5631,3214,0,3699,2521,7927
5535,3143,0,3236,2906,7855
4494,2811,0,3195,3088,7295
5612,3025,0,3866,2904,7794
5517,3067,0,3366,2946,7934
4266,2824,0,3464,3085,7665
5511,3094,0,3860,3276,7851
5584,3098,0,3400,2991,7792
5124,3727,0,3425,2793,8194
5681,3094,0,3947,2740,7665
5652,3317,0,3721,3012,7798
5526,3197,0,3758,2694,8038
5417,3093,0,3474,2909,8076
5853,3993,0,3552,3021,7756
5481,3038,0,4008,2980,7458
5626,3216,0,3658,2484,7900
5470,2624,0,3517,2872,8027
5456,1746,0,3408,3058,7775
5540,3184,0,3618,2384,8128
6336,2934,0,3623,3134,7746
5587,3099,0,3906,2797,7579
5488,3162,0,3546,2888,8020
5114,2779,0,3694,3038,7745
5413,3111,0,3757,2797,7517
5496,3219,0,3523,2720,7610
5065,2985,0,3544,2760,7654
5428,2964,0,3928,2880,7660
5568,3280,0,3926,2516,7508
5389,2905,0,3480,2857,7872
5293,2752,0,3748,2960,7581
5445,3056,0,4040,2967,7496
5546,3152,0,3618,2691,8155
5471,3170,0,3368,2977,7816
5327,2854,0,5143,3009,7684
5751,3264,0,3846,2891,7846
5622,3104,0,4403,2803,7906
5163,2654,0,3651,3268,7678
5858,3270,0,3811,2849,7718
5608,3149,0,3406,3128,7879
5158,2595,0,3660,3067,8164
5713,3266,0,4288,2811,7631
5569,3104,0,3717,3073,7895
5122,2738,0,3529,3178,7488
5527,3102,0,3925,2699,7672
5728,3256,0,3660,2787,7994
5096,2781,0,3566,3154,7286
5724,3125,0,3926,2737,7692
5537,3136,0,4391,2917,7873
5119,2677,0,3408,3109,7677
5547,3207,0,3958,2732,7616
5547,3114,0,3340,2914,7926
5541,3080,0,3940,2952,7488
5480,3015,0,3524,2296,8157
5636,2958,0,2926,2636,7715
5316,2813,0,2908,3069,7375
5668,3026,0,3836,2741,7527
5547,3151,0,3740,1326,7919
5056,3488,0,3541,3008,7824
5732,3240,0,3753,2729,7308
5700,3273,0,3571,2809,7965
5365,2894,0,4605,2772,8000
5453,2972,0,3954,2837,7548
5816,3392,0,3813,2670,7784
6354,2961,0,3347,2861,8005
5367,2882,0,3795,2960,8062
5341,2896,0,3943,2888,7589
5488,3408,0,3780,3828,7769
4852,2511,0,3306,2885,8003
5220,2681,0,3822,3019,7051
5323,2180,0,3806,1000,7884
5543,3616,0,3851,2792,7274
5604,3314,0,3664,2799,8029
5460,2889,0,3672,2530,7678
5361,2991,0,3671,3016,7569
5708,3255,0,3723,2933,7738
5729,3269,0,3872,2581,8067
5597,2954,0,3469,1846,8054
5530,2991,0,3408,2848,7754
5094,2488,0,3524,1056,7672
5440,2856,0,4122,2884,7150
5664,3265,0,3809,2954,7696
5498,2900,0,3627,2740,8044
5225,2640,0,3573,3082,7654
5248,2810,0,3965,2854,7549
5336,3001,0,3848,2848,7601
5368,3093,0,3304,2994,7951
5223,2775,0,3759,2917,8235
5627,3562,0,3963,2864,7557
5560,2965,0,3626,2925,7651
5482,2981,0,3552,2978,7771
5086,2752,0,3589,3131,7649
5867,3032,0,3783,2998,7524
5682,3207,0,3566,2860,7954
5284,2906,0,3537,2949,7870
5450,3028,0,4023,2854,7570
5631,3264,0,3490,2789,7945
5112,2727,0,3607,3117,7648
5487,2985,0,4060,2792,7540
4732,3260,0,3560,2710,7848
5268,2827,0,3456,2990,7815
5448,2896,0,3850,3114,7763
5677,3267,0,3644,2616,7872
5440,2946,0,3478,2804,7924
5425,2889,0,4052,2920,7592
5785,3220,0,3673,2601,7386
5493,2730,0,3480,2816,8178
5261,2814,0,3703,2891,7441
5739,3354,0,3746,2608,7732
5410,2880,0,3490,2940,8001
5235,2711,0,3124,3004,7490
5614,3192,0,3902,2888,7586
5548,3145,0,3675,2628,7842
5449,2938,0,3479,2855,7389
5380,2850,0,3736,3092,8137
5688,3246,0,3776,2501,7772
5580,2529,0,3596,2864,7917
5224,2892,0,3467,2554,8180
5298,2815,0,3693,3109,7589
5490,2886,0,3829,2767,7780
5735,3293,0,3730,2644,7861
5366,3151,0,3556,2794,7993
5384,2898,0,3525,3219,7788
5285,2499,0,3644,3033,7713
5390,3004,0,4063,2788,7588
5684,3232,0,3712,3378,7761
5604,3094,0,3589,2515,7933
5416,2880,0,3487,3218,7274
4878,2936,0,3796,3027,7881
5214,2615,0,3024,2816,7727
5612,3246,0,3573,2714,7822
5240,2760,0,3505,3201,7748
5449,2990,0,4004,2423,7664
5960,3393,0,3828,2541,7704
5754,3154,0,3583,2806,8068
6369,3480,0,3536,3058,7582
5449,2895,0,4093,2368,7519
5477,3169,0,3696,2687,7692
5376,3282,0,3480,3151,8022
5354,2828,0,3871,3185,7464
5726,3275,0,3661,2624,7763
5689,3108,0,3667,2534,7834
5212,2738,0,3724,3123,7686
5353,2917,0,2674,3061,7766
4938,3258,0,3730,2639,8084
5600,3064,0,3291,2900,7973
5184,2645,0,3730,2948,7596
5443,3023,0,3873,2777,7710
5604,3453,0,3742,2612,7785
5568,2646,0,3746,2805,7998
5240,2832,0,3661,3017,7734
5493,2995,0,4036,2925,7469
5701,3179,0,3874,2528,7907
5268,3117,0,3374,2877,7940
5512,2998,0,3394,2856,7944
5339,2888,0,3680,3075,9383
5425,2870,0,3396,2933,7566
5884,3376,0,3827,2914,7677
5577,3163,0,3672,2647,8196
5668,3254,0,3568,2774,7982
5368,2953,0,3408,2818,7958
5302,2915,0,3603,3187,7744
5215,2754,0,3721,2928,7847
5418,3040,0,4293,3008,7409
5360,3008,0,3872,2779,7799
5741,3184,0,3736,2626,7759
5482,3181,0,3688,2610,8039
5365,3236,0,3256,3219,7785
5269,2738,0,3727,3034,7643
5304,2884,0,3661,3055,8352
5456,3065,0,4238,2808,7559
5539,3200,0,3708,2759,7857
5399,3209,0,4388,2876,7864
5250,4020,0,3516,3176,8056
5362,2890,0,3946,2728,7512
4779,2992,0,3723,3003,7726
5721,3252,0,4052,2700,7781
5622,3172,0,3500,2765,7935
5709,3474,0,3740,2725,8132
5394,3184,0,3604,2713,8073
5150,3070,0,3508,2768,5962
5418,2998,0,3824,2727,7916
4908,3681,0,1767,3117,7567
5268,2936,0,3914,2940,7488
5113,2989,0,3886,2771,7709
5517,3271,0,3652,2669,7496
5456,2798,0,2814,2940,7979
5368,2977,0,3762,3156,7688
5370,2812,0,3469,2999,7418
5750,3298,0,3794,3741,7722
5105,3154,0,3359,2871,7840
4196,2649,0,3532,3151,7858
5320,2991,0,4041,2893,7386
4728,3140,0,3894,2836,7498
5588,3392,0,3818,3678,7816
5499,2423,0,3712,2901,7881
5932,3243,0,3511,3092,7202
5236,3874,0,3502,3222,7817
5292,2989,0,3896,2998,7588
