MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,3352,3570,9661
0,0,0,3448,3565,9247
0,0,0,3472,3671,10078
0,0,0,3156,4010,9482
0,0,0,3314,3582,9618
0,0,0,3257,3435,9440
0,0,0,3432,3562,9249
0,0,0,3602,2342,9119
0,0,0,3433,3835,9380
0,0,0,3247,3990,9449
0,0,0,3410,3564,9595
0,0,0,3317,3372,9345
0,0,0,3433,3580,9368
0,0,0,3616,3744,9143
0,0,0,3122,3911,9510
0,0,0,3645,3753,9520
0,0,0,3641,4411,9291
0,0,0,3285,3764,9703
0,0,0,3117,3681,9540
0,0,0,3471,3596,9182
0,0,0,3344,3722,8917
0,0,0,3444,3844,9083
0,0,0,3161,3849,9240
0,0,0,3188,3568,9630
0,0,0,3493,3658,9184
0,0,0,3309,3931,9439
0,0,0,3245,3481,9692
0,0,0,3453,3579,9302
0,0,0,3581,3732,9139
0,0,0,3368,3848,9282
0,0,0,3010,3679,9561
0,0,0,3260,3500,9537
0,0,0,3489,3356,9232
0,0,0,3437,3912,9339
0,0,0,3034,3732,9573
0,0,0,3327,3564,9505
0,0,0,3624,3679,9222
0,0,0,3352,3916,9350
0,0,0,3198,4981,9337
0,0,0,3036,3780,9565
0,0,0,3247,3729,9652
0,0,0,3386,3433,9388
0,0,0,3406,3601,9274
0,0,0,3505,3676,9172
0,0,0,3208,3893,9387
0,0,0,3066,3792,9598
0,0,0,2365,3397,9458
0,0,0,3680,3785,8757
0,0,0,3226,3972,9418
0,0,0,3735,3671,9565
0,0,0,3219,3518,9597
0,0,0,3430,3574,9417
0,0,0,3560,3690,9095
0,0,0,3315,3904,9234
0,0,0,3195,3940,9449
0,0,0,2984,3742,9625
0,0,0,3420,3689,9282
0,0,0,3441,3914,9328
0,0,0,3161,3741,9509
0,0,0,3163,3504,9677
0,0,0,3466,3666,8401
0,0,0,3587,3680,10480
0,0,0,3240,4066,9491
0,0,0,3080,3784,9533
0,0,0,3572,3924,9349
0,0,0,3716,3712,9111
0,0,0,3175,3961,9379
0,0,0,3900,3639,9555
0,0,0,3191,3241,9640
0,0,0,3141,3460,9612
0,0,0,3573,3741,9262
0,0,0,3373,3892,9213
0,0,0,3077,3876,8834
0,0,0,2910,3767,9643
0,0,0,3304,3636,9005
0,0,0,3562,3866,9156
0,0,0,3257,3774,9993
0,0,0,3146,3988,9598
0,0,0,3046,3837,9644
0,0,0,3594,3679,9642
0,0,0,3317,3514,9665
0,0,0,3451,3620,9399
0,0,0,3524,3792,9139
0,0,0,3392,3894,9313
0,0,0,3151,3598,9412
0,0,0,3377,3684,9555
0,0,0,3480,3590,9272
0,0,0,3387,2473,9420
0,0,0,3670,3785,9051
0,0,0,3288,3903,9418
0,0,0,2792,3577,9606
0,0,0,3497,3526,9235
0,0,0,3571,3826,9192
0,0,0,3327,4005,9328
0,0,0,3241,3722,9618
0,0,0,3354,3577,9986
0,0,0,3512,3600,9231
0,0,0,3553,3746,8928
0,0,0,3328,3589,9428
0,0,0,2961,3776,9603
0,0,0,3371,3554,9444
0,0,0,3546,3807,9119
0,0,0,3428,3864,9269
0,0,0,3143,3752,9454
0,0,0,3254,3453,9488
0,0,0,3632,3770,9199
0,0,0,2332,3937,9766
0,0,0,3179,3776,9574
0,0,0,3495,3423,9334
0,0,0,3654,3689,9100
0,0,0,3337,3967,9266
0,0,0,3248,3656,9573
0,0,0,3464,3609,8280
0,0,0,3559,3842,9108
0,0,0,2986,3720,9309
0,0,0,2239,3607,9770
0,0,0,3534,3699,9157
0,0,0,3218,3396,9496
0,0,0,3354,3552,9664
0,0,0,3732,3703,9865
0,0,0,3662,3941,9370
0,0,0,3316,3534,9600
0,0,0,3406,4378,9227
0,0,0,3515,3649,9296
0,0,0,3265,5113,9354
0,0,0,3031,3885,9558
0,0,0,3396,4260,9741
0,0,0,3550,3671,9205
0,0,0,3657,3808,9051
0,0,0,3277,3944,9248
0,0,0,3035,3780,9160
0,0,0,3196,2935,9773
0,0,0,2548,3505,9652
0,0,0,3536,3712,9192
0,0,0,3575,3860,9235
0,0,0,3211,3683,9431
0,0,0,3176,3898,9664
0,0,0,3323,3682,9651
0,0,0,3351,3788,9336
0,0,0,3376,3853,9356
0,0,0,3691,3783,9152
0,0,0,3443,4328,9295
0,0,0,3253,3936,9404
0,0,0,3880,3609,9640
0,0,0,3265,3576,9710
0,0,0,3397,3444,9453
0,0,0,3490,3648,9180
0,0,0,3540,3762,9230
0,0,0,3392,3959,9328
0,0,0,3103,3704,9568
0,0,0,3373,3478,9373
0,0,0,3422,4244,9369
0,0,0,3501,3711,9301
0,0,0,3392,3994,9288
0,0,0,3304,3961,9358
0,0,0,3028,3744,9566
0,0,0,3659,3659,9628
0,0,0,3298,3602,9280
0,0,0,4203,3703,9236
0,0,0,3280,3842,9496
0,0,0,3136,4056,9190
0,0,0,3068,4200,9585
0,0,0,3437,3825,9623
0,0,0,3264,3476,9495
0,0,0,3410,3399,9423
0,0,0,3373,3317,9342
0,0,0,2692,3677,9487
0,0,0,3416,3586,9684
0,0,0,3592,3624,9256
0,0,0,3477,3738,9228
0,0,0,3530,3874,10120
0,0,0,3394,4012,9415
0,0,0,3062,3725,9542
0,0,0,3264,3474,9701
0,0,0,3300,3600,9402
0,0,0,3574,3624,9256
0,0,0,3521,3618,9237
0,0,0,3304,4037,9383
0,0,0,2985,3897,9589
0,0,0,3353,4785,9427
0,0,0,3592,3661,9176
0,0,0,3417,3925,9330
0,0,0,3267,3656,9672
0,0,0,3430,3640,9169
0,0,0,3275,3937,9328
0,0,0,3278,3538,9773
0,0,0,3628,3264,9223
0,0,0,3489,3913,9306
0,0,0,3081,3735,9580
0,0,0,3453,3616,9318
0,0,0,3343,3907,9319
0,0,0,3073,3777,9564
0,0,0,3609,3706,9102
0,0,0,3322,4008,9412
0,0,0,3014,3748,9659
0,0,0,3273,3483,9762
0,0,0,3496,3585,9654
0,0,0,3929,3677,9688
0,0,0,3404,4255,9439
0,0,0,3544,3886,10086
0,0,0,3134,4107,9529
0,0,0,3337,3574,9624
0,0,0,3554,3608,9287
0,0,0,3417,4010,9300
0,0,0,3210,4096,9528
0,0,0,3452,3812,9681
0,0,0,3380,3561,9420
0,0,0,3532,3611,9263
0,0,0,3533,3763,9212
0,0,0,3245,3470,9419
0,0,0,3178,3827,9481
0,0,0,3119,3619,9648
0,0,0,3458,3611,9358
0,0,0,3628,3806,10035
0,0,0,3200,4048,9512
0,0,0,3036,3751,9592
0,0,0,3186,3597,9668
0,0,0,3405,3378,9531
0,0,0,3500,3733,9266
0,0,0,3637,3858,9389
0,0,0,3369,3889,9301
0,0,0,3104,3813,9484
0,0,0,3364,3487,9472
0,0,0,3562,2472,9257
0,0,0,3586,3854,9130
0,0,0,3393,3976,9312
0,0,0,3123,3702,9578
0,0,0,3198,3598,9680
0,0,0,3374,3450,8756
0,0,0,3458,3803,9369
0,0,0,3568,3754,9241
0,0,0,3405,3930,9265
0,0,0,3069,3752,9557
0,0,0,3464,3629,9188
0,0,0,3402,3850,9394
0,0,0,3055,3813,9620
0,0,0,3374,3283,9484
0,0,60,3549,3829,9100
0,0,0,3173,4106,9536
0,0,0,3140,3799,9605
0,0,0,3439,3429,9431
0,0,0,3459,3596,9210
0,0,0,3373,3915,9396
0,0,0,3152,3556,9476
0,0,0,3220,3716,9698
0,0,0,3494,3588,9391
0,0,0,3548,3633,9196
0,0,0,3628,3754,9148
0,0,0,3376,3904,9284
0,0,0,3019,3773,9597
0,0,0,3206,3672,9892
0,0,0,3232,3724,9305
0,0,0,3350,3978,9370
0,0,0,3118,4019,9547
0,0,0,3415,4575,9377
0,0,0,3536,3884,9290
0,0,0,3270,4032,9485
0,0,0,3310,1770,9501
0,0,0,3505,3649,9227
0,0,0,3239,3913,8919
0,0,0,3274,3683,9701
0,0,0,3341,3374,9516
0,0,0,3562,3915,9812
0,0,0,3338,4090,9406
0,0,0,3118,3771,9574
0,0,0,3258,3581,9696
0,0,0,3455,3678,9116
0,0,0,3319,3867,10356
0,0,0,3123,3020,9546
0,0,0,3099,3848,9608
0,0,0,3300,3648,9616
0,0,0,3210,3513,9765
0,0,0,3305,3470,9731
0,0,0,3037,3815,9157
0,0,0,3334,4082,9972
0,0,0,3125,3722,9627
0,0,0,3302,3472,9469
0,0,0,3545,3674,9299
0,0,0,3376,3960,9372
0,0,0,2535,3917,9636
0,0,0,3318,3620,9678
0,0,0,3404,3440,9371
0,0,0,3582,3766,9136
0,0,0,3273,3928,9354
0,0,0,4381,3696,9778
0,0,0,2722,3532,9556
0,0,0,3583,3885,9108
0,0,0,3332,3984,9417
0,0,0,3263,3652,9644
0,0,0,3747,3672,9218
0,0,0,3571,3834,9648
0,0,0,3156,3904,9565
0,0,0,3144,3442,9752
0,0,0,3521,3756,9286
0,0,0,3601,3140,9254
0,0,0,3572,3702,9182
0,0,0,3552,2864,9258
0,0,0,3382,3924,7692
0,0,0,3282,4093,9450
0,0,0,4290,3736,9632
0,0,0,3355,3492,9451
0,0,0,3522,3756,9215
0,0,0,3371,3979,9367
0,0,0,3346,3925,9312
0,0,0,3280,3933,9387
0,0,0,3157,4054,9473
0,0,0,3315,4052,9585
0,0,0,3047,3703,9658
0,0,0,3374,3690,9256
0,0,0,3482,3736,9276
0,0,0,3631,3627,9196
0,0,0,3496,3955,9317
0,0,0,3340,3852,9408
0,0,0,3194,4053,9476
0,0,0,3217,3901,9529
0,0,0,3585,3690,9621
0,0,0,3184,3592,9750
0,0,0,3489,3530,9515
0,0,0,3610,3696,9307
0,0,0,3690,3822,9128
0,0,0,3329,3526,9282
0,0,0,3223,4057,9498
0,0,0,2594,3856,11460
0,0,0,3333,3924,9711
0,0,0,3451,3705,9333
0,0,0,3399,3833,9645
0,0,0,3232,4020,9522
0,0,0,3136,3929,9389
0,0,0,3240,4063,9473
0,0,0,3343,3981,9372
0,0,0,3295,4058,9493
0,0,0,2999,3733,9331
0,0,0,3200,3776,9609
0,0,0,3465,4538,9331
