MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
8428,8519,0,3959,2659,8020
7864,8376,32,3529,2686,8183
8077,9462,0,3515,2683,8322
8158,8417,116,3917,2624,8160
9340,8640,0,3642,2585,8336
8619,8443,0,3569,2124,8332
8490,8576,1067,3549,2360,8256
7429,9207,0,3658,2730,8191
8144,9184,0,3583,1300,8191
9354,9009,0,3539,2490,8233
8985,8865,0,3313,1789,8140
8090,9106,0,3658,2189,8329
7820,9346,57,3682,2646,8272
7547,8456,71,3786,2421,8187
8357,8468,136,3625,2378,8297
8390,8648,298,4170,2525,8089
8734,9079,630,4172,2350,9348
8488,9061,529,4005,3025,8016
8538,9016,345,3908,2092,8159
8364,8744,0,3753,2198,8474
7546,8626,156,4139,1813,8512
7695,8630,429,3496,2050,8258
8412,8659,0,3649,2614,8187
8719,9880,1120,3592,2508,8178
8462,8698,846,3615,2417,8195
8302,8672,130,4988,2368,8320
8377,8730,321,3838,2232,8471
8315,8888,466,3784,2286,7974
8465,7816,172,4267,2319,8191
8215,8648,603,3615,2254,8182
8256,8603,996,3638,2328,8310
8801,8358,40,3758,2414,8209
8909,8886,274,3686,2389,8154
8205,8508,23,3708,2632,8145
8875,8643,0,3488,2429,8332
8215,8420,45,3692,2760,8138
8199,8838,0,3706,2668,8216
8204,9459,108,3797,2509,8145
8150,8539,301,3825,2396,8128
8294,9051,389,3866,2552,8048
8501,8486,111,3705,2640,7979
8453,8712,1409,3580,2478,8292
8400,8670,1405,3365,2732,8300
8325,8668,457,3666,2344,8244
8435,8688,0,4516,2152,8256
8549,8734,272,3888,1718,8292
8323,8721,322,3674,2225,8602
7858,8740,247,3706,2145,8441
8568,8940,337,3880,3309,8088
8638,8969,274,3839,2700,7660
8650,9066,482,3935,2256,8002
8517,9030,0,4069,2376,7866
8484,8764,299,3941,2547,7794
8329,8541,112,3761,2684,8071
8160,8430,18,3819,2643,8053
7723,8439,18,3846,2638,8217
8169,9113,210,3341,2628,8344
8111,8519,0,3269,2439,8257
8287,8621,122,3800,2704,8168
8282,8552,205,3791,2661,7931
8214,8458,44,3838,2655,8240
8328,8514,796,3530,2350,8376
8154,8661,74,4356,2356,7749
8540,8857,390,4004,2286,8072
8295,8698,464,3542,2265,7943
8598,8568,224,3844,2481,7944
8403,8604,215,4027,2505,8740
8389,8642,270,4116,2339,7848
8330,8657,63,4148,2448,8354
8424,8635,268,4040,2469,8191
8237,8492,204,3844,2716,8221
8131,8266,765,3684,2612,8186
8723,8648,340,3818,2145,8294
8115,8770,297,3591,1950,8280
8440,8785,272,3773,2299,8304
8604,8868,280,3788,2296,8354
8568,8880,280,3771,2314,8425
8583,8881,186,3692,2217,8209
8594,8853,245,3749,3275,8056
8626,8925,360,4004,2293,8118
8560,8956,425,4032,2199,7633
8652,8575,420,4064,2293,6911
8641,8955,520,4053,2240,7754
8571,8905,520,4060,2255,7943
8332,8838,576,4158,2089,7768
8081,8734,382,3880,2706,8516
8072,8556,183,3832,2696,8026
9679,8937,0,3576,2454,8302
9190,8764,0,3617,2673,8180
8256,8616,0,3577,2551,8298
8325,8794,109,3433,2337,8304
8680,8518,464,3562,2362,8191
8389,8632,739,3528,2347,8412
8306,8643,10,3608,2283,8342
8120,8788,0,3608,1984,8170
8312,8584,944,3501,2392,8336
8333,8618,1070,3548,2489,8904
8401,8693,72,4278,2349,8187
8399,8740,48,3713,2342,8117
8504,8841,330,3980,2094,8191
8488,8931,416,3974,2030,8086
8904,8780,360,3829,2346,8258
8492,8768,303,4187,2410,8047
8505,8806,547,3512,2404,7773
8415,8689,344,4104,2471,8866
8367,8781,389,4009,2508,8372
8840,8803,568,4072,2465,7916
8816,8345,489,4072,2400,7842
8724,8993,445,4106,2363,7829
8575,8889,358,3966,2131,7962
8427,8724,346,3796,2067,8310
8421,8794,100,3781,2334,8354
8652,8592,918,3578,2522,8332
8454,8587,506,3606,2388,8424
8361,8947,152,3812,2303,8268
8322,8772,526,3817,2182,8406
8343,8745,312,3977,2172,8397
8492,8858,429,3973,2092,8191
8630,8731,524,3982,2236,8031
8703,8516,565,3322,2425,8102
8695,9109,587,4015,2250,7992
8444,8796,93,3973,2452,7938
8586,8770,77,4062,2482,7921
8784,8618,0,3992,2476,7887
8026,8594,302,4130,2438,7741
8188,8482,72,3863,2527,7775
8084,8353,0,3729,2570,8272
8062,8367,111,3790,2566,8052
8129,8398,92,3747,2544,8191
8132,9298,0,3728,2555,8199
8657,8799,0,3776,2661,8203
8322,8872,277,3916,2241,8340
8497,8682,308,3978,2522,8211
8507,8962,413,3929,1972,8219
8616,8970,571,3845,2184,8124
8729,9060,0,4022,2376,7947
8273,8559,208,3828,2462,7911
8323,8768,495,4057,2242,7045
8726,8722,0,3816,2400,8001
8965,8573,0,3630,2221,8018
8722,8997,452,4147,2261,8080
8721,8734,466,3635,2349,8051
8475,8623,0,4112,2441,7972
8479,8523,500,4376,2402,7915
8361,8794,282,3488,2342,7882
8703,8868,520,3928,3174,8079
8789,8010,526,3891,2440,7981
8245,8616,207,3795,2085,8904
8256,8514,164,4003,2389,8022
8400,8711,0,4077,2158,8008
8282,8605,512,4161,2196,8050
8063,8811,528,4076,1822,7962
7461,8785,509,4010,2505,7969
8496,8773,166,3755,2591,7835
7689,8612,148,3836,2630,8149
7794,8421,0,3711,2618,8197
9120,8606,0,3568,2431,8191
9393,8917,0,3414,2536,8256
8076,9024,0,3672,2222,7713
8664,8620,0,3633,2226,8472
8330,8661,2,3809,2193,8489
8568,8814,362,3967,1970,8128
8780,8759,568,4144,2373,7950
8400,8680,80,3994,2531,8157
8297,8389,0,3837,2576,8283
8164,8402,0,3732,2600,8268
8116,8325,111,3739,2557,8200
8781,8836,0,3590,2403,8253
8191,8266,133,3543,2308,8361
8271,8757,144,4086,2078,8268
8521,8832,461,3748,2275,8372
8446,8837,174,3723,2351,8011
8367,8485,160,4196,2393,8237
8390,8640,924,3850,2359,7896
8567,8844,0,3896,2198,8384
9114,9159,324,4124,2309,7990
9142,9304,730,4124,2736,7762
9018,9254,659,3776,2265,8184
9056,9350,554,3930,2904,8082
9111,9462,637,4042,2343,7949
8777,9296,524,4061,2036,7959
9145,9338,200,4109,2266,8043
8779,8817,0,3624,2373,8097
8416,8866,354,4033,2505,8142
8721,8452,347,3900,2538,8120
7982,8857,244,3850,2567,8325
8196,8903,365,3807,1912,8212
8008,8726,201,3675,2563,8191
9092,8931,37,3566,2472,8344
8669,8618,400,3786,2110,8436
9010,9264,538,3916,1996,8184
9024,8218,704,3727,2370,8031
8591,8869,325,3920,2276,8061
8524,8740,292,4045,2374,8266
8680,8841,1291,3546,2371,8347
8816,9190,352,3912,2166,8584
8788,8569,0,3934,2411,7778
8500,8695,181,3573,1899,8166
9286,9942,16,3537,2753,8191
8774,9228,309,4515,2217,8156
9033,9395,732,4068,2400,7972
8319,8833,263,3731,1968,8020
8502,8840,1134,3895,2112,8579
8541,9044,0,3972,2059,8431
8636,9145,453,3794,1850,8400
8882,9280,570,3928,2718,8106
8882,9401,581,3987,2282,8188
8722,9054,0,4050,1867,7957
8496,8770,412,3835,2428,8144
8557,8833,302,3690,2319,8320
8795,9144,477,3970,2112,8245
