MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4009,3545,9358
0,0,0,3958,4569,9189
0,0,0,3785,4404,9480
0,0,0,3610,4591,9418
0,0,0,3616,4644,9489
0,0,0,3681,4716,9361
0,0,0,3647,4947,9360
0,0,0,3848,4837,9222
0,0,0,4140,4607,9100
0,0,0,3868,4589,9515
0,0,0,3862,5460,9296
0,0,0,4012,4692,9128
0,0,0,3394,4865,9224
0,0,0,4052,4392,9160
0,0,0,3768,4861,9357
0,0,0,3921,4754,8948
0,0,0,3864,4812,9289
0,0,0,3970,4843,9149
0,0,0,4264,4645,9041
0,0,0,3996,5381,9241
0,0,0,3963,4625,9300
0,0,0,4208,4681,9034
0,0,0,3381,4747,8964
0,0,0,4003,4567,9223
0,0,0,4036,4537,9304
0,0,0,3831,4404,9642
0,0,0,3883,4424,9224
0,0,0,4205,4631,8993
0,0,0,3936,4469,9081
0,0,0,3800,4498,9498
0,0,0,3785,4800,9323
0,0,0,3874,3218,9107
0,0,0,3674,4968,9361
0,0,0,3896,4866,9238
0,0,0,3965,4418,9455
0,0,0,3816,4598,9525
0,0,0,3636,4718,9425
0,0,0,3703,4867,9339
0,0,0,4035,4617,9265
0,0,0,3935,4625,9437
0,0,0,3816,4914,9392
0,0,0,3967,4724,9144
0,0,0,4232,4562,9105
0,0,0,4267,4664,9066
0,0,0,4134,4520,9168
0,0,0,3995,3626,9356
0,0,0,3985,4300,9329
0,0,0,3999,4707,9087
0,0,0,4128,4854,9247
0,0,0,4129,4288,9349
0,0,0,3922,4416,9564
0,0,0,3857,4475,9308
0,0,0,3916,4292,9336
0,0,0,4613,4575,9544
0,0,0,4664,4607,9463
0,0,0,3583,4606,9371
0,0,0,3783,4800,9233
0,0,0,4128,4910,9184
0,0,0,3769,4607,9552
0,0,0,3624,4758,9406
0,0,0,3642,4655,9448
0,0,0,3712,4842,9262
0,0,0,3900,4846,9260
0,0,0,4446,4548,9123
0,0,0,3962,4546,8721
0,0,0,3589,2154,9488
0,0,0,3824,4796,9152
0,0,0,3978,4721,9258
0,0,0,3752,4428,9664
0,0,0,4149,4605,9020
0,0,0,3826,4874,9280
0,0,0,3829,4928,9280
0,0,0,3752,4488,9574
0,0,0,4735,4586,9423
0,0,0,4641,4404,9423
0,0,0,3616,4607,9447
0,0,0,3849,4587,9528
0,0,0,3949,4388,9332
0,0,0,5029,4404,9658
0,0,0,4535,4625,9465
0,0,0,3662,4859,9506
0,0,0,4180,4660,8758
0,0,0,4036,4607,9139
0,0,0,3882,4506,9381
0,0,0,3685,4944,7951
0,0,0,3824,4587,9232
0,0,0,3886,4461,9379
0,0,0,3612,4607,9425
0,0,0,4177,4648,9092
0,0,0,4032,4535,9252
0,0,0,3531,4677,9514
0,0,0,4112,4804,10126
0,0,0,4036,4323,9314
0,0,0,4041,4745,9768
0,0,0,3583,4718,9455
0,0,0,3942,4362,9343
0,0,0,4036,4615,9165
0,0,0,3642,4642,8958
0,0,0,3742,4613,9559
0,0,0,4262,5030,8948
0,0,0,3705,4842,9333
0,0,0,3986,4347,9355
0,0,0,3665,4661,9267
0,0,0,3583,4629,9573
0,0,0,3940,4561,9476
0,0,0,3905,4789,9219
0,0,0,3951,4356,9375
0,0,0,3606,4620,9451
0,0,0,4187,4641,9080
0,0,0,4108,3856,9244
0,0,0,3845,4657,9596
0,0,0,3904,4806,10115
0,0,0,4032,4386,9264
0,0,0,3911,4842,9176
0,0,0,4110,4504,9111
0,0,0,3602,4160,9496
0,0,0,3817,4829,9335
0,0,0,3897,4876,9237
0,0,0,3918,4520,9492
0,0,0,3709,4733,9352
0,0,0,4164,4517,9096
0,0,0,3840,4644,9488
0,0,0,3920,4816,9098
0,0,0,4011,5691,8227
0,0,0,4690,4582,9649
0,0,0,3561,4666,9312
0,0,0,3813,4901,9226
0,0,0,3869,4794,9227
0,0,0,3981,4708,8857
0,0,0,3936,3888,9403
0,0,0,3671,4898,9337
0,0,0,4106,4634,9097
0,0,0,3774,4479,10330
0,0,0,3607,4756,9439
0,0,0,3728,4750,8972
0,0,0,4020,4751,9115
0,0,0,3328,4724,9968
0,0,0,3652,4691,9380
0,0,0,3959,4727,9268
0,0,0,3979,4746,9866
0,0,0,4233,4624,8966
0,0,0,3757,4897,9331
0,0,0,4246,4613,9062
0,0,0,3882,4425,9604
0,0,0,4488,4546,9536
0,0,0,3617,4710,9445
0,0,0,4111,4600,9131
0,0,0,3776,4599,9510
0,0,0,3635,4758,9515
0,0,0,4099,4840,9306
0,0,0,4057,4612,9089
0,0,0,4097,5008,8868
0,0,0,3583,4349,9484
0,0,0,3628,4696,9426
0,0,0,3811,4786,8868
0,0,0,4173,4315,9093
0,0,0,3875,4532,9455
0,0,0,3583,4726,9384
0,0,0,4219,4746,8996
0,0,0,4270,4660,9162
0,0,0,3674,4501,9550
0,0,0,3709,4745,10241
0,0,0,3653,4842,9401
0,0,0,3716,3363,9379
0,0,0,3792,4842,9339
0,0,0,3861,4557,9128
0,0,0,3780,4497,9323
0,0,0,3146,4911,9364
0,0,0,4302,4805,8898
0,0,0,4117,4607,9120
0,0,0,4017,3700,9370
0,0,0,3857,4656,9554
0,0,0,2681,4733,9447
0,0,0,4238,4719,8682
0,0,0,4006,4482,10349
0,0,0,3682,4622,9411
0,0,0,3824,4807,9096
0,0,0,4152,4574,9043
0,0,0,4313,5253,9188
0,0,0,3964,4404,9591
0,0,0,4328,2687,9451
0,0,0,3710,4945,10579
0,0,0,4146,4708,9441
0,0,0,4334,4607,8935
0,0,0,4300,4704,9000
0,0,0,4042,4405,9273
0,0,0,3716,5780,9334
0,0,0,3912,4351,9374
0,0,0,3846,4284,9612
0,0,0,4036,4590,9080
0,0,0,3765,4606,9542
0,0,0,4240,4354,9536
0,0,0,3912,4467,9491
0,0,0,3915,4451,9524
0,0,0,3683,4678,9368
0,0,0,5374,4967,9238
0,0,0,3976,4780,9320
