MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,0,0,4588,4021,10851
0,0,0,4884,3973,10786
0,0,0,5349,3951,10924
0,0,0,5082,3788,11087
0,0,0,4718,4224,10944
0,0,0,4731,3775,11217
0,0,0,5020,3827,10774
0,0,0,4930,4298,10771
0,0,0,4777,2486,11364
0,0,0,5069,3776,10728
0,0,0,4773,4129,11059
0,0,0,5376,3600,11183
0,0,0,4767,3936,11069
0,0,0,4765,3732,11224
0,0,0,4879,3980,10885
0,0,0,4833,4028,11088
0,0,0,4842,3967,10921
0,0,0,5545,3526,10960
0,0,0,4833,3944,10939
0,0,0,4607,3888,11138
0,0,0,4839,3967,10856
0,0,0,4651,4222,11007
0,0,0,4947,3597,10965
0,0,0,5059,3748,10690
0,0,0,5077,3783,10791
0,0,0,6356,3824,11121
0,0,0,4708,4113,11042
0,0,0,5073,3777,9924
0,0,0,4611,4015,11156
0,0,0,5026,3804,10733
0,0,0,4756,3739,11101
0,0,0,5061,3833,10660
0,0,0,4723,4041,10976
0,0,0,5276,3904,12017
0,0,0,4565,3583,11268
0,0,0,4681,4108,10945
0,0,0,5036,3696,10865
0,0,0,4962,3614,9928
0,0,0,4748,3892,11057
0,0,0,4810,3448,10961
0,0,0,4934,4566,10574
0,0,0,5674,3755,11147
0,0,0,5262,3865,11570
0,0,0,4707,4781,11025
0,0,0,5136,3761,10706
0,0,0,4812,3751,11230
0,0,0,4984,4288,10945
0,0,0,5181,3838,10704
0,0,0,4805,4230,10980
0,0,0,4954,3415,11062
0,0,0,5185,3806,10679
0,0,0,4683,3813,11091
0,0,0,4929,4001,10902
0,0,0,5121,3866,10738
0,0,0,5254,3804,10755
0,0,0,4617,3962,9840
0,0,0,4930,3970,10790
0,0,0,4617,3876,11032
0,0,0,4951,4032,10832
0,0,0,6009,3776,11130
0,0,0,5048,3713,10787
0,0,0,4832,3873,10924
0,0,0,4835,4145,10947
0,0,0,4635,3576,11047
0,0,0,4579,3888,11190
0,0,0,4915,3927,11424
0,0,0,5027,3826,10861
0,0,0,5211,3610,10653
0,0,0,4644,4137,11022
0,0,0,5305,3965,10820
0,0,0,4898,4099,10485
0,0,0,5036,3612,10797
0,0,0,4889,4119,10959
0,0,0,4668,3844,10952
0,0,0,5182,3764,10793
0,0,0,4897,2900,10932
0,0,0,5029,3682,10330
0,0,0,4874,4271,10928
0,0,0,4607,3755,11300
0,0,0,5066,4187,10853
0,0,0,5146,3236,10750
0,0,0,4790,4162,11010
0,0,0,5166,3807,10704
0,0,0,4872,4009,10876
0,0,0,5658,3804,11161
0,0,0,4823,3660,10897
0,0,0,4837,4193,10969
0,0,0,4883,3748,11007
0,0,0,5168,3871,11722
0,0,0,4459,3795,11172
0,0,0,4826,3605,10972
0,0,0,5037,3264,10770
0,0,0,4779,4148,11024
0,0,0,4888,3693,11132
0,0,0,4934,3864,10952
0,0,0,5549,3798,11210
0,0,0,4805,4108,10979
0,0,0,5048,3949,10928
0,0,0,4857,4190,10870
0,0,0,5056,4204,10804
0,0,0,4936,3930,10963
0,0,0,5056,4036,10941
0,0,0,4752,3776,11289
0,0,0,5182,3583,10741
0,0,0,4245,3589,11007
0,0,0,4880,4197,11027
0,0,0,4995,3756,10789
0,0,0,5312,3825,11223
0,0,0,5167,3597,10751
0,0,0,4607,3946,11143
0,0,0,4696,3915,11055
0,0,0,5147,3805,10727
0,0,0,4811,3344,10908
0,0,0,5080,3791,10751
0,0,0,4921,2626,11134
0,0,0,4980,3484,10968
0,0,0,4798,4155,11011
0,0,0,4889,3583,10984
0,0,0,4990,4502,10805
0,0,0,4988,3886,10842
0,0,0,4607,3126,11107
0,0,0,3834,3468,11208
0,0,0,3732,3640,11152
0,0,0,4921,4004,11201
0,0,0,4764,4111,10967
0,0,0,4800,3566,10912
0,0,0,4699,3708,11054
0,0,0,5082,3798,11964
0,0,0,4870,3880,10892
0,0,0,4734,3839,11271
0,0,0,4805,3684,11032
0,0,0,4752,3880,10951
0,0,0,4936,4120,10987
0,0,0,4890,3583,11048
0,0,0,5009,3670,11272
0,0,0,4741,4160,10950
0,0,0,5202,3854,10619
0,0,0,4884,3828,11214
0,0,0,4764,3891,11205
0,0,0,4795,4024,10982
0,0,0,4644,3898,11099
0,0,0,4606,3810,11067
0,0,0,5048,3666,10790
0,0,0,4855,3673,11048
0,0,0,4892,2760,10906
0,0,0,5095,3831,10681
0,0,0,5022,3745,10909
0,0,0,4768,3764,11305
0,0,0,4730,4160,11000
0,0,0,5208,3837,10615
0,0,0,4739,3692,11001
0,0,0,4885,4114,10905
0,0,0,5023,3583,10888
0,0,0,4928,4458,10937
0,0,0,4742,3780,11117
0,0,0,4916,4174,10840
0,0,0,6094,4226,10877
0,0,0,5300,3828,11192
0,0,0,4572,3532,11132
0,0,0,4776,4025,10650
0,0,0,4880,3568,10852
0,0,0,4564,3864,11063
0,0,0,5017,3583,10788
0,0,0,5032,3695,10829
0,0,0,4854,3937,10896
0,0,0,4774,3993,11043
0,0,0,5019,3838,10837
0,0,0,4554,3930,11176
0,0,0,5139,3902,10842
0,0,0,4876,4140,10938
0,0,0,4732,3818,11097
0,0,0,4793,3578,11063
0,0,0,4862,3987,10932
0,0,0,4660,3946,11048
0,0,0,5076,4631,10911
0,0,0,4607,3773,11088
0,0,0,4892,4176,10888
0,0,0,4832,3810,11107
0,0,0,5065,3733,11289
0,0,0,4651,3974,11115
0,0,0,4960,3649,10955
0,0,0,5019,3963,11848
0,0,0,4684,3839,11012
0,0,0,5184,3731,11224
0,0,0,5129,3885,10273
0,0,0,4800,4661,10829
0,0,0,4747,4180,10951
0,0,0,5165,3771,11200
0,0,0,5165,3880,10725
0,0,0,4930,3508,11116
0,0,0,4816,4229,10947
0,0,0,4912,3993,10902
0,0,0,4910,3904,11637
0,0,0,4928,3957,11016
0,0,0,4842,3736,11184
0,0,0,5027,3721,10877
0,0,0,5190,3925,10691
0,0,0,4986,3968,10864
0,0,0,4928,3788,10888
0,0,0,4846,3676,11296
0,0,0,4607,3779,11102
0,0,0,5154,3849,10777
0,0,0,4934,3989,10180
0,0,0,4633,3882,11051
0,0,0,4792,4134,10909
0,0,0,4405,3766,11316
0,0,0,4896,3789,10864
0,0,0,5209,3808,10749
0,0,0,4876,4150,10881
0,0,0,4846,3663,11076
0,0,0,4620,4024,10912
0,0,0,4868,4173,10893
0,0,0,4648,4136,10896
0,0,0,5257,3865,10701
0,0,0,4850,3945,10889
0,0,0,5142,3686,10805
0,0,0,5164,3489,10751
0,0,0,5031,4110,10862
0,0,0,5028,4516,11164
0,0,0,5634,3588,11221
0,0,0,4630,3783,11115
0,0,0,4573,3418,11129
0,0,0,4603,3886,9936
0,0,0,4991,4310,10811
0,0,0,5037,3807,10825
0,0,0,4748,4168,11034
0,0,0,5135,3933,11669
0,0,0,4658,3977,11160
0,0,0,5163,3945,10770
0,0,0,5612,3888,11129
0,0,0,4880,3914,10466
0,0,0,5094,3905,10604
0,0,0,4996,3792,10834
0,0,0,4898,4018,10891
0,0,0,5067,3839,11134
0,0,0,4722,4190,10976
0,0,0,4970,3723,10919
0,0,0,4899,3650,11037
0,0,0,5044,3957,10893
0,0,0,4919,3664,11016
0,0,0,4707,3950,11064
0,0,0,5856,3752,11166
0,0,0,4746,3882,11736
0,0,0,4645,3913,11069
0,0,0,4838,4118,10910
0,0,0,5168,3898,10905
0,0,0,4913,4244,10939
0,0,0,4838,3044,10928
