MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,16914,588,4272,5139,10816
0,16890,562,4329,4970,10632
0,17640,466,4320,4773,10669
0,16712,511,4376,4720,10707
0,16850,574,4154,5017,10803
0,16694,424,4059,5076,10692
0,16963,738,4281,4937,10751
118,17525,542,4266,4607,10803
0,17048,673,4398,4594,10912
0,16852,459,4053,5253,10637
0,17098,958,4486,4274,10597
0,16595,0,4308,5022,10751
0,16963,752,4504,4640,10664
0,17018,628,4253,5202,10747
0,16692,411,4030,4777,10808
0,16888,511,4228,5187,10548
106,17502,465,4293,5260,10712
0,16992,546,4123,5158,10838
0,16741,345,4057,5268,10818
0,17010,351,4367,5024,10786
0,16770,655,4169,4941,10893
0,17212,342,4434,4207,10684
0,16964,536,4394,4970,10488
0,16866,775,4310,4599,10613
0,17030,563,4458,4783,10706
0,16518,528,4546,4968,10859
0,16620,409,4109,4845,10495
28,16942,500,5024,4700,10358
0,16807,645,3813,5222,10115
0,16793,511,4195,5269,10674
0,16627,778,4477,4810,10376
0,16508,876,3986,4739,11136
0,16681,903,4486,4607,10660
0,16862,855,4362,4494,11035
0,17516,680,4296,4730,11134
0,16388,1535,3981,4870,11440
0,16485,824,4380,4321,10751
0,16759,1168,4593,4732,10587
0,16703,892,4496,4454,10751
0,16587,548,4550,5148,10673
0,16434,613,4242,4637,11025
0,16421,718,4326,4658,11148
0,16808,564,4780,4883,9940
0,16054,794,4604,4918,10797
67,16789,609,4496,4865,10576
0,16518,580,4239,4595,10622
0,16427,542,4221,5160,10726
0,16695,177,4578,4828,10620
0,16040,0,4239,5042,10754
0,16497,716,4430,5052,10594
0,16372,0,4234,5188,10709
0,16107,1732,3996,5030,10808
0,16406,686,4439,5161,10614
0,16044,508,4955,4733,10976
0,16320,437,4369,5033,10662
0,16707,738,4355,4773,10758
0,16038,453,4418,4827,10964
0,16232,988,4142,4831,10985
0,16496,574,4753,4785,10660
0,16249,338,4171,5152,10728
0,17233,368,4386,4790,10846
0,16412,721,4471,4607,10635
0,16465,648,4475,4607,10677
0,16303,204,3990,5252,10828
0,16662,446,4235,4607,11037
0,16711,969,4397,4164,10733
0,16558,511,4295,5083,10784
0,16666,356,4056,4932,10771
0,16682,797,4595,4722,10678
0,16400,1097,4584,4993,11033
0,16615,562,4388,4930,10752
0,16552,471,4268,5216,10772
0,16085,866,4346,4512,10786
0,16422,323,4325,4991,10583
0,16768,864,4843,4735,10448
106,17623,247,5014,5876,10650
0,16592,644,4381,5178,10718
0,16979,673,4469,5011,11266
0,16128,396,4062,5208,10952
0,16493,288,4013,5219,10773
0,16015,562,4660,4876,10349
0,16618,878,4298,4647,10784
0,16135,391,4735,4772,10932
0,16335,135,4247,4788,9854
0,16828,976,4556,5054,10433
0,16304,308,3997,4991,10790
0,17143,800,4413,4842,10878
0,17124,618,4589,5016,10480
