MQ 7,MQ 9,TGS 822,TGS 2600,TGS 2602,TGS 2611
0,18813,977,3650,2937,8626
0,19027,993,3613,1593,8729
0,18672,819,3593,2564,8707
0,18822,0,3490,2757,9144
0,18676,0,2991,3178,8414
0,18888,584,3189,3296,8804
0,18976,1013,3729,2976,8491
0,18969,3827,3556,2908,8521
0,18238,956,3517,1760,8825
0,18633,291,2894,2476,9378
0,18624,1887,3260,2904,9068
0,18676,492,3364,3140,8629
0,18696,781,3522,2723,8738
0,18721,1265,3277,3019,8948
0,18597,677,3894,2932,8890
0,18840,824,3617,3045,8315
0,18735,596,3332,2800,8986
0,18496,685,3663,3018,8940
0,18563,450,3317,3041,8890
0,19339,592,3302,3128,8654
0,18977,714,3676,2868,8968
0,18995,877,3597,3315,8888
0,18480,0,3399,3435,9067
0,18492,329,3268,3249,8658
0,19534,648,3373,2956,9112
0,18816,888,1845,3163,8761
0,18596,805,3444,2718,8885
0,18608,527,3605,2774,8994
0,18780,584,3401,3160,9883
0,18804,878,3560,3462,8783
0,18627,951,3331,2752,9031
0,18541,996,3724,2881,8996
0,18841,622,3465,3171,8823
0,19035,1023,3776,2677,8610
0,18795,909,3649,2697,8185
0,18671,950,3424,2705,8821
0,18562,689,3289,2752,9137
0,18764,320,3048,3114,8944
0,19120,860,3012,3225,8667
0,19073,790,3680,2856,8588
0,18951,1000,3628,2693,8657
0,18242,725,3327,2939,9215
0,18704,539,3303,3752,8965
0,18782,510,3420,3402,8361
0,18873,600,3341,3246,8768
0,18924,958,3598,3094,8578
0,18757,691,3273,2757,8904
131,19627,398,3304,3124,8667
0,19091,368,3269,3069,8970
0,19330,561,3364,3198,8776
0,19186,1370,3663,2852,8696
0,18462,599,3071,2809,9045
0,18895,629,3394,3413,8756
0,19036,784,3577,2980,8566
0,18854,693,3416,2796,9120
0,19008,442,3217,3309,8807
0,19604,649,3520,3062,9232
0,19084,1221,3560,2877,8834
0,18860,730,3274,2777,9272
0,18871,688,3303,2898,8900
0,19044,810,3493,3156,9093
0,19099,942,3748,2515,8923
0,18862,840,3652,2709,8682
0,19398,697,3822,2916,9119
0,18428,444,3270,3250,8915
0,18800,564,3524,3185,8472
0,19039,705,3536,2938,8708
0,18578,1301,3234,2988,8465
0,18292,1015,3736,2540,8810
0,19070,596,2951,3128,8902
0,18756,823,3454,2721,9141
0,18889,392,3195,3042,8722
0,19044,617,3595,3136,8702
0,19104,1023,3672,2898,8469
0,18950,951,3576,2854,8741
0,19060,658,3352,2962,9093
0,18837,553,3213,3185,8881
0,17725,636,3995,3122,9190
0,19201,1148,3617,3088,9275
0,19041,712,3695,2768,8751
0,18702,761,3437,2650,8621
0,18277,320,3752,2422,9018
0,18930,594,3271,3218,8898
0,19388,872,3441,3208,8685
0,19159,1072,3948,2869,8658
0,18992,921,3551,2642,8587
0,17778,282,3790,2781,9186
0,18401,336,3232,2675,8996
0,19008,658,3344,3145,8796
0,19256,1056,3668,3179,8551
0,18896,821,3509,3996,8710
0,18968,653,3331,2920,8999
0,19917,745,4686,2776,9088
0,18515,606,3336,2913,9011
0,18857,0,3509,3124,8504
0,19341,966,3437,3173,8658
0,19255,948,3672,2986,9408
0,19154,866,3648,3034,9098
0,18977,452,3733,2960,8591
0,18905,759,3727,2280,8780
0,19311,770,3532,2467,9740
0,19287,0,3628,3071,8691
0,19257,807,3509,3104,8312
0,19202,829,3533,3139,8536
0,19665,1043,3664,3066,8577
0,19174,1045,3706,2852,8691
0,18788,933,3501,2629,8939
0,18889,809,3324,2980,9024
0,18608,588,4381,2966,8990
0,18881,1492,3126,3000,8992
0,18968,615,3370,3096,9490
0,18517,696,3469,3120,8780
0,19098,635,3259,3256,9009
0,19207,498,3337,2648,8957
0,19405,976,3656,3018,9560
0,19193,1000,3776,2997,8704
0,19034,980,3629,2994,8628
0,18873,833,3130,2730,8668
0,19019,384,3386,2754,8900
0,18906,841,3280,2788,9233
0,18860,464,3243,3044,9094
0,18938,304,3582,3253,8997
0,19236,822,3701,3099,9202
0,19142,787,3504,3215,8714
0,19129,1663,3583,3047,8535
0,19016,1085,3633,2836,8102
0,19063,880,3524,2723,8976
0,18869,790,3178,2900,8938
0,19029,1243,3400,2836,8939
0,19086,916,4928,2952,8900
